Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(5),J_total_Mn
3.6,0.03272506044780388,0.055380828496879905,0.06004739702801011,0.01708823994907395,0.0136780637570718,0.0008417184442909414,0.031001130320960864,0.8094301109913931
3.6500000000000004,0.03266479131010496,0.05410984998956634,0.05971213688018195,0.017060625512943094,0.012796081176509336,0.0008414498377602667,0.029743089122226108,0.7931181872520274
3.7,0.03260384639737692,0.052854541226978864,0.05937053153049324,0.01702250148286762,0.011981829736970082,0.0008413992868492847,0.02853630585212324,0.7774402736535414
3.75,0.03254223163318246,0.051615291471825135,0.05902271622009736,0.016972893084306807,0.01123120301799186,0.0008413521230560858,0.027378809632551043,0.7623611002160314
3.8000000000000003,0.032479952987745274,0.05039246218820456,0.058668831603518413,0.01691107223436454,0.010540260749209105,0.0008411300517115978,0.026268688577460956,0.747847231927722
3.85,0.03241701647662366,0.04918638747435012,0.05830902343058699,0.016836530705980735,0.009905229859174905,0.0008405868706011526,0.0252040900458948,0.7338670130231566
3.9000000000000004,0.032353428159384814,0.04799737452885776,0.05794344222663924,0.01674895516530038,0.009322504374650873,0.0008396046060047062,0.02418322059764629,0.7203905075150674
3.95,0.03228919413828069,0.04682570414800978,0.057572242971873556,0.016648204035981606,0.008788644326038646,0.0008380900321982534,0.023204345693219827,0.7073894369625131
4.0,0.03222432055692607,0.04567163125179813,0.05719558478072392,0.01653428613256238,0.008300373800687658,0.0008359715422530966,0.02226578917495065,0.6948371163303021
4.05,0.032158813598979596,0.044535385436265035,0.056813630582072665,0.016407340996013636,0.007854578272548178,0.0008331963398779603,0.02136593256188594,0.6827083886794272
4.1000000000000005,0.03209267948682845,0.04341717154979956,0.056426546801087545,0.016267620857909146,0.007448301324107539,0.0008297279240074494,0.020503214187243626,0.670979559324478
4.15,0.03202592448027717,0.042317170291059705,0.05603450304342935,0.016115474154915807,0.0070787408647902065,0.0008255438398005805,0.01967612820391006,0.6596283300009742
4.2,0.03195855487524117,0.04123553882622897,0.055637671782536736,0.015951330512260047,0.006743244939035644,0.0008206336716390644,0.01888322348045939,0.6486337335024697
4.25,0.03189057700244554,0.04017241142336407,0.05523622805065494,0.01577568711319566,0.006439307207094635,0.0008149972555806635,0.018123102407532867,0.6379760691733337
4.3,0.03182199722612946,0.03912790010164448,0.05483034913423431,0.015589096371051981,0.006164562172192731,0.0008086430905101278,0.017394419632065606,0.6276368395775623
4.3500000000000005,0.03175282194275673,0.03810209529339512,0.05442021427428392,0.01539215482097388,0.005916780219079004,0.000801586928926955,0.016695880734758167,0.6175986886060738
4.4,0.0316830575797328,0.037095066516819715,0.0540060043722245,0.01518549314979558,0.005693862521080462,0.0007938505299083594,0.016026240864329966,0.6078453412339925
4.45,0.03161271059412859,0.036106863057452206,0.0535879017017441,0.01496976728446069,0.005493835865584021,0.0007854605582838722,0.01538430334043435,0.5983615450947912
4.5,0.0315417874714115,0.03513751465640917,0.05316608962711969,0.014745650461875162,0.005314847441331843,0.0007764476154542542,0.014768918235638832,0.5891330139992035
4.55,0.03147029472418388,0.03418703220360296,0.052740752328427155,0.014513826205939283,0.005155159625002242,0.0007668453885832349,0.014178980945556792,0.580146373492979
4.6000000000000005,0.03139823889092919,0.033255408434156045,0.05231207453402312,0.014274982140649132,0.005013144799217193,0.0007566899060888846,0.013613430755042396,0.5713891085183004
4.65,0.031325626534766206,0.032342618626339484,0.05188024126064278,0.014029804571501202,0.004887280229327593,0.0007460188884660899,0.013071249407312344,0.5628495132185299
4.7,0.03125246424221137,0.031448621299441565,0.05144543756141987,0.0137789737709036,0.004776143022038575,0.0007348711844872553,0.012551459681922327,0.5545166429044499
4.75,0.031178758621949666,0.03057335891005798,0.05100784828209782,0.013523159906833417,0.004678405185110126,0.0007232862837600495,0.012053123986691814,0.546380268181909
4.800000000000001,0.031104516303614046,0.029716758545379265,0.05056765782566472,0.013263019557531853,0.004592828803964828,0.000711303897473976,0.011575342967925836,0.5384308312254048
