Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(8),J_4s(2),J_total_Ni
6.300000000000001,0.02657136234704658,0.016811462294042227,0.03868340290484308,0.008459214894405327,0.003776694346288618,0.006645246167312466,0.000425407283798796,0.4124574464838757
6.3500000000000005,0.026506114039235237,0.01636232818941582,0.03833441300726461,0.008255712744177388,0.003772734413174568,0.006429162396406275,0.00041564002216315315,0.40715577368386846
6.4,0.02644057229551553,0.015923927812201144,0.03798546469044736,0.008054238001767635,0.003769847096309909,0.006220395121919182,0.0004059298845607058,0.40194436768398706
6.45,0.026374741379968442,0.015496118655959925,0.03763664531395439,0.00785494313637705,0.0037678373382609514,0.006018690513155012,0.000396287221297951,0.3968206008057389
6.5,0.026308625556272097,0.015078755931352836,0.037288040681647115,0.007657968951090013,0.003766525778599278,0.005823803578491169,0.0003867216944175155,0.3917819716556726
6.550000000000001,0.0262422290871975,0.014671692779699626,0.03693973500853994,0.007463444940157415,0.003765747823678348,0.005635497868252174,0.0003772422943594937,0.3868260981421552
6.6000000000000005,0.02617555623410896,0.014274780480198208,0.036591810890564604,0.0072714896599969025,0.0037653527601892154,0.00545354518622417,0.0003678573581032879,0.38195071085913107
6.65,0.02610861125646916,0.0138878686507964,0.03624434927717675,0.007082211110744341,0.0037652029110862165,0.005277725309694565,0.00035857458851989326,0.3771536468201939
6.7,0.02604139841134899,0.01351080544272165,0.03589742944673485,0.006895707125502274,0.0037651728324607473,0.00510782571788832,0.00034940107469252614,0.3724328435268111
6.75,0.025973921952942132,0.013143437728684476,0.035551128984579586,0.00671206576472005,0.0037651485499365276,0.004943641328661337,0.0003403433129890403,0.36778633335505884
6.800000000000001,0.025906186132084407,0.012785611284781537,0.035205523763739956,0.0065313657134079845,0.003765026833162035,0.0047849742433020565,0.00033140722869293187,0.36321223824576215
6.8500000000000005,0.025838195195777958,0.012437170966133611,0.03486068792819113,0.006353676679135348,0.0037647145069841788,0.0046316334992845066,0.0003225981980210478,0.35870876468346385
6.9,0.025769953386720255,0.012097960876302416,0.0345166938785875,0.006179059788990238,0.003764127797900942,0.00448343483080944,0.0003139210703755506,0.35427419895018314
