Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(5),J_total_Br
2.25,0.024478141284562206,0.07681161321232793,0.07049328903839974,0.04565367339481098,0.10774025084127313,0.09644778579254605,0.02491613465805296,0.007683245480043132,0.04895628256912441,0.15362322642465587,0.2739220403688659,0.14098657807679948,0.6464415050476388,0.04983226931610592,0.9644778579254605,0.03841622740021566,2.3166559871288666
2.3000000000000003,0.024463719201294313,0.07623847240354545,0.0670537455038637,0.04563022596199262,0.10567009331808438,0.09560833024518475,0.024182954659854747,0.0074972426497843594,0.048927438402588626,0.1524769448070909,0.2737813557719557,0.1341074910077274,0.6340205599085063,0.048365909319709494,0.9560833024518476,0.0374862132489218,2.285249214918348
2.35,0.024448991807798883,0.075657743111531,0.06374228645809485,0.045605395030515306,0.10356876982445058,0.09473778781882046,0.02340056640074339,0.0073705574851936125,0.048897983615597766,0.151315486223062,0.27363237018309183,0.1274845729161897,0.6214126189467035,0.04680113280148678,0.9473778781882046,0.036852787425968064,2.253774830300304
2.4000000000000004,0.024433959859271537,0.07506970141727784,0.0605596436667961,0.04557913931308066,0.10144013444510501,0.09383731018539579,0.02257787530434945,0.007288722734251948,0.048867919718543075,0.15013940283455568,0.273474835878484,0.1211192873335922,0.60864080667063,0.0451557506086989,0.9383731018539578,0.03644361367125974,2.2222147185697216
2.45,0.024418624126738963,0.07447462433723827,0.05750605921060906,0.045551418005622395,0.09928804924908552,0.09290813262880426,0.02172362138287826,0.007239692582417157,0.048837248253477926,0.14894924867447654,0.27330850803373435,0.11501211842121813,0.5957282954945131,0.04344724276575652,0.9290813262880426,0.03619846291208578,2.190562450843305
2.5,0.024402985396939227,0.07387278955914915,0.054581314870959734,0.045522190839680746,0.09711636425049883,0.09195156369345996,0.020846193359136303,0.0072135154842979995,0.04880597079387845,0.1477455791182983,0.2731331450380845,0.10916262974191947,0.5826981855029929,0.041692386718272606,0.9195156369345996,0.03606757742149,2.158821111269536
2.5500000000000003,0.024387044472201434,0.07326447518493989,0.05178476205733228,0.04549141813331832,0.09492889857056336,0.0909689749435952,0.019953494961860285,0.00720204380542936,0.04877408894440287,0.14652895036987978,0.27294850879990995,0.10356952411466457,0.5695733914233801,0.03990698992372057,0.9096897494359519,0.0360102190271468,2.1270014220390565
2.6,0.024370802170325268,0.07264995948126664,0.0491153520371891,0.04545906084054303,0.09272942287397448,0.0899617909235906,0.01905285379445191,0.007198677292121414,0.048741604340650536,0.14529991896253328,0.2727543650432582,0.0982307040743782,0.556376537243847,0.03810570758890382,0.899617909235906,0.03599338646060707,2.095120132950084
2.6500000000000004,0.024354259324460885,0.07202952063804875,0.04657166624771398,0.045425080599206163,0.09052164313387433,0.08893147939820692,0.018150964540469793,0.00719813734057699,0.04870851864892177,0.1440590412760975,0.272550483595237,0.09314333249542796,0.5431298588032459,0.036301929080939585,0.8893147939820691,0.035990686702884946,2.0631986445848236
2.7,0.024337416782989413,0.07140343653524052,0.04415194648658856,0.04538943977734569,0.08830918576207447,0.08787954194041729,0.01725385950345816,0.007196269095076238,0.04867483356597883,0.14280687307048104,0.27233663866407415,0.08830389297317712,0.5298551145724468,0.03450771900691632,0.8787954194041729,0.03598134547538119,2.0312618367326283
2.75,0.02432027540940429,0.07077198451794968,0.04185412479697813,0.04535210151794632,0.08609558412478617,0.08680750492375144,0.01636690057916736,0.007189868533901534,0.04864055081880858,0.14154396903589936,0.27211260910767787,0.08370824959395626,0.516573504748717,0.03273380115833472,0.8680750492375144,0.035949342669507674,1.999337076370416
