Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(1),J_total_scandium
0.5,0.041762258756600494,0.07131442950013243,0.4805962147471583,0.08465404692870576,0.2966730368959951,0.30253009610668213,0.11426098334848647,0.08352451751320099,0.14262885900026487,0.5079242815722346,0.9611924294943166,1.7800382213759707,0.22852196669697294,0.30253009610668213,4.006360371759643
0.55,0.04174587635202093,0.07107474798319706,0.4590439760054607,0.08464661095840705,0.29383564560701275,0.29878075729384646,0.07778961840826178,0.08349175270404186,0.14214949596639412,0.5078796657504423,0.9180879520109214,1.7630138736420764,0.15557923681652355,0.29878075729384646,3.868982734184246
0.6000000000000001,0.041727944315199855,0.07081304970532117,0.4366536907330958,0.0846369239544664,0.2903628688441874,0.29406460445350513,0.05772056668239351,0.08345588863039971,0.14162609941064233,0.5078215437267983,0.8733073814661916,1.7421772130651243,0.11544113336478702,0.29406460445350513,3.757893864117448
0.65,0.04170846524343592,0.07052953237362805,0.4136724046496808,0.08462459204354057,0.2862267431757452,0.28839030692220596,0.047823690866188096,0.08341693048687183,0.1410590647472561,0.5077475522612435,0.8273448092993616,1.717360459054471,0.09564738173237619,0.28839030692220596,3.6609665045037865
0.7000000000000001,0.04168744174339176,0.07022440004262255,0.39033929665569805,0.08460919783204658,0.28141522009555897,0.2818109304582566,0.04368387019388384,0.08337488348678351,0.1404488000852451,0.5076551869922795,0.7806785933113961,1.6884913205733538,0.08736774038776768,0.2818109304582566,3.569827455295082
0.75,0.041664876504863356,0.0698978666526737,0.36688146459487253,0.08459030270975224,0.27593202212328294,0.27441392212626425,0.04239525835221002,0.08332975300972671,0.1397957333053474,0.5075418162585135,0.7337629291897451,1.6555921327396976,0.08479051670442005,0.27441392212626425,3.4792268033337144
0.8,0.04164077238232762,0.06955015977645998,0.3435104228224325,0.08456744925881557,0.2697958306867807,0.26630993412223586,0.04218300727840756,0.08328154476465524,0.13910031955291996,0.5074046955528935,0.687020845644865,1.6187749841206842,0.08436601455681512,0.26630993412223586,3.3862583383150686
0.8500000000000001,0.041615132467557006,0.0691815238233672,0.32041939043520695,0.08454016376020823,0.2630389435730705,0.25762229795278335,0.042057448771039944,0.08323026493511401,0.1383630476467344,0.5072409825612494,0.6408387808704139,1.5782336614384231,0.08411489754207989,0.25762229795278335,3.289643932946798
0.9,0.041587960144259216,0.06879222232051722,0.2977813774533802,0.08450795878569786,0.2557055433165954,0.24847819099123847,0.04153939208459593,0.08317592028851843,0.13758444464103445,0.5070477527141872,0.5955627549067604,1.5342332598995725,0.08307878416919186,0.24847819099123847,3.189161107610503
0.9500000000000001,0.04155925912202519,0.06838253918584049,0.27574802378564367,0.08447033585978575,0.24784971183674417,0.23900189007508138,0.04046019884604343,0.08311851824405038,0.13676507837168098,0.5068220151587145,0.5514960475712873,1.487098271020465,0.08092039769208687,0.23900189007508138,3.085222218133366
1.0,0.041529033451108366,0.06795277910205512,0.2544491133324831,0.0844267881726964,0.2395333141095834,0.22931006758037692,0.038825448086312955,0.08305806690221673,0.13590555820411024,0.5065607290361784,0.5088982266649662,1.4371998846575003,0.07765089617262591,0.22931006758037692,2.9785834292179745
1.05,0.04149728752181457,0.06750326719799628,0.2339926696014386,0.08437680332303416,0.23082385726601407,0.21950884690585404,0.036727064577977885,0.08299457504362914,0.13500653439599256,0.5062608199382049,0.4679853392028772,1.3849431435960844,0.07345412915595577,0.21950884690585404,2.8701533882385983
1.1,0.04146402605302939,0.06703434826957512,0.21446553488781542,0.08431986606722813,0.22179241324449864,0.2096922463736162,0.034289833557280824,0.08292805210605877,0.13406869653915024,0.5059191964033688,0.42893106977563084,1.3307544794669919,0.06857966711456165,0.2096922463736162,2.7608734077793784
1.1500000000000001,0.0414292540741915,0.06654638575344385,0.19593433797577725,0.0842554610524082,0.21251167444660607,0.19994164576471316,0.03164101514484785,0.082858508148383,0.1330927715068877,0.5055327663144492,0.3918686759515545,1.2750700466796365,0.0632820302896957,0.19994164576471316,2.65164644465532
1.2000000000000002,0.04139297690429715,0.06603976062453815,0.17844676210249294,0.08418307550980739,0.20305419377619802,0.19032596111747488,0.02889474638920549,0.0827859538085943,0.1320795212490763,0.5050984530588443,0.3568935242049859,1.218325162657188,0.05778949277841098,0.19032596111747488,2.543298068874575
1.25,0.04135520013061967,0.06551487033985057,0.16203303343478997,0.08410220188701764,0.1934908436962209,0.18090227964530764,0.026145457531955043,0.08271040026123934,0.13102974067970113,0.5046132113221058,0.32406606686957995,1.1609450621773254,0.052290915063910086,0.18090227964530764,2.436557676019169
1.3,0.04131592958895185,0.06497212790468504,0.14670755930341695,0.08401234039924829,0.18388951398123984,0.17171677017337003,0.023466473839535183,0.0826318591779037,0.12994425580937008,0.5040740423954897,0.2934151186068339,1.103337083887439,0.046932947679070365,0.17171677017337003,2.3320520777294766
1.35,0.04127517134643116,0.06441196109911078,0.13247065432570362,0.08391300148195631,0.174314054967799,0.16280573769418155,0.020911367093047955,0.08255034269286232,0.12882392219822156,0.5034780088917379,0.26494130865140725,1.045884329806794,0.04182273418609591,0.16280573769418155,2.2303063841213002
1.4000000000000001,0.041232931687427435,0.06383481187300416,0.11931030108753515,0.08380370812965672,0.16482346245124666,0.1541967317336836,0.018516570686989017,0.08246586337485487,0.12766962374600832,0.5028222487779404,0.2386206021750703,0.9889407747074799,0.037033141373978035,0.1541967317336836,2.1317489858890153
1.4500000000000002,0.0411892171025565,0.06324113589765117,0.10720390018593438,0.08368399810822753,0.15547129196807205,0.14590964835569903,0.016304394806722352,0.082378434205113,0.12648227179530233,0.5021039886493652,0.21440780037186877,0.9328277518084322,0.032608789613444704,0.14590964835569903,2.0367186847992254
1.5,0.041144034280611405,0.06263140224912415,0.09611997214502524,0.08355342603047716,0.14630528395666986,0.13795778702173256,0.014285971711164292,0.08228806856122281,0.1252628044982483,0.501320556182863,0.19223994429005048,0.8778317037400192,0.028571943422328584,0.13795778702173256,1.945472807716465
1.55,0.04109739010304431,0.06200609319194271,0.08601978099889532,0.08341156528705732,0.13736717704449733,0.13034883842747436,0.012463901106677564,0.08219478020608861,0.12401218638388542,0.500469391722344,0.17203956199779064,0.824203062266984,0.024927802213355128,0.13034883842747436,1.8581956232179224
1.6,0.04104929164055849,0.061365704029293755,0.07685885615110488,0.0832580098269236,0.1286926842425914,0.12308578974861967,0.01083450604033913,0.08209858328111698,0.12273140805858751,0.49954805896154164,0.15371771230220976,0.7721561054555484,0.02166901208067826,0.12308578974861967,1.775006669888302
1.6500000000000001,0.04099974615135508,0.060710742986934255,0.06858839541879874,0.08309237578344068,0.12031160587683597,0.11616774086260251,0.009389687705272771,0.08199949230271016,0.12142148597386851,0.4985542547006441,0.13717679083759748,0.7218696352610158,0.018779375410545543,0.11616774086260251,1.695968775348984
1.7000000000000002,0.0409487610806018,0.0600417311007114,0.061156537887764525,0.08291430294388757,0.11224805336833961,0.10959063005815332,0.008118407498775375,0.0818975221612036,0.1200834622014228,0.49748581766332545,0.12231307577552905,0.6734883202100377,0.01623681499755075,0.10959063005815332,1.6210956430672225
1.75,0.04089634406073591,0.05935920208155829,0.05450950028617701,0.08272345606154836,0.10452075921224271,0.1033478711622797,0.007007842271576442,0.08179268812147182,0.11871840416311658,0.4963407363692902,0.10901900057235402,0.6271245552734563,0.014015684543152884,0.1033478711622797,1.5503589402051217
1.8,0.04084250291226871,0.058663702136244895,0.048592574987129884,0.08251952601078928,0.09714345043023732,0.0974309063382607,0.006044263713123427,0.08168500582453742,0.11732740427248979,0.4951171560647357,0.09718514997425977,0.582860702581424,0.012088527426246854,0.0974309063382607,1.4836948524819542
