Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_5d3/2(1),J_6s1/2(2),J_total_Ce_relativistic
2.5500000000000003,0.013676275849968856,0.046050499708392804,0.02422566622472211,0.0256928922963081,0.07629844795407219,0.06396975153343311,0.06626276567962817,0.04515862161663947,0.045764727484807345,0.04360559599795249,0.08939269761184125,0.08709953469672856,0.10031436357871884,0.10047039792152136,0.10047039792152136,0.03355729129207927,0.016607547470434622,0.01697425094591386,0.004630652219153048,0.0035688202041803683,3.159647660228327
2.6,0.01367331951398378,0.04593452834994617,0.024224143011791138,0.025690944390404792,0.07516618781198207,0.06382274536297212,0.06608788980406853,0.04514893392546005,0.04575429308960902,0.04145450493190012,0.0866755387850954,0.08417864532083084,0.09860377647730587,0.0986886332730703,0.0986886332730703,0.03218808664400296,0.016578142348142897,0.016972745231860924,0.004460688552342844,0.0034640569460517388,3.111902604599246
2.6500000000000004,0.013670306690907944,0.04581663751860293,0.02422253309192398,0.02568888602009753,0.07403058284207577,0.0636689928762176,0.06590516708766544,0.04513842331540468,0.04574297567176182,0.039450629319501634,0.0839661680381656,0.08127921481241705,0.09685494636428083,0.09686951087112768,0.09686951087112768,0.030786067339887705,0.0165691863485308,0.01696500069926693,0.004332748246500039,0.003349429044439819,3.064103075208505
2.7,0.01366723743329767,0.04569684530783283,0.024220833453579692,0.025686713388860784,0.0728923906037674,0.06350839541319575,0.06571449888827459,0.04512704324569037,0.04573072570130584,0.037589468581077506,0.08126987648076932,0.07840691361072147,0.09507120011203982,0.09501658470234144,0.09501658470234144,0.029363996342379454,0.01656775184395478,0.016941904486430084,0.004238843804967631,0.003226524829034507,3.016268717885259
2.75,0.013664111794674756,0.04557517005662291,0.0242190410536445,0.025684422663454793,0.07175235863944189,0.06334086134140869,0.06551579557216669,0.04511474618458355,0.04571749263659528,0.03586620006942831,0.07859175294350192,0.07556711835561447,0.09325593407648657,0.0931334657398095,0.0931334657398095,0.02793387119663941,0.01656329099814615,0.01689652436351183,0.004172084867617514,0.0030969739484061685,2.968430544220214
2.8000000000000003,0.01366092982952447,0.04545163034438519,0.02421715281872654,0.025682009975693188,0.07061122374279707,0.06316630622842959,0.06530897668847227,0.04510148367777912,0.04570322500000609,0.03427572595754137,0.07593666543130301,0.07276489546842822,0.09141259167001708,0.09122379848320078,0.09122379848320078,0.026506790406639988,0.01654737588079624,0.01682381900069315,0.004126558454540116,0.002962392754415311,2.9206285256144406
2.85,0.01365769159329354,0.04532624498581465,0.024215165646460413,0.02567947142422223,0.06946971125732579,0.06298465299744357,0.06509397112097191,0.045087206420310284,0.04568787045732641,0.032812718542367815,0.0733092451301939,0.07000498795222547,0.0895446419250622,0.08929123869272408,0.08929123869272408,0.02509286319598255,0.016513450852522992,0.01672037017735109,0.0040972193585550355,0.0028243423071209217,2.872909447986902
2.9000000000000004,0.013654397142388086,0.04519903302569989,0.024213076406820848,0.02567680307631063,0.06832853440562117,0.0627958320656512,0.06487071721725426,0.04507186433174563,0.045671375900555526,0.03147166375284633,0.07071387292371145,0.06729180528912117,0.08765555918224978,0.08733943244309804,0.08733943244309804,0.023701156086702313,0.01645659941009728,0.016584137657692323,0.0040797901953989425,0.0026842971316647143,2.8253250172408273
2.95,0.01365104653417153,0.045070013733688526,0.024210881943444854,0.02567400096964899,0.06718839365010493,0.0625997814654999,0.0646391628953301,0.045055406634419544,0.04565368753382629,0.03024690268324419,0.06815466835417548,0.06462941629070341,0.08574880401010776,0.085371996594537,0.085371996594537,0.022339670248744337,0.016373326931858452,0.01641423682703098,0.004070670584149612,0.0025436230273433464,2.777930202570101
3.0,0.013647639826962463,0.044939206599009504,0.02420857907496163,0.025671061114157852,0.06604997608569384,0.062396446948756755,0.06439926572785454,0.045037781934432655,0.04563475096215657,0.029132671004577032,0.0656354809453926,0.06202154473992749,0.08382780543772185,0.08339250075068465,0.08339250075068465,0.021015344128704972,0.01626136014539658,0.016210738691560565,0.0040668549092907616,0.0024035624032839073,2.7307818026288606
3.0500000000000003,0.01364417708003249,0.044806631325154674,0.024206164596329616,0.025667979493803398,0.06491395486483732,0.062185782073482535,0.06415099300417129,0.04501893830515124,0.045614511282727775,0.02812313613711806,0.06315988378757419,0.059471567648889986,0.08189594455810632,0.0814044507485905,0.0814044507485905,0.019734076435181415,0.01611946363862648,0.01597449147218753,0.004065858104422796,0.002265225785347838,2.6839372183067254
3.1,0.013640658353604023,0.04467230782452173,0.024203635280179915,0.025664752068419793,0.0637809886552767,0.06196774827401188,0.06389432177045222,0.044998823372928286,0.04559291317838222,0.02721243209561528,0.06073116927204654,0.05698251594639954,0.07995653953838984,0.07941127370334425,0.07941127370334425,0.018500765121361125,0.015947273336622495,0.015706962750872334,0.00406564889593867,0.002129588303969156,2.6374534152003606
3.1500000000000004,0.013637083708848058,0.04453625621302073,0.02420098787816553,0.025661374775537184,0.06265172113079596,0.06174231491408834,0.063629238848262,0.04497738440476379,0.04556990101302678,0.026394691945649473,0.058352346852646036,0.05455707740199927,0.07801283205334644,0.07741630460991293,0.07741630460991293,0.017319358549713813,0.015745146556106503,0.015410100939107297,0.0040645899520258,0.0019974901308804334,2.591386058721108
3.2,0.013633453207881908,0.0443984968046465,0.024198219122315637,0.02565784353221438,0.06152678049515464,0.06150945932334502,0.06335574083193192,0.04495456839761841,0.04554541892862716,0.025664077834469612,0.056026142702388974,0.05219760158879367,0.07606797514135027,0.07542277448705982,0.07542277448705982,0.01619291553911463,0.01551402801436809,0.015086214717754546,0.004061384395286614,0.0018696399774005407,2.545788805009541
