Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Cs_relativistic
2.0,0.014578944077347644,0.05006072065819545,0.02589108084588384,0.02728816672352103,0.09172452537657921,0.07000051696194551,0.07241793526809473,0.048819842150643375,0.04941705038517482,0.07016752437967091,0.11924918562214386,0.11871603149806567,0.12299145883477836,0.12359163418713172,0.04104071865172801,0.016795779573486054,0.016068750273153066,0.002725323897621474,3.6650041626184464
2.0500000000000003,0.01457615203098483,0.04994791497144106,0.02589003461893725,0.0272868610487207,0.09047727947811245,0.06988602233461386,0.07228307875400221,0.04881411919577257,0.04941091469061948,0.0661728386736663,0.11607359876747216,0.11522731563038761,0.12115555688126348,0.12166959144923575,0.040042271552313664,0.016224373088584265,0.015764623996027013,0.0026935923518459854,3.609883822247923
2.1,0.014573291816360604,0.049832615695648126,0.025888911343758435,0.027285459448729284,0.08921808248695026,0.06976430215340547,0.07213983089531838,0.04880774418538432,0.04940408171550062,0.06239481490682966,0.11285676227962053,0.11170803512295953,0.11924499733082904,0.11967242777571646,0.03890721268461527,0.01583295954476727,0.015581403761453871,0.002650206559906206,3.5547170523098175
2.15,0.014570363489618123,0.04971484331209564,0.025887707504123218,0.02728395757422901,0.08794801386395071,0.06963516058888589,0.07198797816258345,0.04880066551316583,0.04939649656625852,0.05883232483406691,0.10960741220669913,0.10816823065401678,0.11726399322827473,0.11760475793831233,0.03765140646411245,0.015579201602273792,0.015482969390685072,0.002595351451895172,3.4994069243027917
2.2,0.014567367108219443,0.04959461869430643,0.025886419525971097,0.02728235100712623,0.08666814818670554,0.0694984093749492,0.07182731691250743,0.048792829545198445,0.04938810223201962,0.055483198991775284,0.10633424577791104,0.10461777882745707,0.1152170772586041,0.11547150661419259,0.036292540777905745,0.015427016704771646,0.015439425827439037,0.002529710658446373,3.4438984115340796
2.25,0.014564302730943127,0.049471963101296285,0.02588504377916891,0.027280635262898027,0.08537955370695999,0.06935386827075914,0.07165765391445278,0.04878418068067825,0.04937883965332267,0.05234431118888092,0.10304586116599722,0.10106632607117855,0.1131090517580912,0.11327785468575918,0.034849231804878984,0.015345999871323837,0.015426393462597247,0.0024543132944068245,3.388171715168899
2.3000000000000003,0.014561170417881776,0.04934689817071869,0.02588357657929844,0.027278805792968742,0.08408329094500895,0.06920136549737518,0.07147880684279702,0.04877466142117729,0.04936864779994178,0.049411664301867754,0.09975070161126205,0.09752322881868664,0.11094493908528048,0.11102918637184225,0.03334030000371279,0.015310850013547397,0.0154243344654948,0.0023704110337878725,3.3322361568514585
2.35,0.01455797023043953,0.0492194459119086,0.025882014189466826,0.027276857987114902,0.08278041132342673,0.06904073814821006,0.0712906047342478,0.048764212448188876,0.049357463757507866,0.04668047648030647,0.09645700420838964,0.0939975001796896,0.10872993301698257,0.10873103786295492,0.03178419826926651,0.015300812183605936,0.01541792259649924,0.002279380753070059,3.276124656216779
2.4000000000000004,0.014554702231329496,0.04908962869882861,0.025880352822138724,0.027274787175896997,0.08147195584233216,0.06887183257256947,0.07109288840932695,0.0487527727086598,0.04934522282258568,0.04414526694225278,0.09317275356931219,0.0904977631965999,0.10646935174017688,0.10638904802829996,0.030198573290450073,0.015299144771114992,0.015395461024100075,0.0021826486267816107,3.219888792231795
2.45,0.014551366484571135,0.04895746926292111,0.025878588640989093,0.02727258863311653,0.08015895379823405,0.06869450473162915,0.07088551085738287,0.04874027950817353,0.04933185860582301,0.04179994061515441,0.08990564049319247,0.08703221068527098,0.10416859291773839,0.1040089116600892,0.028599941791462087,0.015292617899908675,0.015348350367895855,0.00208163211272168,3.163594433022632
2.5,0.014547963055487584,0.04882299068586988,0.025876717762775503,0.027270257578296757,0.0788424215483408,0.0685086205263084,0.07066833758463209,0.04872666861141299,0.04931730314275065,0.039637870956123866,0.0866630256988976,0.0836085715704843,0.10183309121612785,0.1015963356234731,0.027003464409052543,0.015271047043577053,0.015270607424687789,0.001977696753991768,3.1073179086667677
2.5500000000000003,0.014544492010702943,0.04868621639227469,0.025874736259228846,0.02726778917918557,0.07752336132205646,0.06831405609660321,0.0704412469248714,0.04871187434949872,0.04930148701177752,0.03765198036428102,0.08345190860672222,0.08023408354993293,0.09946827859822926,0.09915699818951301,0.02542280129770871,0.015226864102449899,0.015158433711492822,0.0018721251473588093,3.0511426945120013
