Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_total_Krypton_relativistic_ready
4.1000000000000005,0.03693573131014999,0.10557154602149942,0.06082918776220269,0.12165837552440538,0.0176938026664584,0.07701495772644239,0.15402991545288477,0.23071473921961383,0.34607210882942074,0.004011567074492382,0.009648783845326065,0.01929756769065213,1.1834782831235484
4.15,0.0369048322485775,0.10428658649216277,0.06070161268026225,0.1214032253605245,0.0174588775119039,0.07422313433232561,0.14844626866465122,0.22659570702407056,0.33989356053610587,0.003959849619510386,0.009350165220190155,0.01870033044038031,1.161924150130665
4.2,0.03687359389352349,0.10300390642137286,0.06057098032063063,0.12114196064126126,0.01723388911780576,0.07150562481153133,0.14301124962306266,0.22250705025170217,0.33376057537755327,0.003916735087531924,0.009053054927773087,0.018106109855546174,1.1406847303292948
4.25,0.036842017468004064,0.10172387103140458,0.06043728900003686,0.12087457800007372,0.017018171924701928,0.06886246298129821,0.13772492596259642,0.21845097215772497,0.3276764582365874,0.0038811015985432996,0.008758223913024386,0.017516447826048772,1.1197665201000448
4.3,0.036810104206587216,0.10044683725126852,0.060300538793785205,0.12060107758757041,0.016811096451566625,0.06629353718768162,0.13258707437536324,0.2144295335015286,0.3216443002522929,0.0038519456520666796,0.008466372631899633,0.016932745263799266,1.0991751631554099
4.3500000000000005,0.03677785535528599,0.09917315372791696,0.06016073152375886,0.12032146304751772,0.016612067990025736,0.06379859905317835,0.1275971981063567,0.21044465559970843,0.3156669833995627,0.0038283699012202506,0.008178133246959816,0.016356266493919632,1.078915477445411
4.4,0.036745272171449794,0.09790316083950615,0.0600178707446123,0.1200357414892246,0.01642052524657014,0.06137727213892326,0.12275454427784652,0.2064981236599405,0.30974718548991076,0.003809572176448853,0.007894072215316371,0.015788144430632742,1.0589914848803819
4.45,0.036712355923653885,0.0966371907106204,0.05987196172820795,0.1197439234564159,0.016235938950887062,0.05902906048628473,0.11805812097256946,0.2025915903539119,0.3038873855308678,0.00379483564308778,0.007614693170264573,0.015229386340529146,1.0394064432673003
4.5,0.03667910789158723,0.09537556722940915,0.0597230114463541,0.1194460228927082,0.01605781044641611,0.05675335700667445,0.1135067140133489,0.19872657959045129,0.29808986938567694,0.0037835199845697334,0.007340440012725596,0.014680880025451192,1.0201628799253728
4.55,0.03664552936593872,0.09411860606662352,0.05957102855190274,0.11914205710380547,0.015885670277304333,0.054549451692181505,0.10909890338436301,0.19490449045288452,0.2923567356793268,0.0037750535109440917,0.007071700141596831,0.014143400283193662,1.0012626265100653
4.6000000000000005,0.03661162164828185,0.09286661469656932,0.0594160233582667,0.1188320467165334,0.015719076784096526,0.05241653962323548,0.10483307924647096,0.19112660126745673,0.2866899019011851,0.003768926100229149,0.006808807763480812,0.013617615526961623,0.9827068546327676
