Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_5s1/2(1),J_total_Nb_relativistic
1.6500000000000001,0.04051265179234051,0.13950429750398907,0.0738969482336715,0.1520681393305772,0.24195725839728635,0.21017443207026262,0.42841505378944866,0.30948264131317105,0.4676745705777975,0.09490954874610814,0.2184996432948935,0.41918292904182874,0.342166598504423,0.010931245273431181,3.149375957869229
1.7000000000000002,0.04050050243529729,0.1389881180694007,0.07389003207636548,0.15205252145863862,0.23593524733942337,0.2092000436634987,0.4262752991818358,0.3092421080805014,0.4672982721102091,0.08748054839527897,0.2016845281526251,0.38542929191245173,0.3157052162136663,0.009525376448381518,3.053207105537574
1.75,0.040487995644376884,0.13845874762576316,0.0738825049690581,0.15203552658615616,0.22990377520321703,0.2081610884164836,0.42399603519985424,0.308972637496266,0.4668768732898931,0.08122903653806812,0.18573587709437503,0.35358371306548386,0.2910214366902358,0.008292419233680516,2.962637667052912
1.8,0.040475131878358835,0.13791637076180466,0.07387433437737329,0.15201708177393192,0.2238726804482875,0.20705674966646648,0.4215758057291989,0.30867222747007766,0.46640728362365524,0.0760306854351327,0.17067727432824376,0.3236754092920964,0.2680256800145999,0.007220383367136333,2.877497098166364
1.85,0.0404619116088881,0.13736117587862945,0.07386548725834648,0.1519971129881907,0.21785151083289547,0.20588640885256956,0.4190136012931732,0.30833888322951875,0.4658864284908698,0.07176512047966943,0.15652099166366282,0.2957105995125502,0.24662960806057577,0.006296253093269197,2.7975850932428092
1.9000000000000001,0.040448335320438435,0.13679335507036983,0.07385593009323776,0.15197554517714323,0.21184950249120985,0.2046496475076506,0.41630886145153645,0.30797062922366253,0.4653112677401736,0.06831720129737841,0.1432691788775969,0.2696752913511121,0.22674661087123243,0.005506561460817714,2.72267791793356
1.9500000000000002,0.04043440351027472,0.13621310400312592,0.07384562892069098,0.15195230234829468,0.20587556100729762,0.20334624804220766,0.41346147444811937,0.30756552088214867,0.4646788140115343,0.06557801219536154,0.13091506841553982,0.24553802989624263,0.2082921906056054,0.00483782812742541,2.6525341864138685
2.0,0.040420116688414436,0.13562062179231046,0.0738345493701989,0.15192730764640247,0.19993824450110148,0.20197619335886052,0.4104717742133367,0.3071216561130481,0.4639861506015386,0.06344558932776967,0.11944416426972788,0.2232525512569255,0.19118426194592358,0.004276885488869459,2.5869000665744273
2.0500000000000003,0.04040547537758811,0.13501611087851695,0.07382265669583442,0.15190048343198606,0.19404574872891717,0.20053966534336068,0.407340534844226,0.30663718643105137,0.46323044870348706,0.06182541345938352,0.10883539129699828,0.20276029785405125,0.17534338366892602,0.003811114393140044,2.5255139111074674
2.1,0.0403904801131988,0.13439977690202948,0.07380991581020775,0.15187175136029232,0.1882058941887307,0.19903704228469213,0.4040689626990937,0.3061103276168936,0.46240898386925766,0.06063069760016249,0.0990621869879254,0.18399276484038896,0.16069293294963272,0.0034286073822007916,2.4681103246047065
2.15,0.040375131443280664,0.13377182857609385,0.07379629131860957,0.15184103246062014,0.1824261152092919,0.1974688952826093,0.40065868625621504,0.305539369819141,0.46151915155650863,0.059782498283176416,0.09009352272879875,0.16687365762746634,0.14715923158784078,0.0031182744296274966,2.4144236865792803
2.2,0.04035942992845658,0.13313247755906876,0.07378174755330019,0.1518082472159081,0.17671345099105012,0.1958359837059054,0.39711174389632303,0.30492268702027364,0.4605584816422681,0.05920967807394243,0.08189484590450931,0.1513208492970931,0.13467163165717158,0.002869903550457196,2.3641911579957275
2.25,0.04034337614189478,0.1324819383255769,0.0737662486079051,0.15177331564248975,0.1710745385571029,0.19413924976881522,0.39343056977684604,0.3042587458001815,0.4595246518019235,0.058848745215722906,0.07442893780062537,0.13724813382562545,0.12316256672663924,0.002674186450680249,2.3171552044420287
