Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(2),J_6s1/2(2),J_total_Hf_relativistic
1.0,0.010521034730181565,0.03722421538372989,0.018313546964896996,0.02014439970534413,0.08026373293687426,0.04864581619549744,0.051779094240387465,0.03355853967420709,0.03425999424124021,0.14880728819145855,0.10942483049167687,0.11683339427241905,0.0905493891559564,0.0925235632029609,0.09124047560262032,0.09295668772135521,0.17550160311832164,0.2385462607488855,0.24155902025962117,0.20142856164095807,0.04494051788248667,6.496727865853447
1.05,0.010520483604299666,0.037202150759333086,0.018313521263915482,0.020144361422378593,0.07999067823745647,0.048643052647014684,0.051775331226625206,0.03355852380688776,0.034259976263382556,0.14639704995959282,0.10926685142843473,0.11661653672720115,0.09053560638220119,0.09250762572897045,0.0911890829754453,0.09289409188055758,0.16028521722691563,0.22918549674448083,0.22966995320897457,0.18539419172728433,0.043422337219937206,6.357336157585654
1.1,0.010519905638318344,0.03717902537120483,0.01831349163974985,0.02014431729418472,0.07970535915427186,0.04863987443054957,0.05177100517123021,0.033558503750939196,0.034259953542273694,0.1439141143072676,0.10908735808456312,0.11637068387468774,0.09051852152212221,0.09248789073647284,0.09112615633357186,0.09281802133660443,0.14595430671725412,0.21945806091762285,0.21752637328203878,0.17041987385512763,0.04143484631248603,6.218598226804389
1.1500000000000001,0.01051930083853127,0.037154841429118166,0.018313457714348086,0.020144266758133203,0.0794079220157295,0.0486362434194964,0.05176606469791473,0.0335584786758506,0.034259925138339024,0.14136400235438876,0.10888487622576469,0.11609397447553418,0.09049759047284534,0.09246373933603187,0.09105032426043223,0.09272701027200596,0.1325569828118063,0.2094475273685067,0.20524545362711188,0.15646672758129326,0.03907541489481992,6.081337922722032
1.2000000000000002,0.010518669211523708,0.037129601242616016,0.018313419092838307,0.020144209226725995,0.07909851894530638,0.0486321201339686,0.05176045668122935,0.03355844763700199,0.034259889983175015,0.13875230466558724,0.10865796370592463,0.11578461269965032,0.09047222250611549,0.09243450141826433,0.09096024368735857,0.09261964719952245,0.12012377799320212,0.19923835014869537,0.19293951922637947,0.14348991036437186,0.03645235412254381,5.946336839290534
1.25,0.010518010764172362,0.03710330722060479,0.0183133753636317,0.02014414408777117,0.07877730773024938,0.04862746379464873,0.05175412632801472,0.033558409566670735,0.03425984686945757,0.13608466143082953,0.1084052198349766,0.11544088124561384,0.09044178173180308,0.09239945769767827,0.09085461991662336,0.09249459513805999,0.10866900946497933,0.18891388356463415,0.18071376718108453,0.1314413671879736,0.03367020849802678,5.814300378280321
1.3,0.010517325503645213,0.03707596187093087,0.018313326098529738,0.020144070704565035,0.07844445168585337,0.048622232378297,0.051747017261219164,0.03355836326491038,0.034259794440718694,0.13336674285708744,0.10812529437287792,0.11506115371081903,0.09040558916971544,0.0923578424543898,0.09073222415659757,0.09235060849358587,0.09819232902731319,0.17855466386364183,0.16866452581023278,0.1202716977799689,0.03082199610125015,5.685838957023562
1.35,0.010516613437401347,0.03704756779993997,0.018313270852835666,0.020143988416081386,0.07810011951548632,0.04861638267483056,0.05173907160593416,0.03355830739033235,0.034259731181026924,0.13060422986460407,0.10781689609321232,0.11464390612979297,0.09036292540849179,0.09230884694182344,0.09059190837518012,0.09218654662213407,0.08868039471145178,0.16823697441621563,0.15687802770653558,0.10993140743432998,0.027985826037144,5.561459564268832
1.4000000000000001,0.010515874573190784,0.037018127712019726,0.01831320916547023,0.020143896537167912,0.07774448516653686,0.048609870345883745,0.05173023007749636,0.033558240450821446,0.034259655404607306,0.1278027951770172,0.10747880086487657,0.11418772760820266,0.09031303382096427,0.09225162341763399,0.09043261742086908,0.09200138418877513,0.0801086052853607,0.1580317006290994,0.14542965316565123,0.1003717319379109,0.025224158892472027,5.441564297109754
1.4500000000000002,0.010515108919054297,0.03698764440912532,0.018313140559091567,0.020143794358749585,0.07737772768246419,0.04860264998475739,0.05172043207150203,0.03355816079421629,0.03425956524543689,0.1249680848898229,0.10710985920555964,0.11369132999055322,0.09025512429688548,0.09218528974546442,0.09025339847141262,0.09179421853148084,0.07244284568053312,0.14800346792426408,0.13438358843252957,0.0915451708002508,0.02258457144205875,5.326453531797439
