Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(3),J_6s1/2(2),J_total_Ta_relativistic
2.5,0.01030619982386098,0.035516839439519,0.0179706615498961,0.019826849656711734,0.06669790538683637,0.04730333492943106,0.0503261836279598,0.0329409274662941,0.03364823029649184,0.06770327381228226,0.09041523376588372,0.09272674053530439,0.08418588247781787,0.08560889907869985,0.07933635990637693,0.08010050852757769,0.030347410616801858,0.027357563480342257,0.02069702532027242,0.015073446070766425,0.002790448544298844,3.8732175211580784
2.5500000000000003,0.010304914417523504,0.03546693959931225,0.017970320626328005,0.0198263369036541,0.06616616607076684,0.047270771412537486,0.05028222951661137,0.03293985673859559,0.03364701944077145,0.06537008763525502,0.08936290964715046,0.09140796385244397,0.08379757749977922,0.08517722294958541,0.07882628394312946,0.07955310512815779,0.030345720574678593,0.025114820914329792,0.019132066325978,0.013605804046655219,0.002713437972196312,3.8328617122545507
2.6,0.010303603792668424,0.035416131579030556,0.017969959516792033,0.019825793887813636,0.06562855042404486,0.04723646558865689,0.050235963387231845,0.0329386846539042,0.03364569429423041,0.0630900675063297,0.08828230108451053,0.090059679851599,0.08338738989129546,0.08472196221809403,0.07829938229558764,0.07898880047461992,0.030338095571677617,0.023115740756775416,0.017781600297319764,0.012284079285047614,0.002659611474600737,3.793762376966404
2.6500000000000004,0.010302267963066224,0.03536441993497629,0.017969577467595102,0.01982521948922542,0.06508528987943263,0.04720036960181877,0.05018732550694308,0.03293740420723107,0.03364424700225348,0.06086490671906026,0.0871744873828291,0.08868359352759334,0.08295511898361758,0.08424297514900271,0.07775621065757453,0.07840822435919935,0.03031326073511751,0.021342508156286587,0.016624512636504777,0.01109608073812059,0.0026238546075467036,3.75574921624086
2.7,0.010300906942749228,0.03531180929807484,0.017969173713870707,0.019824612572106933,0.06453661667219798,0.04716243608013168,0.050136257064332015,0.03293600810363062,0.03364266939004338,0.058696107284586845,0.08604061302935209,0.08728147430828079,0.08250062326391883,0.08374018640017515,0.07719735133381199,0.07781202976124997,0.030262030871490198,0.019777644360425194,0.015640789841616782,0.010030433840283926,0.0026017264146034284,3.718665972305543
2.75,0.010299520746011273,0.03525830437311604,0.017968747479766473,0.019823971985176395,0.06398276367839344,0.04712261819192676,0.05008270024707827,0.0329344887570886,0.03364095296187908,0.05658498280731948,0.08488188269026985,0.08585514800070321,0.08202382075943407,0.08321358696812188,0.07662340933831897,0.07720088880811028,0.030177126066253012,0.0184041335637066,0.014811577599071937,0.009076545071317485,0.002589409956577373,3.6823702497896447
2.8000000000000003,0.0102981093874074,0.035203909937984876,0.017968297978634147,0.019823296561974946,0.06342396425422385,0.04708086970096812,0.050026598317801096,0.03293283828991162,0.03363908890095161,0.054532661921198045,0.08369955607690481,0.08440648872172878,0.08152468907165439,0.08266323374606545,0.07603500867405097,0.07657548895801912,0.03005298851244541,0.01720552691121353,0.01411921579026497,0.008224565728233137,0.0025836609164430133,3.6467331949834496
2.85,0.010296672881753507,0.03514863084288161,0.01796782441322199,0.019822585121192643,0.06286045207665529,0.04703714502066504,0.04996789568802991,0.03293104853262455,0.0336370680697834,0.05254009224671915,0.08249494271412298,0.08293741086163905,0.0810032650742912,0.08208924871422194,0.07543278880514742,0.07593652941231015,0.029885603147430346,0.01616602567666218,0.013547253677126139,0.007465355309908178,0.002581755739587779,3.611639060102137
2.9000000000000004,0.010295211244126032,0.03509247200953167,0.017967325975869534,0.019821836466998113,0.06229246098541401,0.04699139926722262,0.04990653799020717,0.03292911102438073,0.03363488101123559,0.05060804482822852,0.08126939664260095,0.08144986112626519,0.0804596442909472,0.08149181778420048,0.07481740132964718,0.07528471776074043,0.029672324178453103,0.015270545639506057,0.013080448284390969,0.0067904448652791475,0.0025814404469579402,3.576984676600839
2.95,0.010293724489861598,0.03503543843038527,0.017966801848704576,0.019821049389371764,0.06172022482652119,0.046943588311670406,0.0498424721476368,0.03292701701388891,0.03363251795010638,0.04873711901056349,0.08002431108544153,0.07994581070022362,0.07989397997032369,0.08087118932120935,0.07418950685744043,0.07462076686089911,0.029411709129504908,0.01450476465059418,0.012704748737974532,0.006192000601525437,0.0025808809876289914,3.5426788588437366
3.0,0.010292212634556671,0.03497753516780724,0.01796625120384244,0.019820222664442444,0.061143977297505286,0.04689366883071037,0.04977564644229582,0.03292475746085932,0.033629968795321916,0.04692774771397801,0.07876111310833928,0.07842724757061038,0.07930648187836167,0.08022767236915383,0.07354977209552675,0.07394539195018138,0.029103361644034372,0.013855155309302963,0.01240726905740877,0.0056627880053269734,0.0025786157716124673,3.5086417568367385
3.0500000000000003,0.01029067569406721,0.03491876735325699,0.017965673203587364,0.019819355054827417,0.06056395179442984,0.04684159835632845,0.049706010580431614,0.03292232303797025,0.03362722314271962,0.04518020306638116,0.07748125830107531,0.07689616904722099,0.07869741482796554,0.07956163460473609,0.07289886714032812,0.0732593079867691,0.02874778392903778,0.01330900458492069,0.012176251642371674,0.005196136689284655,0.002573510837368336,3.4748041742927662
3.1,0.010289113684508307,0.03485914018645905,0.017965067000636024,0.019818445309975573,0.059980381260870824,0.04678733532411619,0.04963351575587188,0.03291970413335494,0.03362427027842276,0.04349460235225064,0.07618622550658667,0.07535457451200497,0.07806709696790765,0.0788735000473417,0.07223746297484686,0.07256322721437848,0.028346239423761833,0.01285442210815056,0.012001023443802458,0.004785906136744469,0.002564717955382281,3.441106866026044
3.1500000000000004,0.010287526622253816,0.034798658934564256,0.017964431738283056,0.01981749216651371,0.05939349803897326,0.04673083912025152,0.049558114710979186,0.03291689085360775,0.03362109918280317,0.04187091423813026,0.0748775116222296,0.07380445842707622,0.07741589785317415,0.07816374655184571,0.07156622916683442,0.0718578569441573,0.027900626017824007,0.01248033874058274,0.011871946572500286,0.0044264524880034285,0.002551635845135331,3.407499826598029
