Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Er_relativistic
26.950000000000003,0.007658422593523856,0.0013026061124300054,0.007137245434512487,0.00643923415365066,0.0007508102841642741,0.0016985714444309624,0.0017429941514843313,0.0012464427701677923,0.0011311980563478898,0.0002542704188631068,0.00038043370768347335,0.000399583307085722,0.00031738554675627036,0.0002875921675977385,9.946425465501598e-06,8.975698240881058e-06,4.411409020709938e-05,4.847026567155345e-05,4.847130010347811e-05,2.6719880100351433e-06,0.08795795168189877
27.0,0.007648154231549586,0.0012961293851089036,0.007108055254943892,0.006408971398871853,0.0007424674668289696,0.0016950929966734725,0.001737675327889346,0.001234397406389928,0.0011199592731517291,0.0002512687908597672,0.0003799668991637307,0.00039864747159154914,0.00031436294453818746,0.0002847683605454984,9.797843151071366e-06,8.840064751421356e-06,4.358854154380593e-05,4.841918169036624e-05,4.8365297910219085e-05,2.6401779749968414e-06,0.0875414384910376
27.05,0.007637886347023867,0.001289756286243704,0.007078955686806548,0.0063788244128136,0.0007342280894985874,0.001691589071143159,0.0017323408349768212,0.0012224727770036095,0.001108836145142836,0.00024830251103084085,0.000379491766653699,0.00039770420442520005,0.0003113694391918104,0.0002819726304689735,9.65163299711345e-06,8.706614624005603e-06,4.3069108823731416e-05,4.836699773824162e-05,4.825830429322377e-05,2.6087192805771896e-06,0.08712739119870055
27.1,0.007627619000367583,0.0012834855769947623,0.00704994678291381,0.006348793085684498,0.0007260912223722663,0.0016880600247531298,0.0017269911363757872,0.001210667663547636,0.0010978274722870576,0.00024537129800098265,0.0003790083580444447,0.0003967536260003597,0.0003084047647570966,0.0002792047096324554,9.50775626127362e-06,8.575312668123455e-06,4.2555745112172356e-05,4.8313717824339245e-05,4.815033378621552e-05,2.577559150802011e-06,0.08671579251676838
27.150000000000002,0.007617352251814502,0.001277316028702813,0.007021028591863467,0.006318877303492191,0.0007180559384743111,0.0016845062149297568,0.0017216266924265475,0.0011989808593521661,0.0010869320665673067,0.00024247487014276238,0.000378516723188004,0.0003957958568157111,0.00030546865721762503,0.00027646433243042116,9.366176196245785e-06,8.446126188282586e-06,4.204840336405994e-05,4.825934629992049e-05,4.804140100538687e-05,2.5466670607152215e-06,0.08630662536121267
27.200000000000003,0.007607086161410976,0.0012712464228517109,0.0069922011580778815,0.006289076948098146,0.0007101213137662462,0.0016809279994996688,0.0017162479601318607,0.0011874111694412132,0.001076148751878335,0.00023961294564589633,0.00037801691382176523,0.000394831017410033,0.0003025608544997059,0.0002737512353823522,9.22685707691839e-06,8.3190236081114e-06,4.1547036437983883e-05,4.820388783898675e-05,4.793152060298674e-05,2.5160429801897983e-06,0.08589987285307267
27.25,0.007596820789015639,0.0012652755510305924,0.006963464521844024,0.006259391897272117,0.0007022864272555392,0.0016773257365798415,0.001710855393110535,0.001175957410435521,0.0010654763639220298,0.0002367852425846942,0.0003775089834946216,0.0003938592283187432,0.00029968109647105786,0.00027106515712719523,9.089763150067944e-06,8.193972988444242e-06,4.105159711017669e-05,4.8147347419100465e-05,4.7820707220097995e-05,2.485716158054227e-06,0.08549551829942326
27.3,0.007586556194299121,0.0012594022148954744,0.006934818719353395,0.006229822024746289,0.000694550361101048,0.001673699784470721,0.0017054494415533754,0.001164618410455824,0.001054913750103241,0.00023399147898374935,0.0003769929874948621,0.0003928806100318543,0.0002968291249390667,0.0002684058384174778,8.95485782468966e-06,8.070940888452476e-06,4.0562038088370676e-05,4.808973030488233e-05,4.770897545143392e-05,2.455734941045094e-06,0.0850935451599799
27.35,0.00757629243674376,0.0012536252261303072,0.00690626378274186,0.00620036720026912,0.0006869122007152572,0.0016700505015523283,0.0017000305521814281,0.0011533930090265178,0.0010444597694261586,0.00023123137288190453,0.00037646898277976905,0.00039189528295331,0.0002940046836486439,0.00026577302211309566,8.822103339055767e-06,7.949891899158059e-06,4.0078312025384566e-05,4.803104203608231e-05,4.759633983194513e-05,2.4261508951202126e-06,0.08469393700931223
27.400000000000002,0.007566029575643323,0.0012479434064074917,0.0068777997401293445,0.006171027289658857,0.0006793710348633467,0.0016663782461832802,0.0016945991682064598,0.0011422800569797296,0.001034113292391229,0.0002285046423945185,0.0003759370279068897,0.0003909033673616681,0.000291207518279694,0.000263166453174782,8.691460991739712e-06,7.830788972463956e-06,3.960037153227799e-05,4.797128842087131e-05,4.7482814848763677e-05,2.397002254709905e-06,0.08429667750599408
