Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Eu_relativistic
31.05,0.00686728023348049,0.0010837417601361203,0.004188258856790124,0.0035658502908347415,0.00025440944612895977,0.0011619169298718224,0.00106112725469655,0.00034572893900146324,0.0003078943571050295,6.65446644338856e-05,0.00027462297695193203,0.00025264951565269933,8.500722245631088e-05,7.554051305892611e-05,1.134597552792809e-06,1.020624649844143e-06,1.1375217021247654e-05,3.740971100294813e-05,3.3126578649912824e-05,7.592324606458057e-07,0.0515750346926734
31.1,0.006855585040080293,0.0010835820375141006,0.004167614186925996,0.00354627281820979,0.0002534757061914793,0.0011569195102115594,0.001055763123615637,0.0003423136865585848,0.0003047763472886447,6.617289100109492e-05,0.00027351236310171054,0.00025141835206514765,8.416367983193283e-05,7.477153759372535e-05,1.1185535003999648e-06,1.006042264454934e-06,1.1306333229576047e-05,3.726065879675354e-05,3.296651970326034e-05,7.544672752977266e-07,0.051348963781154194
31.150000000000002,0.0068438990510060254,0.0010834322248006497,0.004147065532255342,0.0035267983397243015,0.00025256407664192094,0.0011519341668477959,0.001050418779718408,0.0003389343866034052,0.00030169188243540836,6.580919356380978e-05,0.0002724032583186037,0.00025019087051236766,8.332901158762446e-05,7.40108407601719e-05,1.1027577703492676e-06,9.916884885538538e-07,1.1238922592107279e-05,3.7111773398703706e-05,3.2806918160849946e-05,7.497864510788337e-07,0.05112415377126403
31.200000000000003,0.006832222314887143,0.00108329194865158,0.0041266125608505465,0.0035074264134571966,0.00025167416354856945,0.001146961016467751,0.001045094271428176,0.00033559064191701605,0.00029864058433639066,6.545343590578227e-05,0.00027129570816773784,0.00024896709894671595,8.250312073842134e-05,7.325833000375541e-05,1.0872066610371495e-06,9.775599309351797e-07,1.117296044340714e-05,3.696306148434413e-05,3.2647778169356346e-05,7.452047581006651e-07,0.050900596334895486
31.25,0.006820554880063484,0.0010831608415515987,0.004106254940375697,0.003488156597932505,0.0002508055781630231,0.0011420001732096081,0.001039789644823763,0.0003322820598101709,0.0002956220791838525,6.510548356879665e-05,0.00027018975744554736,0.0002477470645561336,8.168591137126832e-05,7.251391381901995e-05,1.0718956387282395e-06,9.636523005670885e-07,1.1108422444660102e-05,3.681452922164434e-05,3.248910294075939e-05,7.40736248073721e-07,0.05067828319447284
31.3,0.006808896794585706,0.001083038541750977,0.004085992338111232,0.0034689884521415556,0.000249957936869909,0.0011370517486898402,0.0010345049436739464,0.00032900825207115127,0.0002926359975194542,6.476520383623585e-05,0.00026908545018614673,0.0002465307937739289,8.08772886334912e-05,7.177750173789867e-05,1.0568194784151058e-06,9.49960555784671e-07,1.1045284588027359e-05,3.666618234594391e-05,3.233089489661023e-05,7.363912008029603e-07,0.05045720611806277
31.35,0.006797248106215733,0.0010829246932026765,0.0040658244209782965,0.003449921535564813,0.00024913086113679286,0.00113211585203046,0.001029240209471615,0.00032576883491421886,0.0002896819741830625,6.443246571668173e-05,0.00026798282966774027,0.0002453183122885064,8.007715872138528e-05,7.104900431817368e-05,1.0419725484923007e-06,9.364792047157757e-07,1.0983523197654512e-05,3.651802630124876e-05,3.217315595231947e-05,7.321739269872208e-07,0.050237356917903056
31.400000000000002,0.006785608862427203,0.0010828189454999387,0.004045750855562771,0.0034309554081933375,0.0002483239774642879,0.0011271925898861807,0.0010239954814676214,0.0003225634289286431,0.00028675964826214566,6.410713992755235e-05,0.00026688193841906414,0.00024410964505303822,7.928542886891842e-05,7.032833313205897e-05,1.0273491836706535e-06,9.232027058865605e-07,1.0923114926462571e-05,3.637006642149552e-05,3.201588788759477e-05,7.280818404697549e-07,0.050018727452520596
31.450000000000003,0.006773979110405923,0.0010827209538143315,0.004025771308139005,0.0034120896305499,0.00024753691733637095,0.001122282066471488,0.001018770796704339,0.00031939165902830185,0.000283868663041753,6.378909887877977e-05,0.00026578281822585946,0.0002429048162950781,7.850200733654882e-05,6.961540075490564e-05,1.012944071125554e-06,9.101258880377554e-07,1.0864036748679344e-05,3.6222308116997994e-05,3.185909273139373e-05,7.24105977003723e-07,0.049801309631905856
31.5,0.006762358897050331,0.0010826303788342559,0.004005885444693248,0.0033933237637097367,0.00024676931717091137,0.0011173843835876188,0.0010135661900489206,0.00031625315440184863,0.00028100866595507246,6.347821665653153e-05,0.0002646855101373733,0.00024170384952611605,7.772680340015578e-05,6.89101207540276e-05,9.987525705148584e-07,8.972442948161249e-07,1.0806265948913099e-05,3.607475702961843e-05,3.170277308596714e-05,7.202327482572973e-07,0.0495850954243776
