Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(0),J_5s1/2(1),J_total_Nb_relativistic
2.6,0.040221326670067684,0.1276336545003191,0.07362858594208721,0.15146305458862053,0.13413886567308844,0.18058981180844705,0.3641856003780377,0.2981745387659073,0.45006984023579366,0.05874285559887384,0.040084456561163925,0.0742538901142752,0.07572236773757181,0.0,0.002566380873075478,2.0714752294473295
2.6500000000000004,0.040202476603235025,0.12690162500046995,0.07360413517542849,0.15140804249396708,0.1292796574379114,0.17843603383589715,0.35955988996388727,0.29709137910347716,0.44838934448587464,0.05860024997441898,0.0369680716342929,0.06871502974192219,0.06905166576341785,0.0,0.0025535932636521455,2.0407611944778523
2.7,0.0401832799759959,0.12616044264946788,0.0735784009843683,0.15135015629958923,0.12453553981714151,0.1762338955574006,0.35483659647102067,0.29595236215639625,0.4466229897631965,0.05838204212140229,0.03423658399486317,0.06390745836498632,0.06296209051195147,0.0,0.002547646412091004,2.0114894850798706
2.75,0.040163737484401905,0.12541034286164238,0.07355134696273137,0.15128931571126222,0.11990911551803544,0.17398572788356806,0.350021042450242,0.2947571796387727,0.44477037682265236,0.058079180363243436,0.031855289858554146,0.05976002693231661,0.057410293901630216,0.0,0.002545682297660503,1.9835086586867132
2.8000000000000003,0.04014384983651331,0.1246515624180338,0.07352293684004252,0.15122544083015627,0.11540261412933492,0.17169394782834008,0.34511871573280506,0.29350565774698906,0.4428313150477319,0.05768566775785599,0.02979119347674998,0.05620564213886956,0.052355501036610685,0.0,0.002545358321320797,1.9566794031413537
2.85,0.0401236177523449,0.12388433933468121,0.0734931345142351,0.1511584522275366,0.11101790224727381,0.1693610482196365,0.3401352460260261,0.29219775610329357,0.44080582038697397,0.05719816293901482,0.028013092583384726,0.05318136317726613,0.04775943058459123,0.0,0.002544787432842466,1.9308741535291012
2.9000000000000004,0.04010304196381098,0.12310891273140254,0.07346190408398916,0.1510882710184997,0.1067564944435739,0.16698958744821765,0.33507638175150256,0.29083356601289023,0.4386941122354745,0.05661560724894231,0.026491630470175893,0.050628434996359814,0.0435862069726433,0.0,0.0025424819857277894,1.9059766333632104
2.95,0.04008212321466953,0.12232552270117247,0.07342920988066726,0.1510148189346709,0.10261956498074884,0.16458217930995508,0.3299479672463518,0.28941330808101146,0.43649660933686385,0.05593887952140028,0.02519931937329759,0.04849226806550567,0.039802266516817425,0.0,0.002537301646023317,1.8818813388091553
3.0,0.04006086226046552,0.12153441018020152,0.07339501649981725,0.15093801839579124,0.09860796018160162,0.16214148299279166,0.32475592043797513,0.2879373292389793,0.4342139247847461,0.055170479148385056,0.024110539489532245,0.04672237371733477,0.03637625930335265,0.0,0.0025284055164607067,1.858492982147435
3.0500000000000003,0.0400392598684734,0.12073581681881786,0.0733592888322117,0.15085779258012402,0.09472221136186382,0.15967019325563095,0.31950621109277677,0.28640609923005617,0.43184686020502216,0.05431423746524809,0.02320151756374282,0.04527226322491896,0.03327894838778925,0.0,0.002515208509728805,1.8357259083964048
3.1,0.04001731681763874,0.11992998485325138,0.07332199209439497,0.15077406549361352,0.0909625482374285,0.1571710308422701,0.31420483972911023,0.28482020660700075,0.4293963992018969,0.05337505700537749,0.02245028861285798,0.044099317879725076,0.03048310763625945,0.0,0.002497341907230565,1.8135034969180555
3.1500000000000004,0.03999503389851906,0.11911715697841668,0.07328309185870995,0.15068676203773126,0.08732891272052576,0.15464673316932975,0.3088578172746025,0.2831803542937323,0.426863700150767,0.05235867779327805,0.021836643982689675,0.04316463648807845,0.027963419322269152,0.0,0.002474617967369599,1.791757557936019
3.2,0.039972411913223836,0.11829757622179035,0.07324255408277713,0.15059580807594752,0.08382097302243144,0.15210004532297364,0.3034711455380003,0.2814873547634252,0.4242500884207101,0.05127146955124056,0.02134206857892371,0.042432865905174255,0.025696372419829937,0.0,0.0024469983948305018,1.7704277322112785
3.25,0.03994945167535375,0.11747148581847434,0.07320034513840024,0.1505011304987686,0.0804381379838322,0.14953371139508737,0.2980507985558714,0.2797421248847583,0.4215570481080273,0.050120248477750616,0.020949669776916417,0.041872019482845774,0.02366016236817208,0.0,0.0024145664463354624,1.7494609006105937
3.3000000000000003,0.03992615400993905,0.11663912908753574,0.07315643183987314,0.15040265728728286,0.07717957155775312,0.14695046618553348,0.2926027048649546,0.27794568048699375,0.41878621336033706,0.04891211710416538,0.020644100199454646,0.04145328762354388,0.021834592934481686,0.0,0.002377502426393424,1.7288106089682418
3.35,0.039902519753377205,0.11580074930971003,0.07311078147166446,0.15030031757516166,0.07404420737393522,0.14435302729314556,0.287132730741741,0.27609913069311154,0.41593935936815535,0.047654325639735866,0.020411476259203566,0.04115084400946954,0.020200980684157186,0.0,0.002336062314595363,1.7084365124871634
3.4000000000000004,0.03987854975336975,0.11495658960655254,0.07306336181545682,0.1501940417090634,0.07103076331768994,0.14174408761429463,0.2816466644420404,0.27420367206843915,0.4130183930978373,0.046354153164514265,0.020239294094076942,0.04094165051210792,0.01874206245936587,0.0,0.0022905592626416573,1.6883038429174504
3.45,0.03985424486885833,0.11410689282112016,0.07301414117651925,0.15008376130739257,0.06813775606051418,0.13912630826417943,0.2761502014648878,0.2722605826301401,0.41002534383626277,0.045018807016789474,0.020116344279391726,0.040805263281896195,0.017441906166337097,0.0,0.002241347702389872,1.668382900876679
3.5,0.03982960596996003,0.11325190140026226,0.07296308840939206,0.1499694093173679,0.06536351548408047,0.13650231193247261,0.2706489308572041,0.2702712157606188,0.4069623536138229,0.0436553387391281,0.020032626480028605,0.04072364206786877,0.01628582509605364,0.0,0.0021888098126779084,1.648648574940938
