Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(5),J_7s1/2(2),J_total_Rg_relativistic
1.0,0.005185371064382299,0.019576394981577067,0.009049277691125287,0.01224878487900572,0.04324633411412235,0.024997128314878554,0.030020245449593252,0.019099003273634695,0.02009151551423745,0.0804681479131913,0.05193929687551557,0.06085516130562807,0.04412337507921056,0.04590911926377082,0.034189595124960614,0.034845788605215824,0.13615494553931595,0.10166288595031965,0.11964333282698282,0.09625212036300934,0.10059623831259512,0.09604514793877354,0.09852046879648635,0.18227945766907433,0.2075669946410242,0.23215209204883425,0.2399875466443933,0.23028769434787516,0.041878955682723235,9.224895256234685
1.05,0.005185285890336023,0.019573043676300313,0.00904927657257137,0.012248781570787603,0.04320500181895801,0.02499702347021614,0.03001998736680967,0.019099002980444375,0.020091515119739074,0.08014959499702977,0.05193512424863784,0.06084594653525204,0.04412329498080382,0.04590901490509406,0.03418959433671757,0.034845787687938924,0.134149600404524,0.10154333035387754,0.11937872532167902,0.0962352468465959,0.10057354715124123,0.09603560879595138,0.09850827042772578,0.17124720177540256,0.20355515291667442,0.22342147888340355,0.22955420761773,0.2168896463548635,0.0415432825294327,9.04404890427404
1.1,0.005185196563786611,0.01956952959019942,0.009049275296394424,0.012248777755965742,0.04316169811734364,0.024996902636678076,0.030019690019469594,0.019099002609003827,0.020091514619987663,0.07981692636798066,0.051930326977299324,0.06083536487908326,0.04412319384244973,0.04590888317756891,0.034189593244355276,0.034845786417010985,0.13208032623049248,0.10140716750961894,0.11907890753099787,0.0962142919452166,0.10054542504318932,0.09602306383211946,0.09849229660897381,0.16049163413290607,0.19921134611234292,0.214295301934524,0.21898301323627645,0.2038192933056976,0.041484209989712514,8.862711264301149
1.1500000000000001,0.005185103085066595,0.019565852822739354,0.009049273847909177,0.012248773385406558,0.04311642935689901,0.024996764280056576,0.030019349663091274,0.01909900214348648,0.020091513993708877,0.07947033880199246,0.05192484798970617,0.06082329453130034,0.044123067529925605,0.04590871871905594,0.034189591753511425,0.03484578468282201,0.1299513826607197,0.10125318261704534,0.11874166487893628,0.09618857076371148,0.10051097981573964,0.09600684168532114,0.09847172943549334,0.15006748399924316,0.19455044030297444,0.20484967592335004,0.20835918779584897,0.191133464321266,0.04144151138349943,8.681408879112807
1.2000000000000002,0.005185005454523957,0.019562013477970645,0.009049272211756035,0.012248768407734027,0.04306920216826833,0.024996606799241185,0.03001896239429307,0.01909900156579849,0.020091513216584842,0.07911003673101999,0.05191862825788587,0.060809610093029626,0.04412291135196834,0.04590851544950242,0.03418958974710334,0.034845782349419215,0.12776710267447294,0.10108017189738014,0.11836487196370113,0.09615733662015578,0.10046924396544347,0.09598618652358087,0.09844565547265947,0.14002269224225297,0.18959130025283547,0.195163419228852,0.1977590019840641,0.17887546323086334,0.041253446508220624,8.50076560393428
1.25,0.005184903672522116,0.019558011664523842,0.009049270371902259,0.01224876276933549,0.04302002346347684,0.024996428526816647,0.030018524152828557,0.01909900085537779,0.02009151226098539,0.07873623204917223,0.05191160688690978,0.06079418283060066,0.04412272001893557,0.04590826651873235,0.0341895870813422,0.03484577924990213,0.12553187873134627,0.10088694947020281,0.11794650921064877,0.09611978231317618,0.10041917744095104,0.09596025892199596,0.09841306857661992,0.13039827921024166,0.18435637138508715,0.18531613773412986,0.18724980833481908,0.16707738155867763,0.0408300731984579,8.321452273890333
1.3,0.005184797739439934,0.019553847495603734,0.009049268311643202,0.012248756414367712,0.04296890043421921,0.024996227729685207,0.030018030723701943,0.01909899998898594,0.020091511095689837,0.07834914391244009,0.051903721206795435,0.0607768809401385,0.04412248760136014,0.045907964254307626,0.034189583581304764,0.03484577518131092,0.12325014892244285,0.10067235409126159,0.11748467857199432,0.09607504217428857,0.10035967148359705,0.09592813843274078,0.09837287473347629,0.12122832543032451,0.17887120918196964,0.1753864767519901,0.17689034164523101,0.15576205155598938,0.040132306115616176,8.144147950575201
1.35,0.0051846876556717065,0.01954952108898334,0.009049266013603594,0.0122487492847632,0.0429158405500804,0.024996002609713054,0.030017477739362582,0.01909899894049295,0.02009150968559962,0.07794899853226979,0.051894906866935354,0.060757569817900564,0.04412220748858432,0.045907600109713405,0.034189579036045734,0.03484576989898967,0.1209263831871605,0.10043525571351387,0.1169776181634233,0.09602219489558717,0.10028955349174781,0.0958888278120114,0.09832389880900323,0.11254005640086676,0.1731639717935036,0.16545057744061017,0.16673118324229344,0.14494467039645165,0.03915585960653894,7.9695109305466625
1.4000000000000001,0.005184573421627162,0.019545032566997637,0.009049263459738884,0.012248741320236768,0.042860851556689644,0.024995751304400644,0.03001686068197721,0.019098997680655348,0.020091507991442045,0.07753602896325411,0.05188509793289547,0.06073611233575588,0.04412187234766061,0.04590716461312069,0.03418957319323637,0.03484576311040931,0.11856506965310386,0.10017456183526023,0.11642371574009724,0.09596026711117439,0.10020759285819604,0.09584125881871822,0.09826489304551697,0.10435402136776174,0.16726489107452033,0.15558076029272014,0.1568153167203498,0.1346341386648678,0.03791918382936249,7.798157758273764
1.4500000000000002,0.005184455037731458,0.01954038205653707,0.009049260631336624,0.01224873245829234,0.04280394147380813,0.024995471887576594,0.030016174885778537,0.019098996176887678,0.020091505969465573,0.0771104748852209,0.05187422698542273,0.060712369121196645,0.04412147408270523,0.04590664731697724,0.034189565753317594,0.03484575446843793,0.11617070115489021,0.09988922360127683,0.11582152092750615,0.09588823769944417,0.10011250771455132,0.09578429945707653,0.09819454709773609,0.09668435497831715,0.16120573629113577,0.14584444602648847,0.14717872516143557,0.12483415846940667,0.03645457575655662,7.630648677783316
