Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Tb_relativistic
73.8,0.0013454546495843332,0.00030342850182998106,0.00011203068522438374,6.0576474255364524e-05,7.20249117570966e-05,3.0469019093939174e-05,1.709663848122435e-05,8.01024326221365e-07,5.613306460073831e-07,1.7686867367169584e-05,7.293682060045567e-06,4.067551316444084e-06,1.9239596737846206e-07,1.3433593101869455e-07,4.4723915636326795e-10,3.588665078443529e-10,2.915328188565831e-06,9.74776675737215e-07,5.187224686001157e-07,1.8153256286984118e-07,0.004122108895445792
73.85000000000001,0.0013428310911358097,0.00030276649843614733,0.00011163035168443538,6.032993705243894e-05,7.186498688333364e-05,3.035684951305021e-05,1.702513004155058e-05,7.966707892085239e-07,5.581113255168599e-07,1.764744527894481e-05,7.266640066415191e-06,4.050421608269289e-06,1.9134749388070234e-07,1.3356412215844332e-07,4.4543002640268247e-10,3.5743155895278536e-10,2.9087994993540106e-06,9.712252747900949e-07,5.165801427067732e-07,1.811189751893555e-07,0.004112644159568044
73.9,0.001340212999375425,0.00030210596531429865,0.00011123165075057565,6.008451574329867e-05,7.170541697034428e-05,3.0245151251459497e-05,1.6953954651717116e-05,7.923435362027114e-07,5.549122786511376e-07,1.7608109925445304e-05,7.239712769222549e-06,4.033372536299947e-06,1.9030627640929596e-07,1.3279803912439066e-07,4.436321404486723e-10,3.5600206805271275e-10,2.902300712528233e-06,9.676896759451602e-07,5.144483087404395e-07,1.8070821194225518e-07,0.004103205165830746
73.95,0.0013376003631776294,0.00030144689986029926,0.00011083457504526105,5.9840204814784825e-05,7.154620145151573e-05,3.0133922116396736e-05,1.688311061733265e-05,7.880423934207612e-07,5.517333666969178e-07,1.7568861203822802e-05,7.212899749273651e-06,4.016403836005729e-06,1.8927225121541537e-07,1.3203762879515327e-07,4.4183387337743437e-10,3.5456770384653196e-10,2.895831746603602e-06,9.64168780140021e-07,5.123262611358542e-07,1.803006147645688e-07,0.004093791828866298
74.0,0.0013349931714347577,0.00030078929946830745,0.0001104391172270593,5.959699878300597e-05,7.138733975900953e-05,3.0023159926120443e-05,1.681259625327132e-05,7.83767188324995e-07,5.485744519638823e-07,1.7529699019941774e-05,7.186200584854293e-06,3.999515239154135e-06,1.8824534241574248e-07,1.312828265993369e-07,4.4002476517049875e-10,3.5311924290754894e-10,2.8893922965737397e-06,9.606615293728007e-07,5.102133367157723e-07,1.798965309558158e-07,0.004084404063303157
74.05,0.0013323914130570313,0.000300133161530838,0.00011004526999046153,5.935489219317352e-05,7.122883132378411e-05,2.991286250985925e-05,1.6742409883619033e-05,7.795177496135836e-07,5.454353977765734e-07,1.7490623287904494e-05,7.1596148500832255e-06,3.982706471744002e-06,1.8722546250067365e-07,1.305335569962052e-07,4.3819559538579013e-10,3.5164862569285516e-10,2.8829818422903457e-06,9.57166920867408e-07,5.081089239594042e-07,1.7949621024469538e-07,0.004075041783633254
74.10000000000001,0.001329795076972561,0.0002994784834388239,0.00010965302606569548,5.911387961943807e-05,7.107067557561709e-05,2.980302770775353e-05,1.667254984162012e-05,7.75293907210988e-07,5.423160684663431e-07,1.7451633929448536e-05,7.133142113355368e-06,3.965977252047044e-06,1.8621251300992715e-07,1.297897341128833e-07,4.3633832092732724e-10,3.5014887060692584e-10,2.876599659740049e-06,9.536840178446638e-07,5.060124681932071e-07,1.7909972781715862e-07,0.004065704904115402
74.15,0.001327204152127352,0.00029882526258167896,0.00010926237821854027,5.887395566472701e-05,7.091287194312766e-05,2.9693653370797473e-05,1.6603014469624392e-05,7.710954922584837e-07,5.392163293633731e-07,1.7412730873224513e-05,7.106781935897527e-06,3.949327288785559e-06,1.8520638536424308e-07,1.2905126252712227e-07,4.3444590780874217e-10,3.486138757716224e-10,2.8702448347891677e-06,9.50211956977493e-07,5.039234729219656e-07,1.7870695185062142e-07,0.004056393338751615
74.2,0.0013246186274853016,0.0002981734963473573,0.00010887331925014105,5.8635114960582486e-05,7.075541985379829e-05,2.9584737360781184e-05,1.6533802119034326e-05,7.669223371047522e-07,5.36136046788754e-07,1.7373914053963363e-05,7.0805338704573254e-06,3.932756279472351e-06,1.8420696183986792e-07,1.2831803818284226e-07,4.3251210505774647e-10,3.4703815297753764e-10,2.863916278970653e-06,9.467499529100569e-07,5.018414979124779e-07,1.7831756463755794e-07,0.0040471070013573425
74.25,0.001322038492028205,0.0002975231821224148,0.00010848584199682578,5.83973521670009e-05,7.059831873399673e-05,2.94762775502334e-05,1.646491115025275e-05,7.627742752965618e-07,5.330750880466406e-07,1.7335183411544578e-05,7.054397460144426e-06,3.916263908936731e-06,1.8321411667078155e-07,1.2758994942412445e-07,4.305312246914549e-10,3.4541656608468425e-10,2.857612746917865e-06,9.432973004611314e-07,4.997661549491913e-07,1.7793113423982575e-07,0.004037845805724263
