Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(2),J_total_Po_relativistic
0.5,0.00851331005107501,0.030436285478862055,0.014738071011668475,0.016916661612436237,0.06654733044508576,0.039036368381065216,0.042634164607277904,0.027417289286714667,0.028204616906689062,0.13231839328137207,0.08506180840468237,0.0928459986001155,0.06924943516361465,0.07107074103880574,0.057627983780029146,0.05840949213462038,0.26553107334909165,0.1965717280232391,0.21735306894306441,0.19836264130550554,0.20571914124901178,0.3724793509298004,0.47715354052715275,0.45236874857754183,9.583639889920368
0.55,0.008513153580396882,0.030430098282932215,0.014738069754403846,0.01691665943169337,0.06647117509356976,0.0390362403750863,0.0426339660118103,0.027417289149942917,0.02820461674453504,0.13163439122293358,0.0850551967305744,0.09283579786005831,0.06924935763741402,0.0710706484423931,0.05762798152610321,0.0584094895756084,0.25909694270997713,0.19617246133517285,0.21670416028043213,0.1982365945181205,0.2055555921314161,0.31572855367324393,0.42902306685855607,0.3835352349780372,9.216873418419206
0.6000000000000001,0.008512982212540883,0.030423323434086793,0.014738068110649304,0.01691665657054399,0.06638787237656968,0.03903607255692783,0.042633705696168034,0.02741728893543995,0.02820461649023668,0.13088952112480828,0.08504656019333336,0.09282248480905379,0.06924923668414128,0.07107050402571927,0.057627977355955345,0.05840948484307482,0.25224009285943494,0.19566154991048024,0.21587872809421024,0.1980509583825447,0.20531617348249515,0.2647570367891912,0.3809488357689967,0.32072390273956386,8.871199379712612
0.65,0.008512795948813559,0.03041596136921412,0.014738066007782337,0.016916652900338346,0.0662974509057422,0.039035857461219625,0.04263337210983656,0.02741728861131664,0.028204616106001428,0.13008491911036474,0.08503553441352313,0.0928055050837686,0.06924905495527799,0.07107028712309053,0.05762797003589224,0.05840947653977056,0.24500604086804292,0.1950237352271885,0.2148548821503305,0.19778874899029125,0.20498013344020077,0.22005472832319828,0.3344119589412186,0.26505146250434164,8.552572893915212
0.7000000000000001,0.008512594790634976,0.030408012562965867,0.01473806336692085,0.016916648281358276,0.06619994170801702,0.039035587002692475,0.042632952751456954,0.02741728813678667,0.02820461554349808,0.1292218073830368,0.08502173016633166,0.0927842685673758,0.06924879052899864,0.0710699716415558,0.0576279577507068,0.05840946261152544,0.2374417595861795,0.19424424387703967,0.21361222784782732,0.19743145130642753,0.20452524129680696,0.1817361037320203,0.2905262837439531,0.21685441221226873,8.263898008232657
0.75,0.008512378739538695,0.03039947752770043,0.01473806010293699,0.016916642562846754,0.06609537820760522,0.039035252483403116,0.04263243418201725,0.027417287460674858,0.028204614742092453,0.12830149118497225,0.08500473499390898,0.0927581522908695,0.0692484162583709,0.07106952529638474,0.057627937916760866,0.05840944013715954,0.2295951832057375,0.19330909353916928,0.21213237065414522,0.19695956288584773,0.20392853558445342,0.1496164084573914,0.25004325354090523,0.17592722026173876,8.00567453200453
0.8,0.008512147797171746,0.030390356813421837,0.01473805612447204,0.016916635583039755,0.06598379620664074,0.03903484460050109,0.04263180203902152,0.027417286519821744,0.028204613626961157,0.1273253555655702,0.08498411490904337,0.092726503485411,0.06924789910989614,0.07106890883829085,0.05762790696123075,0.058409405080889515,0.22151471828099095,0.19220537646572064,0.21039935741888463,0.19635320610277,0.2031671282970843,0.12329021715798463,0.21339435911419088,0.1417306618072823,7.776665357709879
0.8500000000000001,0.008511901965294602,0.030380651007714192,0.01473805133395243,0.01691662716920044,0.0658652338644716,0.03903435345452941,0.042631041051619176,0.027417285237387855,0.028204612107087752,0.12629486197134832,0.08495941618221714,0.09268864276886968,0.06924719950052743,0.07106807528241894,0.05762786006697273,0.05840935200684207,0.2132487670707692,0.19092151497243717,0.20840004554573358,0.19559276967770456,0.2022190115989762,0.10220497613871857,0.18075078505047887,0.11355193349197548,7.574491507199456
0.9,0.008511641245781146,0.030370360735671648,0.014738045627606814,0.016916617137655642,0.06573973167561833,0.039033768558250165,0.0426301350566759,0.0274172835210614,0.028204610073145883,0.12521154466913245,0.08493016720374978,0.0926438674491254,0.06924627064134692,0.07106696914912969,0.05762779088340878,0.05840927375637256,0.20484526954922921,0.18944748440240905,0.20612439377317188,0.19465954177312814,0.20106381879151453,0.08572494523079811,0.1520861559320541,0.0906164932553453,7.396116977014127
0.9500000000000001,0.008511365640618643,0.030359486659823954,0.01473803889548423,0.016916605293834677,0.0656073324464184,0.03903307884598596,0.042629067015766284,0.027417281261173265,0.02820460739527418,0.12407700701505621,0.08489588041245114,0.0925914549262211,0.069245057896037,0.07106552572650912,0.057627691204815853,0.05840916109000879,0.19635126981511442,0.18777500007679643,0.20356567109449922,0.19353630127322885,0.1996835000546148,0.07318332611702227,0.1272341015735328,0.07215971249710426,7.238218190041214
