Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Ac_relativistic
0.8,0.00780146747539836,0.028005902850355,0.013498746125029321,0.015836544745085435,0.0608444689416719,0.03583381163918755,0.03964469924988705,0.025436036658378822,0.026259876293320956,0.11669887778741977,0.07695754633322287,0.0847857207550261,0.0627690855655629,0.06455039135330791,0.05077521693383363,0.05148560423857865,0.20431671373889793,0.16606873392465152,0.1830599240157232,0.15870065186293075,0.16377312977005046,0.1941307839158184,0.2989958732405059,0.2885145432645744,0.15870065186293075,0.06539053896373392,8.374812926215098
0.8500000000000001,0.007801273437315636,0.02799827162632327,0.013498742931954045,0.015836538670649544,0.060751694184969764,0.03583348971880046,0.03964416757573685,0.025436035906962064,0.026259875384342747,0.1159154018027413,0.07694236385680214,0.08476126938744367,0.06276874463955123,0.06454998014085546,0.05077520618990289,0.05148559213213485,0.19844839538875886,0.16542842920337766,0.18203380750249687,0.1585316200223053,0.16356602355971248,0.1699219453373021,0.2787184428486957,0.2616259371471245,0.1585316200223053,0.06040204815127571,8.147196349113978
0.9,0.007801067647085963,0.027990180434692487,0.01349873913131694,0.015836531427982248,0.06065345983445286,0.035833106258770314,0.03964353443494497,0.02543603490105523,0.02625987416760076,0.11509050157688529,0.07692436037139908,0.08473231020259928,0.06276829107374544,0.06454943329715061,0.0507751902254146,0.05148557414988507,0.19242142164203843,0.16468533845240724,0.18085047832865495,0.15831587733569114,0.16330255653995104,0.14832584937820956,0.25805841441181615,0.23533399845214853,0.15831587733569114,0.05462382058176412,7.923003539984437
0.9500000000000001,0.007800850106074226,0.0279816297210649,0.013498734650294945,0.015836522876475436,0.06054979435994509,0.035832653967111716,0.03964278785715909,0.02543603357621551,0.026259872565203318,0.11422519658649703,0.0769032262775044,0.08469835924730797,0.06276769760920464,0.06454871810257554,0.05077516705066418,0.051485548056455915,0.18626359101178205,0.16383264918625823,0.1795016251815609,0.15804559373829005,0.16297361301255364,0.12935245071714688,0.2373440449251942,0.21005334220176056,0.15804559373829005,0.04848521920511012,7.705342133155781
1.0,0.007800620815723176,0.027972619956216437,0.013498729411973028,0.01583651286765245,0.060440727768573566,0.03583212517051727,0.039641915258388116,0.025436031856597183,0.0262598704854914,0.11332055079052566,0.07687864136268754,0.08465891849173202,0.06276693261397544,0.06454779662556268,0.05077513410748119,0.05148551097981967,0.18000257003781345,0.16286418551048656,0.17798028480832434,0.1577126404414274,0.16256983168401795,0.11294240360720692,0.2168806808169106,0.18611960709208672,0.1577126404414274,0.042343777653128065,7.496679165219563
1.05,0.007800379777553414,0.027963151636048678,0.013498723335355685,0.01583650124519562,0.06032629159011259,0.03583151182012094,0.03964090345242002,0.025436029653724983,0.026259867821562106,0.11237767050537376,0.07685027586609734,0.08461347782427571,0.06276595973616379,0.06454662531967721,0.05077508815825559,0.05148545928780856,0.1736656997063761,0.16177449534088872,0.17628095792523235,0.15730873267713424,0.1620817865750433,0.09897935495141216,0.19694156893562004,0.16378724603577183,0.15730873267713424,0.036466879504827715,7.298803854366082
1.1,0.007800126993163362,0.027953225281538284,0.013498716335379052,0.01583648784497525,0.06020651886160704,0.03583080549753818,0.039639738662773934,0.025436026865217034,0.02625986444973241,0.11139770220914151,0.07681779157115666,0.08456151708692385,0.06276473756755316,0.06454515463557825,0.05077502516378554,0.05148538845244959,0.1672798114361124,0.16055892596346727,0.17439969804508462,0.15682558129059226,0.16150017484151596,0.08730242728128121,0.17776168877975815,0.14323220585065705,0.15682558129059226,0.031035385890241844,7.1128602285097395
1.1500000000000001,0.007799862464229246,0.027942841438683887,0.013498708322923617,0.01583647249508004,0.06008144411128611,0.035829997421177505,0.03963840653517361,0.025436023373459755,0.02625986022794624,0.11038183028112764,0.07678084292245108,0.08450250814214864,0.06276321932112208,0.06454332865196084,0.05077494015039648,0.0514852929026879,0.16087105420351844,0.15921368717200987,0.17233417271380264,0.15625504829828904,0.16081600520952588,0.07771829770703821,0.15953437029425405,0.12455813470074154,0.15625504829828904,0.026156647851573355,6.939417307658584
1.2000000000000002,0.007799586192505064,0.027932000678450458,0.013498699204827542,0.01583645501584895,0.05995110334177881,0.03582907845281796,0.039636892150529374,0.02543601904423719,0.02625985499412798,0.10933127468287968,0.07673907816275609,0.08443591696246311,0.06276135252570778,0.0645410847294254,0.05077482706700126,0.051485165866314644,0.15446473417571432,0.1577359014649451,0.17008369724377537,0.1555893016108481,0.16002078103275555,0.07001241648206721,0.14241032725131447,0.10780486913118331,0.1555893016108481,0.0218801530110101,6.778556636421733
1.25,0.00779929817982257,0.027920703596711147,0.013498688883900576,0.015836435219904462,0.05981553401264338,0.03582803910444666,0.03963518003841476,0.025436013725317314,0.02625984856448556,0.10824728858719357,0.0766921404861096,0.08436120573369905,0.06275907874092816,0.06453835319103128,0.05077467863298707,0.05148499920215684,0.14808516800305443,0.15612364102507015,0.1676492415870486,0.15482096439513487,0.15910667252301045,0.06395904388609001,0.12649866671042256,0.09295813999454569,0.15482096439513487,0.01821249354148493,6.629964725255347
