Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(2),J_total_Nd_relativistic
1.6,0.013181586900322359,0.046010052845079974,0.02322699949899924,0.02474767648672786,0.09290414609878671,0.06262173544777433,0.0653119629415564,0.04309445501160384,0.043717887652260194,0.1162052933574697,0.13076040590607163,0.13436301800967634,0.1171615716192378,0.11863339170178175,0.11863339170178175,0.04192771727769476,0.06651502368410075,0.0561911719526001,0.005465139892948255,4.426105947471737
1.6500000000000001,0.013179918515156926,0.04594235439617343,0.023226677651567527,0.024747255905601062,0.09209376001539667,0.06258581086811879,0.06526794695943339,0.043093585876287484,0.04371694174869791,0.1115095527963832,0.129254797984745,0.13258668303291105,0.11668325423351728,0.1181172217816827,0.1181172217816827,0.040990245295306205,0.058796501659363086,0.049304126887679295,0.004777136158770264,4.345909200287977
1.7000000000000002,0.01317819910406017,0.04587268824089723,0.023226325668431597,0.024746796001330524,0.09126630302580789,0.06254676607711186,0.06522013835620827,0.04309258349138796,0.043715851041189455,0.10689411349299643,0.1276682243135712,0.13072113464952273,0.1161564011464411,0.11754947717062925,0.11754947717062925,0.040400799429428334,0.05194572535260873,0.04331043193989816,0.004252629827161806,4.271013258348936
1.75,0.013176428695045882,0.045801064636006195,0.02322594177016464,0.024746294461144094,0.09042240899182154,0.06250445264892554,0.06516836127101662,0.04309143284293161,0.043714599259843764,0.10236849731539385,0.12600245709477226,0.12876921390172202,0.11557927878386093,0.11692844622258647,0.11692844622258647,0.04006555324241137,0.04590921717543527,0.03813690177698923,0.0038621364997819168,4.2008037416855695
1.8,0.013174607316952643,0.045727494111047526,0.02322552413299762,0.02474574891574888,0.08956271951710905,0.06245872240305377,0.06511244070230632,0.043090117852857275,0.04371316898977553,0.09794144386638157,0.124259665888423,0.12673421651159078,0.11495038528172159,0.11625267481988266,0.11625267481988266,0.03990345061144943,0.040629555704400674,0.03370936562196866,0.0035795685436712634,4.134689931099544
1.85,0.013172734999442819,0.04565198746552154,0.023225070889559718,0.024745156940383033,0.08868788313812845,0.06240942771977442,0.06505220290910133,0.043088621357145716,0.04371154164877315,0.09362090035370549,0.12244239731792729,0.12461986115026175,0.11426846509591664,0.11552098043597754,0.11552098043597754,0.039845699229005126,0.03604708053004782,0.029954276933834383,0.0033821822351795543,4.072113398551537
1.9000000000000001,0.013170811773001527,0.04557455576597522,0.02322458012963544,0.02474451605589056,0.08779855451441687,0.06235642185257073,0.06498747580683337,0.0430869250869483,0.043709697468301036,0.08941401704560711,0.12055355218594412,0.12243025497466718,0.11353252041212258,0.11473246263795006,0.11473246263795006,0.039835052016750194,0.03210134002632216,0.02679999976994455,0.0032504237001482793,4.012554171125168
1.9500000000000002,0.013168837668935576,0.04549521034302962,0.023224049900938036,0.024743823729818655,0.08689539361969144,0.06229955923680832,0.0649180893567963,0.04308500965284462,0.04370761547797278,0.08532714804588612,0.11859636035908154,0.12016985695100549,0.11274181933911935,0.11388651004803066,0.11388651004803066,0.039824939958044515,0.028732294371657897,0.024177804815577367,0.0031677107360152962,3.955534788840351
2.0,0.013166812719372376,0.045413962788342484,0.023223478209898837,0.02474307737753687,0.08597906493516859,0.062238695793982626,0.0648438759483096,0.04308285453234394,0.0437052734936154,0.08136585708991424,0.11657435378406504,0.11784343947780622,0.11189590092784157,0.11298280384647247,0.11298280384647247,0.039778510690689425,0.025881291391601745,0.022022609847704048,0.0031201777353642526,3.9006225965032897
2.0500000000000003,0.013164736957258819,0.04533082495150729,0.023222863022472097,0.024742274363377555,0.08505023664648682,0.062173689230873054,0.06476467077271174,0.043080438060730454,0.04370264810902765,0.07753492803564792,0.11449133799730278,0.11545604880830121,0.1109945771107607,0.11202131795320867,0.11202131795320867,0.03966761823950327,0.02349183599659891,0.020273499343551295,0.0030964034393428414,3.847430583343737
2.1,0.013162610416360134,0.04524580893688999,0.023222202264954948,0.024741412001796956,0.08410957984559002,0.062104399332962655,0.06468031218834028,0.04307773742533685,0.043699714691518204,0.07383837970157238,0.11235136248424324,0.11301296475254806,0.11003793170161395,0.11100231607261624,0.11100231607261624,0.03947180082247804,0.021510175599837224,0.01887405660001797,0.0030871355770516035,3.7956170539891887
2.15,0.013160433131258713,0.045158927100404804,0.023221493824822068,0.024740487558556276,0.08315776773889694,0.062030688251506316,0.06459064207569463,0.04307472866331519,0.04369644738129214,0.07027948468655845,0.11015869023512118,0.11051966011525284,0.1090263166336861,0.1099263458241354,0.1099263458241354,0.03917727593949314,0.019885724302439158,0.01777253953377393,0.003085022177313427,3.7448843825271383
2.2,0.01315820513735291,0.04507019204623039,0.0232207355515746,0.024739498251922128,0.08219547486304923,0.061952420783656384,0.06449550618201727,0.043071386662958455,0.04369281909473654,0.06686079179464934,0.10791776683011972,0.10798176029636705,0.10796034564576278,0.10879423021157507,0.10879423021157507,0.03877597506490221,0.018571348149602127,0.016921928621827398,0.0030843561328109076,3.6949770694506183
2.25,0.013155926470855808,0.04497961662346768,0.02321992525760297,0.024738441253885683,0.08122337630949351,0.06186946464508146,0.06439475445457175,0.04306768516861032,0.04368880153163834,0.06358415168057907,0.1056331893701581,0.10540500344914494,0.10684088564865918,0.1076070567059736,0.1076070567059736,0.03826463426267469,0.017523532656236015,0.016279872473778885,0.0030808372032103373,3.6456792904358633
2.3000000000000003,0.013153597168793964,0.04488721392274085,0.023219060719063076,0.024737313691399865,0.0802421469591141,0.061781690734542455,0.06428824136193956,0.043063596789185,0.04368436518635033,0.06045074532907939,0.10330967554997225,0.10279520155527566,0.10566904602220457,0.10636616423136389,0.10636616423136389,0.03764395192256091,0.01670245228643893,0.015808553487193164,0.003071353870592288,3.5968120968627852
2.35,0.013151217269006124,0.04479299727274273,0.02321813967676553,0.02473611264763394,0.07925246072809217,0.06168897338991942,0.06417582620270261,0.04305909301030355,0.043679479362903714,0.05746111498243924,0.10095203314841072,0.1001582027397487,0.10444616610317962,0.10507312835032208,0.10507312835032208,0.03691782053972963,0.01607195981419314,0.015474493058968539,0.003053786158993047,3.5482304012867547
2.4000000000000004,0.013148786810141904,0.044696980236726136,0.023217159837077412,0.024734835163244807,0.0782549898261232,0.06159119063521272,0.06405737340092474,0.043054144210037594,0.04367411219404868,0.05461519713598962,0.09856513018742587,0.09749985511001273,0.1031738011295067,0.10372974494746157,0.10372974494746157,0.036092635966754515,0.015599511620389134,0.015248312997538555,0.003026829588629682,3.499819856999941
2.45,0.013146305831660456,0.044599176608942484,0.023216118872836138,0.024733478237664308,0.07725040402807966,0.061488224418073646,0.0639327527878924,0.04304871967823629,0.04366823066418775,0.051912357229833436,0.09615386598658716,0.09482597236544095,0.1018537069055994,0.10233801270482816,0.10233801270482816,0.035176684779979296,0.015256043088585754,0.01510446715947186,0.0029898397680112156,3.451493719409712
2.5,0.013143774373829095,0.0444996004110292,0.023215014424275,0.024732038830401905,0.07623936996015838,0.0613799608374511,0.06380183986962279,0.04304278763939768,0.0436618006361505,0.049351425676836175,0.0937231433145336,0.09214230138473604,0.1004878234488368,0.10090011465424115,0.10090011465424115,0.034179608239760545,0.015015806417002031,0.015020954951225962,0.0029426966664643263,3.403189758279987
2.5500000000000003,0.013141192477721903,0.044398265888347305,0.023213844099959895,0.024730513862361976,0.07522255040150352,0.06126629036097369,0.06366451607969609,0.0430363152790312,0.043654786881742395,0.04693073488125646,0.09127784181303952,0.08945449196125455,0.09907825786831323,0.09941839907879457,0.09941839907879457,0.03311193970216515,0.014856181413984683,0.014979026206136318,0.0028856873073573827,3.354867273729136
2.6,0.01313856018521831,0.04429518750627076,0.023212605477736816,0.02472890021717508,0.07420060360224569,0.0611471080317195,0.0635206690170173,0.043029268773444304,0.043647153115985375,0.04464815691903233,0.08882279284367652,0.08676806881977651,0.09762726671498471,0.097895360019743,0.097895360019743,0.03198471117719985,0.014757468218818898,0.014962885068825682,0.0028194054425484576,3.3065042551519137
