Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(1),J_6s1/2(2),J_total_Re_relativistic
1.4500000000000002,0.009964451179829262,0.03511458234752717,0.017322182069900802,0.01923580675233285,0.07367271616016732,0.04589235558268612,0.049122255436989795,0.03179367950405161,0.03251631181542811,0.12176138469240519,0.1007867962163746,0.10762570611155799,0.08415450640555679,0.08605787891489436,0.07807863676880693,0.07923652217071102,0.08601694046123813,0.15967047409243662,0.1505318962202203,0.1377791802062315,0.12859056390205972,0.028408959942343635,5.620593514300106
1.5,0.00996377022842076,0.03508760639167811,0.01732212388373021,0.01923571670498841,0.0733504971024675,0.04588632638826553,0.04911383600760168,0.031793615180128014,0.03251623824301709,0.11929074459134657,0.10048912219638105,0.107215634578344,0.08411308499181347,0.08601011273697766,0.07803195165070581,0.07918358759572205,0.07856219695146482,0.1514464743024952,0.14104892250830223,0.1285704105460731,0.11941643675884478,0.02609401310887631,5.491585585668079
1.55,0.009963066263803768,0.035059740138157006,0.0173220596301521,0.019235617273218823,0.07301892380246386,0.04587968802310732,0.0491045706483573,0.03179353952374118,0.032516151721802646,0.11679334523557358,0.10016614959965936,0.10677195544384685,0.08406543147375856,0.08595522535711048,0.07797782838694706,0.0791223971442776,0.07180167459694951,0.14328323314167993,0.13179629645111549,0.1197915924439034,0.11073677926140982,0.023822108196648373,5.366867179498948
1.6,0.009962339292957522,0.03503098597600775,0.01732198890597095,0.019235507835108526,0.07267814497804287,0.045872403331968674,0.0490944085633505,0.0317934510262413,0.03251605053112884,0.11427352828384105,0.09981705580324851,0.10629377124589591,0.08401094160992087,0.08589254034737027,0.07791560065847061,0.0790522445054269,0.06571138989028018,0.13522445054068039,0.12281906721494662,0.11144489103743008,0.10254361665301343,0.021627211662896266,5.246713873381611
1.6500000000000001,0.009961589323088483,0.03500134636851818,0.017321911295795946,0.019235387750181843,0.07232831293732975,0.045864434462507965,0.04908329811025198,0.03179334804123674,0.03251593279387765,0.1117355900453152,0.09944108065504828,0.10578028646728413,0.08394899217467035,0.08582136252465938,0.07784460711541237,0.07897243366505484,0.060262558741244,0.1273101569713828,0.11415577487393483,0.10352883680463502,0.09482636786697929,0.019535393843685862,5.131325697967727
1.7000000000000002,0.009960816361630188,0.03497082385283164,0.01732182637213805,0.019235256359575886,0.07196958346443023,0.0458557429105197,0.04907118687028261,0.031793228777976086,0.03251579646905533,0.10918377018939726,0.0990375303903828,0.10523081205408269,0.08387894398281444,0.08574098159622158,0.07776419741155613,0.07888228532233128,0.05542251215064355,0.11957643107943194,0.10583849371430808,0.09603891072533093,0.08757236967521195,0.017565654173849976,5.020833216942854
1.75,0.009960020416243085,0.03493942103954718,0.017321733695509836,0.0192351129862183,0.07160211570307658,0.04584628956583019,0.049058021719034124,0.03179309129479578,0.03251563934446697,0.10662224093661009,0.09860578114449058,0.10464476922572336,0.08380014511698969,0.08565067601275327,0.07767373793038469,0.07878114288375042,0.05115556665739318,0.11205522395019098,0.097893003058982,0.08896805499264696,0.0807673200383302,0.015730836010625252,4.915304034650558
1.8,0.00995920149481437,0.0349071406123087,0.017321632814528004,0.01923495693500978,0.07122607203830406,0.04583603475879176,0.04904374889802914,0.031792933492653164,0.03251545902950215,0.10405509676397068,0.09814528204962207,0.10402169257034367,0.08371193432455763,0.0855497169878265,0.07757261712487373,0.07866837796147774,0.04742383874135006,0.10477427954704611,0.09033906144884137,0.08230711860439632,0.07439565410588168,0.01403854931647281,4.8147494780206594
1.85,0.009958359605457818,0.03487398532738292,0.017321523266018657,0.019234787493011263,0.07084161797628571,0.04582493830731263,0.049028314086912085,0.031792753108764324,0.03251525294805437,0.10148634465462703,0.09765555790853216,0.10336123242454658,0.08361364454942236,0.08543737264128644,0.07746025040991884,0.0785433953218504,0.044187995162561194,0.09775713988711927,0.08319076132398293,0.07604524609275405,0.06844086384947598,0.012492051677447429,4.7191312662829015
1.9000000000000001,0.009957494756513611,0.03483995801322652,0.017321404575125193,0.019234603929635816,0.07044892202245398,0.04581295956435916,0.04901166247616226,0.03179254771036615,0.03251501833159651,0.09891989491783734,0.09713621143921353,0.10266315654215905,0.0835046065634265,0.0853129122238826,0.07733608456231274,0.07840563724765266,0.041407933785318464,0.09102322309443421,0.07645694318390699,0.07017021657379174,0.06288577024537123,0.01109105971460495,4.6283680306173105
1.9500000000000002,0.009956606956548162,0.034805061570042345,0.017321276255418867,0.01923440549684504,0.07004815555803921,0.04580005746586727,0.048993738840220395,0.0317923146886215,0.03251475221243406,0.09635955260164031,0.09658692508870317,0.1019273510617413,0.08338415266173585,0.08517561038061103,0.07719960159809518,0.07825458729387136,0.03904339173556473,0.08458796249614532,0.07014165037264752,0.06466873932571497,0.05771275524126042,0.009832477166148944,4.542341582317416
2.0,0.009955696214353922,0.03476929896932489,0.017321137809011934,0.019234191429350032,0.06963949271515577,0.04578619057899923,0.0489744876109201,0.03179205125268603,0.0325144514171577,0.0938090095168337,0.09600746241668592,0.10115382078746099,0.08325162038686393,0.08502475141104106,0.07705032211061272,0.07808977343082675,0.037054479751768274,0.07846299530880062,0.06424460797110834,0.05952671124162779,0.05290395942058404,0.0087110350728777,4.46090285592776
2.0500000000000003,0.0099547625389492,0.03473267325339518,0.017320988726673387,0.019233960944816768,0.069223110250567,0.04577131715068231,0.048953852951116116,0.03179175442395487,0.03251411256031586,0.09127183688717166,0.09539766905239502,0.100342688802473,0.0831063562466841,0.0848596334862287,0.0768878080645844,0.07791077058078773,0.035402143304963704,0.07265639011117632,0.05876171165641848,0.05472944073642183,0.04844145020153952,0.007719845234694954,4.383877475583493
2.1,0.009953805939577969,0.03469518753492512,0.017320828487947207,0.01923371324407587,0.06879918741826108,0.04575539515636577,0.04893177882840174,0.03179142103050693,0.032513732038327706,0.08875147863703249,0.09475747323095234,0.09949419543810897,0.08294771939289176,0.08467957278362435,0.0767116650518027,0.0777172025644207,0.03404855248692728,0.06717290313984836,0.05368551470992562,0.05026184204696677,0.044307364549571245,0.006850871545056461,4.311070910224764
