Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(6),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Ra_relativistic
0.5,0.007940082924647922,0.02850260689932092,0.013737410534763244,0.016042545961598723,0.06229007309172764,0.03644571790720692,0.04021325207389404,0.025811245232998367,0.02662776298270729,0.12272771304162748,0.07852503313497185,0.08636446343052498,0.06397760127680645,0.06576587209780471,0.05199663810498674,0.05271789760755713,0.2404669581965657,0.1732981940387023,0.1920588589978232,0.16556938647834613,0.1710552983604251,0.386792549020559,0.41629402765717677,0.4527322439250186,0.07321874781637383,9.76597322817133
0.55,0.007939953464692156,0.028497505295930398,0.013737409619815167,0.01604254428388091,0.06222759435545075,0.03644562679056729,0.0402131033935991,0.02581124514414322,0.026627762875633235,0.12218204129237842,0.07852058426422183,0.08635732965374085,0.06397755821002296,0.0657658201754253,0.05199663744766627,0.0527178968651265,0.2357713347411121,0.1730800897623262,0.1916997215661378,0.16553853050204934,0.1710166365533758,0.3481106441413582,0.40086179227713553,0.42706698878272104,0.07039197656490567,9.536545508518582
0.6000000000000001,0.007939811678762345,0.028491918991951734,0.013737408426143499,0.016042542082653058,0.06215924112230924,0.036445507319960865,0.04021290848065706,0.025811245004770323,0.026627762707690766,0.12158732924038372,0.07851476876544829,0.08634801204141616,0.06397749094442226,0.0657657391016135,0.05199663622649102,0.05271789548621636,0.2307397234719968,0.17279929172047606,0.1912394280922457,0.16549185863350574,0.17095831987432233,0.31061470002891967,0.3831300277324864,0.39880509677771364,0.07002061624239567,9.297908929062439
0.65,0.007939657567825314,0.02848584830515877,0.0137374069015784,0.016042539258906023,0.06208503397539607,0.0364453541711979,0.04021265867050127,0.02581124479414059,0.0266277624538975,0.1209443581088835,0.07850733868808651,0.08633611805996011,0.06397738975776596,0.06576561718155244,0.0519966340733131,0.05271789305565375,0.22539953474363217,0.17244642531748935,0.19066381814498856,0.1654240447456776,0.17087383786429564,0.2749409389349809,0.36338788780393727,0.3686903400896057,0.06879875389797602,9.04819594480205
0.7000000000000001,0.007939491132931895,0.028479293580812054,0.013737404989448613,0.01604253570510336,0.06200499524184733,0.03644516157531096,0.04021234458079974,0.0258112444857203,0.02662776208229437,0.12025396958940471,0.07849802844341103,0.08632122857550094,0.0639772423331373,0.0657654396092069,0.05199663044226611,0.05271788895816741,0.2197793803485303,0.1720121056871383,0.18995905976963978,0.16532885333711989,0.17075562366999295,0.24159441372082285,0.3420041609917622,0.3375056891587963,0.06574630335908951,8.79023805559219
0.75,0.007939312375216915,0.028472255191622445,0.013737402628590226,0.0160425313052018,0.061919148981495205,0.03644492332305449,0.04021195612025827,0.02581124404620586,0.02662776155277305,0.11951706404409833,0.07848655573815046,0.08630289962805451,0.0639770333750953,0.06576518801142243,0.05199662454992892,0.052717882311224123,0.2139088261581933,0.17148709061811307,0.18911192277156044,0.16519917995839095,0.1705951246459672,0.2109467345169386,0.3193985474151909,0.3060143771878818,0.060992798164009564,8.528837146930286
0.8,0.007939121295899177,0.02846473353771186,0.01373739975335611,0.016042525934673355,0.06182752097465309,0.036444632769744724,0.04021148249808196,0.02581124343447947,0.02662776081582086,0.11873459859094322,0.07847262256452515,0.08628066430555979,0.0639767442152595,0.0657648399809506,0.05199661530327028,0.05271787188425459,0.20781814213870187,0.17086242924715303,0.18811003575516816,0.16502712812467646,0.17038291789980978,0.1832404332372665,0.2960134428105889,0.27491455043323154,0.05507622086418413,8.269135873447123
0.8500000000000001,0.00793891789628144,0.028456729046571132,0.01373739629362606,0.016042519460529033,0.06173013870904208,0.03644428284043562,0.04021091223408466,0.025811242600497743,0.026627759811185644,0.11790758507761913,0.07845591624278818,0.08625403470889607,0.06397635241132864,0.06576436860340398,0.05199660121458315,0.05271785600343012,0.20153805267363867,0.1701296040741053,0.1869421220534748,0.16480412028345454,0.17010886641901687,0.15859863033493943,0.27228857719086624,0.24480867413578097,0.04858950749542803,8.015759011619446
0.9,0.007938702177750402,0.028448242173015004,0.013737392174817616,0.01604251174134415,0.06162703136586853,0.036443866035425904,0.04021023316943535,0.02581124148411533,0.026627758466463338,0.11703708795015455,0.07843611051216494,0.08622250399862755,0.06397583134361326,0.06576374198322325,0.051996580302830754,0.05271783244139888,0.19509949002611082,0.1692806640648262,0.18559821038544028,0.16452103877055027,0.1697623094222164,0.13703856151750887,0.248640000039929,0.21618673975534122,0.042031151605892124,7.77243484246039
0.9500000000000001,0.00793847414177668,0.028439273399134248,0.013737387317897578,0.016042502627285266,0.06151822980506308,0.03644337443609233,0.04020943247802962,0.02581124001384588,0.02662775669561106,0.11612422202273393,0.07841286666592134,0.08618554851390539,0.06397514981320077,0.06576292277376804,0.051996549981067126,0.0527177982916689,0.18853335362982443,0.16830834685852786,0.184069816853104,0.1641683913803053,0.1693322790897027,0.11848754879310286,0.2254441185326425,0.1894210655125963,0.03576258558392606,7.54189158871662
