Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Ba_relativistic
2.35,0.01425841176180388,0.04828692453895729,0.025312617185716823,0.026732062057978224,0.08216035983000655,0.0674780752098002,0.06977707812556266,0.047517918750531504,0.04811603826088231,0.04919909345351655,0.09818762020182396,0.09612850150199888,0.1085392765469288,0.10872188901573777,0.03556935059793936,0.016648845897277224,0.016945527180402698,0.0034442969298077095,3.2846802115266303
2.4000000000000004,0.014255336448017016,0.04816487174290207,0.02531112614397794,0.026730187471938317,0.08092143534663504,0.06732709596181173,0.06959920635324464,0.04750831745319672,0.04810573915101146,0.04655994441445693,0.09511204531519703,0.0928217498172803,0.10657125767232627,0.10667541788303787,0.03409522311657958,0.016601273747592623,0.0169420497437301,0.0033426288529259684,3.2327599784313534
2.45,0.014252197343270219,0.0480406014794352,0.02530954266356221,0.026728197047417395,0.079677174932867,0.06716847923448765,0.06941251178895341,0.047497822779788215,0.04809448498534756,0.04410146948065531,0.09203992799108458,0.08953334510479598,0.10455608421497063,0.10458285982893978,0.032573420958422694,0.016584649855555047,0.016938340400874274,0.003229798617971344,3.180683799347546
2.5,0.014248994506704084,0.047914134594587064,0.025307863235820245,0.0267260864271339,0.07842851350143148,0.06700209262561937,0.06921685865899521,0.04748637901932103,0.048082216643460574,0.041818567501743883,0.08897819207727511,0.08627075730970796,0.10249819398934729,0.10244893782521149,0.03102031497848545,0.016581678422024515,0.016921772460094058,0.003107581665808576,3.12848298448943
2.5500000000000003,0.014245727998638599,0.0477854922492046,0.025306084309976287,0.02672385120478221,0.07717637475979512,0.06682781239646365,0.06901212219959103,0.04747392907648183,0.04806887358546054,0.039705641385924105,0.08593350798168584,0.08304108537281422,0.10040211452412498,0.10027844681156207,0.02945135136948853,0.01657841392016058,0.016882796657805114,0.0029778240751817363,3.076203979417571
2.6,0.01424239788057073,0.04765469591251822,0.025304202294782512,0.0267214869272461,0.07592167017550727,0.06664552373593736,0.06879818893352269,0.047460414559925536,0.04805439394948428,0.03775666594685162,0.08291226356052926,0.07985103034815479,0.09827242885186128,0.09807621809868274,0.027880832947886937,0.01656386236702196,0.016814504752766902,0.0028423683073350125,3.023904856040793
2.6500000000000004,0.014239004215171951,0.0475217673556367,0.025302213560188226,0.026718989096830043,0.07466529798216821,0.06645512100082189,0.06857495691524731,0.04744577587605562,0.04803871465491582,0.035965253708105945,0.07992053896065422,0.07670687350007768,0.09611374311009807,0.09584708590559177,0.02632177145559754,0.016529605495017533,0.016712229971529633,0.0027029968202702016,2.9716522183496643
2.7,0.014235547066285735,0.047386728644973154,0.025300114439023025,0.02671635317350699,0.0734081422272027,0.06625650793175765,0.0683423359443743,0.04742995232793164,0.04802177151094003,0.034324718285428095,0.07696408536178093,0.07361445920469847,0.09393065616577147,0.0935958562264084,0.024785799475325606,0.016469450917675953,0.016573185023387935,0.002561390723779087,2.919518503929237
2.75,0.014232026498924995,0.0472496021356051,0.025297901228692937,0.026713574577181234,0.07215107186249002,0.066049597844888,0.06810024774750412,0.04741288221892786,0.04800349933000881,0.032828135023694825,0.07404830752497495,0.07057918244004562,0.09172773142273714,0.09132727816638438,0.02328313154618552,0.016379110092188166,0.01639613734885262,0.002419100935291483,2.867579657385225
2.8000000000000003,0.01422844257926948,0.04711041046457168,0.02529557019288862,0.026710648689965085,0.07089493987877159,0.0658343137990894,0.0678486261285314,0.04739450296075004,0.047983832045782,0.03146839862054876,0.07117825001955994,0.06760598061586878,0.08950947092415804,0.08904601783663647,0.02182256511731161,0.016255904847599888,0.016181120473440766,0.002277529585641012,2.8159131486758713
