Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Sm_relativistic
2.5,0.012639614955359063,0.04292193850367341,0.022268911010201144,0.023836065999022486,0.07492765398371502,0.05882542354300195,0.061344760527980276,0.04111276567176305,0.04174430875929383,0.052854618450209945,0.09462888851560214,0.0936347380279845,0.09849582472671858,0.09910350375968165,0.09910350375968165,0.0342822617847595,0.014714614438940855,0.014262350364816177,0.0027334937098852535,3.5288965842622133
2.5500000000000003,0.012637309738727415,0.042831629775303824,0.022267954242976964,0.02383479482754381,0.07401023724209614,0.0587328423329113,0.061231219405804165,0.04110800159255417,0.04173911547496978,0.050360456195849494,0.09245677260336461,0.09120272154563869,0.0973338091760776,0.09787220643837796,0.09787220643837796,0.0334725835459944,0.014371838113729576,0.014124409515242768,0.0027023361521594158,3.482368415074389
2.6,0.012634959481080999,0.042739749119945714,0.0222669414762273,0.02383344951552602,0.07308706213562267,0.058635675733898614,0.061112164881699724,0.04110280885524782,0.041733456475958795,0.04798976257166605,0.09026596264704206,0.08876074911365833,0.09613168552528756,0.09660032805410237,0.09660032805410237,0.03259104216534279,0.014124494199019209,0.014041006319382793,0.0026628192463233197,3.435859741775573
2.6500000000000004,0.012632564217904775,0.042646308675269196,0.022265870683347667,0.023832027405653943,0.07215868447192399,0.0585338313165462,0.06098749606530428,0.04109716069546582,0.04172730288565953,0.04574129857337904,0.08806047072381333,0.08631354343633474,0.09489107190459477,0.09528969895447247,0.09528969895447247,0.03164616197947687,0.01395325590789628,0.013996305108008521,0.002615138834841871,3.389336387109482
2.7,0.012630123985352291,0.04255132075922462,0.02226473981265743,0.023830525809753922,0.0712256565776798,0.0584272202244358,0.06085711699092331,0.041091029540255876,0.04172062497691258,0.04361345014696875,0.08584428123040418,0.08386573532451877,0.09361371019656095,0.09394227109711116,0.09394227109711116,0.03064693275322656,0.013841140497483985,0.013976847412590044,0.0025597303314009567,3.342779242218104
2.75,0.012627638820244523,0.04245479786708815,0.022263546788147518,0.02382894200986925,0.07028852678534349,0.05831575732605413,0.06072093679234015,0.04108438703158,0.041713392199153695,0.04160425676793695,0.08362133272928647,0.08142184363987684,0.09230145312902052,0.0925601037317987,0.0925601037317987,0.029602549148035916,0.013773345374137599,0.013971326751275251,0.002497205794647393,3.2961822118958612
2.8000000000000003,0.012625108760068678,0.04235675266847299,0.022262289510235556,0.023827273259345232,0.06934783893294608,0.058199361358682936,0.060578869866097076,0.04107720405216516,0.0417055732081153,0.03971144015328776,0.0813955009199553,0.07898625699237403,0.09095625120038106,0.09114534902802396,0.09114534902802396,0.02852219369625547,0.013737080360261071,0.013970370890514908,0.0024283009020685756,3.2495502990198655
2.85,0.012622533842976989,0.042257198004307384,0.022260965856528085,0.02382551678392336,0.06840413187754289,0.058077955064091816,0.060430836023061305,0.04106945075364979,0.04169713589799681,0.037932432914910025,0.07917058279591985,0.0765632172235614,0.089580139569962,0.08970023778665771,0.08970023778665771,0.027414859250555562,0.013721399660431425,0.013966333920744608,0.0023538307732302735,3.2028978353507043
2.9000000000000004,0.01261991410778549,0.04215614688378042,0.022259573682589504,0.023823669782844087,0.06745793902282841,0.05795146531587437,0.06027676062812204,0.04106109658695211,0.041688047436015944,0.03626440697722557,0.07695028203321637,0.07415680468892506,0.08817522503477025,0.08822706536096378,0.08822706536096378,0.026289206850138417,0.013717036360880504,0.01395309980968281,0.002274653632469345,3.1562468616070145
2.95,0.012617249593972759,0.042053612481256865,0.022258110822717413,0.023821729429957614,0.06650978786140882,0.05781982323829025,0.06011657472789763,0.04105211033477879,0.04167827429924536,0.03470430159656769,0.0747381956421826,0.07177092533480914,0.08674367320235715,0.0867281778983918,0.0867281778983918,0.025153455019392493,0.013716241683555364,0.013925898535231199,0.002191641356833893,3.1096256563277067
3.0,0.01261454034167865,0.04194960813316207,0.02225657509072402,0.023819692874842258,0.06556019953218437,0.05768296431649775,0.05995021516636371,0.04104246014618589,0.04166778231363177,0.03324885083458833,0.072537801901014,0.06940929954931423,0.08528769595743263,0.08520595900081343,0.08520595900081343,0.0240152966648345,0.013712630687688342,0.013881135438466296,0.0021056560199323756,3.0630674104323026
3.0500000000000003,0.012611786391702998,0.041844147334838114,0.022254964280723245,0.023817557243929744,0.06460968839325683,0.057540828498083445,0.05977762468834504,0.04103211357309765,0.04165653669508784,0.03189461035289683,0.07035244957733135,0.06707545275213876,0.08380953930794818,0.0836628168872966,0.0836628168872966,0.022881839941313303,0.013701035661081364,0.01381623406316182,0.0020175316127258643,3.016609042348438
3.1,0.012608987785504313,0.04173724373737231,0.022253276167923202,0.023815319641636988,0.06365876161074009,0.057393360285817034,0.059598752030844915,0.04102103760868267,0.041644502092541134,0.030637983410952935,0.06818534843267622,0.06477270767557256,0.08231147168458161,0.08210117213034251,0.08210117213034251,0.021759569700842134,0.013677368062878292,0.013729492449899057,0.001928060196941628,2.970290147128278
3.1500000000000004,0.01260614456519844,0.04162891114439921,0.022251508509423697,0.023812977151503777,0.0627079187638143,0.05724050882158087,0.059413552002216305,0.041009198727482085,0.04163164263281851,0.029475245963837687,0.0660395609945522,0.06250417827775792,0.080795772756121,0.0805234460238909,0.0805234460238909,0.020654326402677066,0.01363848956216834,0.013619952619367088,0.001837981818997216,2.9241520719674137
3.2,0.012603256773557208,0.04151916350887727,0.0222496590450184,0.023810526837335828,0.06175765146632754,0.05708222796144472,0.05922198554920887,0.04099656292717903,0.04161792196723974,0.02840257077078567,0.06391799557136545,0.06027276521986464,0.07926472281228064,0.07893204962945022,0.07893204962945022,0.01957129963982654,0.013582092455193989,0.013487282801272274,0.0017479775836865047,2.878237109842658
3.25,0.012600324454007055,0.04140801492984131,0.022247725498001348,0.02380796574435268,0.060808443005211044,0.05691847634187697,0.05902401981195463,0.040983095771894726,0.04160330331978937,0.02741605043917527,0.06182340047738795,0.05808115283092274,0.07772059275508604,0.07732937353552119,0.07732937353552119,0.018515033715985577,0.013506589531402137,0.01333167183372343,0.001658665354241712,2.832587802646416
3.3000000000000003,0.012597347650627635,0.041295479649131904,0.02224570557597742,0.02380529090033991,0.05986076799593822,0.056749217437103504,0.05881962816698332,0.0409687624368926,0.0415877495367321,0.026511719341950235,0.059758359427664644,0.05593180747765557,0.0761656347302202,0.0757177783551204,0.0757177783551204,0.017489442980975947,0.013411013288693442,0.0131537350653081,0.0015705976081539503,2.787246345061249
3.35,0.012594326408150402,0.04118157204810296,0.022243596971676462,0.023802499316805097,0.05891509205522065,0.05657441960764545,0.05860879025838542,0.04095352775456848,0.041571223137533905,0.025685574359109013,0.05772528805658591,0.05382697725166802,0.07460207342068043,0.0740995859767162,0.0740995859767162,0.01649783489693777,0.013294924265135365,0.012954431031480636,0.0014842610378366784,2.7422540804490665
