Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(1),J_5s1/2(1),J_total_Tc_relativistic
1.7000000000000002,0.038457988462060555,0.13232764056500124,0.06980150948221975,0.1440597569262808,0.2324200427174261,0.19667940183160468,0.40166365034785484,0.28534710177164796,0.4314396259322061,0.10482540871446472,0.23558343904418652,0.45513859005559304,0.45677716014586894,0.11229258072129633,0.030292610188816082,3.327106506906528
1.75,0.038447262733213666,0.13187602004000917,0.06979582438886979,0.14404676110389478,0.22719536163880683,0.19591709031599952,0.39997535368060744,0.2851916873067606,0.4311957066519282,0.09651924230508567,0.2203664321637915,0.42415144606408695,0.42886401372912236,0.10531227126084282,0.02691854609612427,3.2257730194791434
1.8,0.03843623041048725,0.1314130946579103,0.06978965082377997,0.14403265085763065,0.22195208686678258,0.19510407186638362,0.3981764731452363,0.28501742949293923,0.4309223127566295,0.08930074209983592,0.2056910892131975,0.39441920203484465,0.402174419414375,0.09864903946225317,0.023852636553941906,3.1289311296562268
1.85,0.038424891859890675,0.1309390092917518,0.06978296334997874,0.14401736847025523,0.21669798366769089,0.19423949688887587,0.39626538353430546,0.2848229374903418,0.4306172861845926,0.0830817002444076,0.19159785663574858,0.36601273997693645,0.3767107209276766,0.09230205231671762,0.021090314410263176,3.0366027052494338
1.9000000000000001,0.0384132474574226,0.13045391178750415,0.0697757361236051,0.14400085533729606,0.21144063545146088,0.1933226487850803,0.39424076475575953,0.28460680593898097,0.4302784489638517,0.07777380867044888,0.17811867085620656,0.3389846630966015,0.35246677224764644,0.0862684578714402,0.018621686614363583,2.9487671139576688
1.9500000000000002,0.03840129758904454,0.12995795287996828,0.06976794291683582,0.14398305202140604,0.20618742794026848,0.1923529466699671,0.3921016066374251,0.28436762172509644,0.42990361388297416,0.07328984607948011,0.16527742103718757,0.3133705636652727,0.32942917476934236,0.08054369420006104,0.016432915475893477,2.8653670774902227
2.0,0.0383890426506538,0.1294512861074423,0.0697595571410734,0.14396389830730263,0.20094553453118305,0.19132994734544614,0.38984721199788414,0.2841039708549625,0.4294905953053094,0.06954468693765177,0.15309048792617824,0.289190414612445,0.30757839268067616,0.07512176619955889,0.014507379448664696,2.7863141720464317
2.0500000000000003,0.0383764830480556,0.12893406772522212,0.06975055187036971,0.1439433332572197,0.19572190287453423,0.1902533465415191,0.3874771980219015,0.28381444537393674,0.42903722002829664,0.06645614005290704,0.14156733611070477,0.26645003615119106,0.2868897545730339,0.0699954927072807,0.012826634050544034,2.711493942386717
2.1,0.03836361919693464,0.12840645661801084,0.06974089986506005,0.14392129526681038,0.1905232426825202,0.1891229794413897,0.3849914959889667,0.2834976502701544,0.42854133809229283,0.06394562676848581,0.1307111396639832,0.2451425956655243,0.2673343495474117,0.06515672637238398,0.011371195491517617,2.640770610931447
2.15,0.03835045152282595,0.1278686142113125,0.06973057359558253,0.14389772212143873,0.18535601477559005,0.18793882051106792,0.3823903494129958,0.2831522103045453,0.4280008334473088,0.06193871058277088,0.12051942387809239,0.22525010582733263,0.24887982597953484,0.06059654860681049,0.010121169634617337,2.573991374411826
2.2,0.03833698046108507,0.12732070438188559,0.06971954526645775,0.14387255105279828,0.18022642136740585,0.1867009826578088,0.37967431065979707,0.28277677671172685,0.42741363439090474,0.060365491176352426,0.11098470844416977,0.20674489227725965,0.23149110082946797,0.05630544181658911,0.009056747833734658,2.510990289327444
