Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(1),J_6s1/2(2),J_total_Lu_relativistic
2.35,0.010688082397462372,0.03688192203426321,0.01865757815864275,0.0204595612666558,0.06995717643524146,0.0492260477985098,0.05219402315410171,0.0341813615102301,0.03487479971219943,0.07314616177852401,0.095480003564401,0.09802274932012638,0.08850625024478716,0.08996673324341087,0.08522222677618076,0.0858687005429777,0.03060630371149157,0.027589795321973174,0.0207322601913936,0.009218633184519275,0.0025408492466623867,3.9566147590196326
2.4000000000000004,0.0106867427430549,0.036829622752932244,0.01865723741438659,0.02045906112669285,0.06939146120825457,0.04919289993700996,0.05215001465166147,0.034180324517279245,0.03487363440440216,0.07055046466960173,0.09435657625530453,0.09662518625381063,0.08809063938946705,0.08950591437395447,0.08445372818916433,0.08504387177971844,0.03060325990023075,0.02514190981522824,0.019013757637848377,0.008240725711210815,0.0024709815292619434,3.9143857367319352
2.45,0.010685375131285793,0.036776307117805856,0.018656875170807028,0.020458529520653905,0.06881886453794882,0.04915785434258948,0.052103524866039995,0.03417918256017132,0.034872351454421545,0.06801308113490782,0.09320000911377405,0.09519261926457549,0.08765000088761159,0.08901816821657942,0.083669981448749,0.0842048774166886,0.03059806808339289,0.022977633776746012,0.017542588519776574,0.007371076866431585,0.0024236992716147507,3.873289543338811
2.5,0.010683979577462898,0.036721980265255354,0.018656490572082168,0.0204579652058267,0.06823965415884918,0.0491208546018275,0.05205448390284619,0.03417792786857178,0.03487094219762404,0.0655362183367291,0.09201152970997938,0.09372697860999335,0.08718407581961962,0.08850330322368087,0.08287199946030817,0.08335278946150483,0.030576579398210017,0.021074119218445105,0.016292627275790797,0.006599185249086363,0.0023935897887999466,3.8331524067551737
2.5500000000000003,0.010682556097203493,0.03666664742176925,0.018656082748719372,0.020457366920473147,0.06765409899311507,0.04908184481659542,0.05200282284918524,0.03417655232439858,0.034869397586870035,0.06312184496006894,0.09079245079003449,0.09223028136173342,0.08669268005467114,0.08796121153062836,0.08206078791208075,0.08248866507217643,0.030527375766099967,0.01940918696484771,0.0152393426071488,0.005915451688061057,0.0023760306131017724,3.7938169121843233
2.6,0.010681104706433915,0.03661031390303331,0.018655650817784475,0.020456733384206602,0.06706246894657587,0.04904076967604914,0.05194847387195581,0.03417504745979029,0.03486770819082602,0.0607716943249546,0.08954416386528409,0.09070462116297563,0.08617570478180574,0.08739186891484886,0.08123734179365971,0.0816135435131481,0.030441507379568886,0.017961472630680087,0.014359842664425686,0.005311109544442618,0.0023671177270250467,3.7551416487879044
2.6500000000000004,0.010679625421389182,0.03655298511299668,0.01865519388313425,0.020456063298374218,0.06646503470596844,0.048997574527484024,0.05189137031401917,0.034173404455717794,0.03486586419301402,0.0584872682910767,0.0882681325996075,0.08915215791966577,0.08563311654841477,0.08679533421214553,0.08040264230720998,0.08072844350108783,0.030312234531156574,0.016710540160059694,0.013632890481145753,0.004778160042509187,0.002363594391355969,3.7170006881421496
2.7,0.010678118258612593,0.036494666542924104,0.01865471103565205,0.020455355346444173,0.0658620675375873,0.048952205445960635,0.05183144678810709,0.034171614141250146,0.03486385539160848,0.056269841899552885,0.08696588604210333,0.08757510749568383,0.08506495682726344,0.08617174822011747,0.07955765414869974,0.07983436091452722,0.030134777403155875,0.015636966550788306,0.013038894683587,0.004309312206363619,0.0023627820117408365,3.679282931756107
2.75,0.010676583234955335,0.03643536377043478,0.01865420135348655,0.020454608194397657,0.06525383908755361,0.04890460930261218,0.051768639268341035,0.03416966699348277,0.03486167119998866,0.054120468695335884,0.08563901175116455,0.08597573147795717,0.08447134113654739,0.08552133212184032,0.07870332313661259,0.0789322668422851,0.02990607662845595,0.014722401251245232,0.012559879993274063,0.0038979270424249215,0.002362514084039957,3.6418913602636382
2.8000000000000003,0.010675020367576076,0.03637508245852788,0.018653663902293494,0.020453820491125478,0.0646406211839043,0.04885473383154799,0.051702885179241244,0.03416755313813489,0.034859300648052344,0.052039986672954855,0.08428914885431793,0.0843563270732018,0.08385245774032037,0.08484438546559113,0.07784057416549024,0.07802310594611897,0.029624566722354643,0.013949603533385339,0.012179441536283375,0.003537965661124348,0.002361073934971288,3.6047422125156556
