Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(2),J_total_Lv_relativistic
1.5,0.004659321604501989,0.017943759996082432,0.008170390815279647,0.011623679486542226,0.03969844458934156,0.0229988733612305,0.028386963924824492,0.01803270565277526,0.01906495649909415,0.07157671302631348,0.047662465557428875,0.05694832611674421,0.04125511578896264,0.04306335455102753,0.031880911225722244,0.03254197240402638,0.10892497882313701,0.09079829720474944,0.10729870852514992,0.0874784920790603,0.09151955232521024,0.08350023220422374,0.08549389181457312,0.10249413152423446,0.15351930308435913,0.15049905996272317,0.16994018924505702,0.16641249598996327,0.05146636934347439,0.024818454120286482,0.011687227621537906,7.755626354991514
1.55,0.004659222930717105,0.017939862366042735,0.00817038849564206,0.01162367106092374,0.03965010122852223,0.022998645283514103,0.02838632564613292,0.0180327042404091,0.01906495454628333,0.0712185914359303,0.04765371321319922,0.056927122025907974,0.041254768913495055,0.04306289449077931,0.03188090528512632,0.03254196543449965,0.10696229923032909,0.09058145165629561,0.10680130520861308,0.08742581564399678,0.09144922915694642,0.08347794343037368,0.08546680017995195,0.0960722733994669,0.14931877943066765,0.14298148453102819,0.1635687078040544,0.158863269804238,0.05112333276996146,0.022442940652915747,0.011668507507767711,7.619793144698285
1.6,0.004659121025172124,0.017935837955926664,0.008170385956454978,0.011623661782506909,0.039600238138673485,0.02299839429030958,0.028385623562463862,0.01803270258334039,0.019064952255382597,0.07085071044806523,0.047644110447329344,0.05690389715071214,0.04125436364511128,0.04306235722654592,0.03188089789649716,0.03254195676832555,0.10497565285998928,0.090346172715202,0.10626528450723756,0.08736541235712525,0.09136877781593672,0.0834513622272417,0.08543457477898118,0.08999158747970722,0.14498573625936798,0.13549447091023636,0.1570792122485368,0.1512899248691393,0.05054638973222678,0.020703233511279544,0.011613161568005712,7.484181865887415
1.6500000000000001,0.004659015888200353,0.017931686863268227,0.008170383183895479,0.01162365159589446,0.03954886154500223,0.02299811892102304,0.02838485366056909,0.01803270064900324,0.019064949581458164,0.07047325082354654,0.04763360774579299,0.05687854023218866,0.041253892610295766,0.043061733066049504,0.03188088877328545,0.032541946070430545,0.10296813046903604,0.09009178419750516,0.1056897817268829,0.08729654422757069,0.09127727027819062,0.0834199171649473,0.08539655221149337,0.0842599425967403,0.14053763791451399,0.1280796469568162,0.1505093997541927,0.14373585551088866,0.04971496520416889,0.01946896014928374,0.011508189713892171,7.349076788589702
1.7000000000000002,0.004658907520145653,0.017927409188648383,0.008170380163711908,0.01162364044399335,0.03949597785555831,0.02299781767392429,0.028384011821042672,0.018032698401738552,0.019064946475320373,0.07008639736884702,0.04762215478176573,0.05685093900384453,0.04125334781096327,0.04306101150694259,0.031880877584929565,0.03254193295445223,0.10094280821021956,0.08981764334651901,0.10507405689719701,0.08721844899324792,0.09117375492156284,0.0833830007454135,0.08535203111419104,0.07888202128308315,0.13599264806100794,0.12077601529441694,0.1438959378834089,0.13624146618717958,0.04862693769784259,0.018628003872834514,0.011347351202909181,7.214811359730683
1.75,0.004658795921362433,0.017923005035690446,0.008170376881224828,0.011623628268020611,0.039441593659881,0.02299748900662354,0.028383093820231978,0.018032695802614365,0.019064942883278396,0.06969033879118905,0.047609700478999845,0.05682098039137632,0.04125272059958294,0.04306018120626979,0.03188086395204129,0.03254191697716794,0.09890274040660835,0.08952314373543677,0.1044174995063377,0.08713034354863386,0.09105726158918431,0.08333997191896687,0.08530027562081399,0.07385949199572615,0.131369407950926,0.11361956612318312,0.13727400166322315,0.12884385742554005,0.0472941545281195,0.018085043745136663,0.011129321510105847,7.081747340822417
1.8,0.004658681092215653,0.01791847451105533,0.008170373321327976,0.011623615007509353,0.03938571572760869,0.02299713133656067,0.028382095332195326,0.018032692809242638,0.019064938746890393,0.06928526755120354,0.04759619307602421,0.05678855071333391,0.04125200165511239,0.043059229951186107,0.031880847441295594,0.03254189763258799,0.09685095252238769,0.089207717993446,0.103719632413294,0.08703142764442674,0.0909268069522577,0.08329015909149798,0.0852405193569749,0.06919120224719973,0.12668681965939285,0.10664297821356984,0.13067689410827021,0.12157661745814757,0.045738566407978846,0.017760000915804347,0.010856263655213368,6.950257205386809
1.85,0.004658563033080819,0.01791381772443669,0.00817036946848927,0.011623600600314943,0.03932835100705233,0.022996743041506913,0.028381011930705222,0.018032689375592683,0.019064934002709314,0.068871379713303,0.04758158019108162,0.056753535882358354,0.041251180959840414,0.043058144631063756,0.03188082756002691,0.032541874345717495,0.09479043435057498,0.08887084034525257,0.10298011492999003,0.0869208878263508,0.09078140011974595,0.08323286358222952,0.08517196991169863,0.06487338855507013,0.12196383744891894,0.09987540490186099,0.12413574656384825,0.11446970675542316,0.04398896466884043,0.01758646400421759,0.010532724035635562,6.820709621024888
1.9000000000000001,0.004658441744343976,0.017909034788555888,0.008170365306751828,0.01162358498262136,0.03926950662373295,0.02299632246007875,0.028379839091296124,0.018032685451801405,0.019064928582024646,0.06844887479393061,0.047565808887715576,0.05671582160662056,0.04125024777723415,0.04305691121111503,0.03188080375053595,0.0325418464659928,0.09272413343693517,0.0885120289550609,0.10219874507159434,0.08679790157811179,0.09062004844034126,0.08316736348491167,0.08509381372045374,0.06089989921591958,0.11721926999606551,0.09334234018918183,0.11767929363714852,0.10754942262725238,0.04207828411161194,0.017510144892395735,0.010164783102690722,6.693457784242677
1.9500000000000002,0.004658317226401714,0.017904125819156853,0.008170360819735017,0.01162356808894771,0.039209189878883804,0.022995867892263818,0.02837857219335567,0.018032680983980507,0.019064922410600326,0.06801795560784855,0.04754882574091812,0.05667529359109008,0.04124919063088371,0.043055514707653515,0.03188077538411312,0.03254181326040054,0.09065494875800008,0.08813084806723444,0.10137546097949957,0.08666164163174503,0.09044176344074364,0.08309291787939507,0.08500522128904144,0.05726242606397644,0.11247159577461233,0.08706555872791084,0.11133371640868196,0.10083843146813419,0.04004142217168189,0.017487400093787072,0.00975940672599617,6.568830342364749
