Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(5),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Pm_relativistic
0.55,0.012945612367706541,0.04602157553485267,0.02274733463460369,0.024293492713147725,0.10267258849395063,0.06145031436399599,0.0642327132051525,0.04210396762642071,0.04273345418576092,0.2057373168908934,0.1413338188831525,0.1479512695198883,0.11700589353311704,0.11876629782163704,0.11876629782163704,0.35649214104184307,0.36274409618803327,0.37865653406457545,0.0625396007274327,7.523283516672486
0.6000000000000001,0.012945053454022182,0.0459984933901817,0.022747321453322242,0.02429347530249179,0.10236628345849144,0.06144872893017237,0.06423073896987558,0.04210396294571965,0.04273344906273432,0.2027297362262576,0.1412302209504385,0.14782155775780637,0.11700070474063998,0.11876053957563458,0.11876053957563458,0.32697991113746,0.3528609454347866,0.3661929616816587,0.05843799602685218,7.377427270480937
0.65,0.01294444597746017,0.045973418631586854,0.022747304550501717,0.0242934529746225,0.10203443942403129,0.06144670008587763,0.06422821317681318,0.042103955886068384,0.04273344133651842,0.19951361314027377,0.14109917269602873,0.14765770596572672,0.11699302835318649,0.11875202692592104,0.11875202692592104,0.29792410988015205,0.3414789750868929,0.35203373092993556,0.057703022159166804,7.228365591688906
0.7000000000000001,0.012943789947594792,0.04594635487998859,0.022747283285308777,0.024293424883087847,0.10167732595374916,0.061444153442221705,0.0642250435576279,0.042103945571155335,0.04273343004858564,0.19610114669170334,0.1409367211879256,0.14745489689606112,0.11698204311342483,0.1187398544587365,0.1187398544587365,0.269727998819653,0.3287055555240631,0.3363666211788846,0.057474446193589136,7.072125754025849
0.75,0.012943085374764761,0.0459173060414511,0.02274725696684064,0.02429339011545759,0.10129523240060842,0.061441009446034485,0.06422113152565745,0.04210393090611844,0.042733414001556884,0.1925051168474096,0.14073883894159792,0.14720825507644347,0.11696676883518402,0.11872294347130401,0.11872294347130401,0.24273431550884308,0.3146934155033332,0.3194284163310353,0.05648812212627301,6.908099010811868
0.8,0.012942332270072876,0.045886276306142865,0.02274722485439945,0.024293347693721313,0.10088846750918956,0.06143718355491413,0.06421637241167558,0.04210391054586521,0.042733391724661694,0.18873880559520204,0.14050146896867513,0.14691290631821724,0.11694605934974027,0.11870003502814083,0.11870003502814083,0.21722196992586465,0.2996304701198456,0.3014889851346566,0.05437962573438845,6.737555614730035
0.8500000000000001,0.01294153064538564,0.045853270147222416,0.022747186157786314,0.024293296574714858,0.10045735899221087,0.06143258642287916,0.06421065571365617,0.042103882861965015,0.042733361437667365,0.1848159163460844,0.14022056966560828,0.1465640364900497,0.11691859878952138,0.11866968680361994,0.11866968680361994,0.1934054940310182,0.28372887130464575,0.28283556800635773,0.05123323474986477,6.562655685618364
0.9,0.01294068051333286,0.0458182923196497,0.02274714003761479,0.024293235650574903,0.10000225308259285,0.06142712409614503,0.06420386535984222,0.04210384590829335,0.04273332101347752,0.1807504923212248,0.13989215900744803,0.14615694880266258,0.11688290144021758,0.11863027394166507,0.11863027394166507,0.1714368772671313,0.26721416887631605,0.2637584040759088,0.04731578500055776,6.385840568122146
0.9500000000000001,0.01293978188730722,0.045781347858923634,0.022747085605643706,0.02429316374922143,0.09952351406196816,0.06142069821852183,0.06419587998438708,0.04210379738561442,0.042733267939607945,0.17655683461028912,0.13951235753597366,0.14568711889546426,0.11683731528025003,0.11857999403424735,0.11857999403424735,0.15140935399449212,0.2503152746316801,0.24453845122046458,0.042933431589571185,6.209484206417396
1.0,0.012938834781463834,0.04574244207974631,0.022747021925129143,0.024293079634867834,0.09902152376658176,0.06141320624590741,0.06418657321480413,0.042103734605294346,0.04273319927875374,0.17224942057150844,0.13907742966245884,0.14515024707084084,0.11678002921497063,0.11851687619293842,0.11851687619293842,0.13336268078807714,0.23325571075047086,0.22543759847048478,0.03836323386841916,6.0357099340413445
