Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(1),J_5s1/2(2),J_total_Y_relativistic
1.7000000000000002,0.04274359045450602,0.1462061961593567,0.07843003627328324,0.16094889988093233,0.2377172359262826,0.22273023998998595,0.45280767680462386,0.3375661144828346,0.5098200832261773,0.07434205080494562,0.16115166470602374,0.3051391804663998,0.05373851134591865,0.015068708637009784,2.79841018915828
1.75,0.04272890729898291,0.14558151412301945,0.07841993775827845,0.1609263655343074,0.23075845945930074,0.22129596148885639,0.44968967852883734,0.33707756621168866,0.5090587148938766,0.07042305692990473,0.14568530405626026,0.2748278639679766,0.04858012237281354,0.012987161177029194,2.7280406138011326
1.8,0.04271380577235588,0.1449418226506589,0.0784089810955685,0.16090192025115968,0.22383076874948823,0.21977779843711207,0.44639296221733915,0.33653709334926746,0.5082168199386129,0.06739292804563195,0.13144300930306868,0.24707046891172002,0.04388008351089801,0.011259234250755841,2.662767696483637
1.85,0.042698286489408016,0.144287369399941,0.07839712295602164,0.16087546811415773,0.2169457255849122,0.21817575638088818,0.44291801164805883,0.3359420030034003,0.5072902850629849,0.06510822560750801,0.11838984897327234,0.2217747113472397,0.03960271348442053,0.00984157383575486,2.602247101887968
1.9000000000000001,0.04268235008157851,0.1436184066145122,0.07838431946997432,0.16084691207431057,0.21011437259417476,0.21649013476629664,0.43926595562693443,0.33528971652210005,0.5062751812473981,0.06343792104823137,0.10648203144089793,0.19883221653587513,0.03571459309597596,0.00869306993894579,2.546127181057206
1.9500000000000002,0.042665997196908265,0.14293519094722804,0.07837052627584154,0.16081615406248564,0.20334721304143188,0.21472152226462693,0.435438554417006,0.33457778740455413,0.5051677912152532,0.062263650050173015,0.09566883165166852,0.17812254546662162,0.03218448222538664,0.007775447573721905,2.4940556937929075
2.0,0.04264922849998414,0.14223798328138468,0.07835569856905002,0.1607830951015698,0.19665419395584297,0.21287079036146359,0.4314381823732681,0.33380391778119034,0.503964634590461,0.06147966596325008,0.08589433475488674,0.15951677891209262,0.028983230611492657,0.007053612379226807,2.4456853471351634
2.0500000000000003,0.04263204467188179,0.14152704855014414,0.07833979115122926,0.16074763541911907,0.19004469253480813,0.21093908533565014,0.4272678070945108,0.33296597332962996,0.5026624905484023,0.060992549763640824,0.0770989893764518,0.14288065745308642,0.02608368473463449,0.0064958102934680444,2.4006782602566576
2.1,0.042614446410107115,0.14080265555434443,0.07832275847959572,0.1607096745603441,0.1835275057410057,0.2089278187616285,0.42293096541815717,0.33206199652338214,0.5012584178091505,0.060720728896581394,0.0692209703634912,0.1280772892543405,0.023460592535881036,0.006073649081741434,2.3587094693897512
2.15,0.04259643442853643,0.1400650767788854,0.07830455471646543,0.1606691115012789,0.17711084299566396,0.2068386566744071,0.4184317365943979,0.33109021813949274,0.49974977186814934,0.06059385178022142,0.062197356212701706,0.11496944703036395,0.021090507318574567,0.005762019798155348,2.319469585837295
2.2,0.04257800945735518,0.1393145882078813,0.07828513377883124,0.16062584476198222,0.17080232185475497,0.20467350754032984,0.41377471298194785,0.33004906697953323,0.4981342194038274,0.06055205898614501,0.05596513030867252,0.10342148222155118,0.018951691860312314,0.0055389482271270656,2.2826667165702506
2.25,0.04255917224299537,0.13855146913877,0.07826444938794103,0.16057977251962166,0.16460896654090648,0.20243450917900976,0.40896496860973625,0.32893717778487785,0.4964097498431601,0.060545186400931414,0.05046201778628695,0.09330088848469455,0.017024023550675463,0.005385399764998341,2.2480277512346056
2.3000000000000003,0.04253992354807166,0.1377760019955686,0.07824245511881414,0.16053079272129347,0.1585372091918056,0.2001240147823634,0.40400802594709023,0.3277533973518309,0.4945746841044781,0.060531930192654224,0.04562717151727419,0.08447954870580653,0.015288901201592089,0.0052850558576566075,2.2152991122362997
2.35,0.042520264151316094,0.1369884721414638,0.07821910444963392,0.16047880319643176,0.15259289367570503,0.19774457817574814,0.39890982121978397,0.32649678887457734,0.49262768057146955,0.06047899828225239,0.04140172160723229,0.07683470031691629,0.0137291540415031,0.005224075798208338,2.184247056502242
2.4000000000000004,0.04250019484751156,0.13618916769092387,0.07819435081095519,0.1604237017686642,0.1467812818162985,0.19529893846388774,0.393676668601037,0.32516663456395684,0.4905677383830928,0.06036026833274089,0.037729203052951736,0.07024965312443247,0.012328953310821218,0.005190854227554512,2.1546576089948286
2.45,0.04247971644742391,0.13537837932151806,0.07816814763466623,0.16036538636697312,0.14110706186267327,0.19279000420071113,0.38831522359550774,0.3237624366075986,0.48839419815085217,0.0601559680634674,0.03455587600198282,0.06461429245258937,0.011073726777331408,0.005175781929599339,2.1263361994128944
