Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_total_Rn_relativistic
1.0,0.008219902263192644,0.02937013332207651,0.01422807611423065,0.01646912536499521,0.06339193085819032,0.03770690027473832,0.04138629876225204,0.02659229891470857,0.0273942155208494,0.11896498860704549,0.0815284807647048,0.08924190930480846,0.0665156600476202,0.06831825306360118,0.05464579790774451,0.05539306679700981,0.18518786991313788,0.17627398747770118,0.1913491194302732,0.17703239497673462,0.18254387434325797,0.0792679912785008,0.14789983768923584,0.09073717527609253,7.121933504824246
1.05,0.0082196245632318,0.02935920298871631,0.014228068361822364,0.016469111265814244,0.06325957233287655,0.03770611176637465,0.04138504800219314,0.026592295893146312,0.02739421191207737,0.11785909262292493,0.08149072115123164,0.0891832416804426,0.06651418077233605,0.0683164857867955,0.05464569260179541,0.055392948191862204,0.17760377104685665,0.1746721518728631,0.18890600399733654,0.1761411961140654,0.18146212653312396,0.06949693281667745,0.12693072054196083,0.07455368561050127,6.954685680012066
1.1,0.008219333331626059,0.02934774432909956,0.014228059429144622,0.016469095010537785,0.06312107076055624,0.03770520388845454,0.04138360837911779,0.026592292068995434,0.027394207345172235,0.11671093974815173,0.08144751879969866,0.08911622425417981,0.06651232502805987,0.0683142700178207,0.05464554886909241,0.05539278640493149,0.17001422206537628,0.17289772533074,0.18622407381735956,0.17509846836623347,0.18020373239456447,0.06213526078697501,0.10845286713573823,0.06123865338779409,6.805587695459584
1.1500000000000001,0.008219028570473566,0.029335758035047056,0.014228049202233977,0.01646907639079534,0.06297647011677222,0.0377041654039602,0.041381962234060876,0.026592287281323918,0.02739420162816902,0.11552207035510022,0.08139842678867425,0.08904019706991792,0.06651002305983832,0.06831152310050914,0.054645355784748786,0.0553925692035988,0.1624530906826741,0.17094820121293933,0.18330505440098976,0.17389437860122323,0.17875901915892417,0.05676493237012763,0.09233481739484267,0.05039647670609945,6.671928994905583
1.2000000000000002,0.008218710281969799,0.029323244829961227,0.01422803756197071,0.016469055188846986,0.06282581623746143,0.03770298462671936,0.04138009122494093,0.02659228134655696,0.02739419454213984,0.11429406790431842,0.08134299202520516,0.08895449595033736,0.0665071968922699,0.06830815276324312,0.05464510016427893,0.05539228184158916,0.15495257214832248,0.1688225951516816,0.18015317253244906,0.17252065530060848,0.17712036179811577,0.05299824419207903,0.07841256886467474,0.041662335728830616,6.551145914647468
1.25,0.008218378468407537,0.029310205468745357,0.014228024384098361,0.01646903117762693,0.06266915679445986,0.03770164943106892,0.04137797634460906,0.026592274056566403,0.027394185838929656,0.11302855552691086,0.081280756912906,0.08885845539936156,0.06650375997496959,0.0683040567331273,0.0546447662767467,0.05539190674485027,0.147543000307784,0.16652145402785842,0.1767750667750666,0.1709707657900457,0.17528234049742425,0.05048520720536175,0.06650274993608644,0.034706691084690204,6.440881709375289
1.3,0.008218033132176821,0.029296640737719343,0.014228009539244104,0.016469004120788867,0.06250654127007794,0.03770014726187025,0.041375597939526644,0.026592265176708804,0.02739417523883312,0.11172719255278314,0.0812112610287963,0.08875141149413107,0.06649961687052554,0.06829912240417156,0.05464433555058521,0.055391423190697855,0.14025268690344014,0.1640468414216162,0.17317965892120998,0.16924004302878765,0.17324183329646578,0.048917496741598655,0.05641296422136796,0.029236597823777476,6.339020595589123
1.35,0.008217674275764919,0.029282551454531985,0.01422799289293995,0.016468973772753224,0.0623380209307662,0.037698465144866244,0.041372935729050445,0.026592254443816098,0.027394162428217524,0.11039167099517198,0.08113404280228255,0.08863270475324446,0.0664946629889071,0.06829322656404764,0.05464378627574187,0.05539080698440693,0.13310778951734809,0.16140230098812344,0.16937799148669921,0.16732576178054367,0.170998046440267,0.04802970291283457,0.047949657062397066,0.024994972302097972,6.243702553107402
1.4000000000000001,0.008217301901756284,0.029267938468069844,0.014227974305644769,0.016468939878756188,0.062163648799891655,0.03769658969737026,0.04136996882530331,0.02659224156414303,0.027394147057096904,0.10902371200188661,0.08104864118975734,0.08850168296834307,0.06648878437186427,0.0682862351834292,0.05464309330604453,0.05539003013767289,0.12613220812239942,0.15859279954749328,0.16538303673006333,0.1652271659323585,0.16855248711685455,0.04759854776845982,0.04092389405937551,0.021758620608423755,6.153324292323166
1.4500000000000002,0.008216916012832516,0.029252802658362654,0.014227953632767154,0.01646890217490057,0.06198347962964618,0.037694507139276696,0.04136667575360789,0.026592226211275518,0.02739412873666251,0.10762506228364961,0.08095459733839422,0.08835770398650969,0.06648185753041219,0.06827800327133915,0.054642227765852674,0.055389060553523876,0.11934750980424093,0.15562465194850708,0.1612094828763391,0.1629454503022611,0.16590888482945074,0.04744065144528102,0.035155432148256185,0.019335586195254464,6.066530620252693
