Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_total_Pb_relativistic
2.0500000000000003,0.008802737958864557,0.0309560749201575,0.015268226661170684,0.01738511021832601,0.06278629097499104,0.04034193399559406,0.04381414706354256,0.028289195165788497,0.029061863942478616,0.09071830906596712,0.08472338627728376,0.09070460990613789,0.0717326746668446,0.07349848142225061,0.0608892319816611,0.06170115888300248,0.04798209978663005,0.10211287246479044,0.09035949987096564,0.10721749818805651,0.10245140173876185,0.022722167248491663,0.009434597187960983,4.918723478977384
2.1,0.008802058810475194,0.03092959893275307,0.015268138627937609,0.017384959712799828,0.06248469753379551,0.040333284645126644,0.04380121239866771,0.028289047246170377,0.029061690594914376,0.08879341336878781,0.08437733357317327,0.09021319807973709,0.07167177773933353,0.07342781415427993,0.06086688080153648,0.061676445749566,0.04511938273781861,0.09715723243820025,0.08495101686024403,0.1020042596303855,0.09709221201065145,0.020943900913940456,0.0092835558949369,4.816350232988063
2.15,0.008801363375615108,0.03090251102583826,0.015268044157017083,0.017384798217425935,0.062177427849283415,0.04032403212191158,0.04378738511218444,0.02828888139870943,0.029061496274993333,0.08686865798069217,0.08401250015904305,0.0896967976442418,0.07160485582089929,0.07335024550093404,0.06084176580295075,0.06164871166142543,0.042557969133009334,0.09229941390410899,0.07973856548369634,0.09691236519092643,0.09188802811911072,0.019240603271618403,0.009100717042953973,4.716799982993854
2.2,0.008800651659882771,0.0308748130311162,0.015267942947302743,0.01738462522096578,0.06186458678195437,0.04031415169972101,0.04377262972416617,0.028288695983361114,0.02906127907046897,0.08494623935803178,0.0836286615082636,0.08915529452867932,0.0715315510299771,0.07326537873009933,0.06081367071953588,0.06161772568430897,0.04028038942096874,0.08755282285767482,0.07473248758756652,0.09195247307657313,0.08684753002433812,0.017622921643664163,0.008888209325390922,4.620222765814225
2.25,0.008799923669006938,0.030846506819963176,0.015267834691440144,0.01738444020185445,0.06154628067843133,0.04030361845288074,0.04375691057515307,0.02828848925933658,0.029061036952517348,0.08302830168175598,0.08322563075926352,0.08858863445475854,0.07145150412749789,0.07317281730466407,0.06078237541959982,0.061583253463964496,0.03826863623488922,0.08292947618885359,0.06994098932361081,0.08713364578331244,0.08197771112771776,0.016098686819522933,0.008648835846034634,4.526735591124889
2.3000000000000003,0.008799179408846548,0.030817594303195837,0.015267719075883328,0.017384242628315096,0.06122261731122197,0.04029240727892043,0.043740191863795665,0.02828825938228144,0.029060767772575907,0.08111693347246121,0.0828032593527421,0.0879968230689053,0.07136435591174527,0.07307216652148259,0.06074765688698811,0.06154505831124884,0.03650437611496541,0.0784399873151957,0.06537023487576524,0.0824634280156293,0.07728399143873758,0.014673200280846121,0.008385832699658436,4.43642431842232
2.35,0.00879841888539062,0.030788077430833755,0.015267595780952489,0.017384031958475484,0.06089370581797011,0.040280492921321444,0.04372243768452821,0.02828800440153906,0.029060469259289023,0.07921416443337734,0.08236143752038647,0.08737992582181117,0.07126974862967447,0.07296303515750702,0.06070929022756888,0.061502902307487645,0.03496914406423495,0.07409356911233653,0.06102445644660162,0.07794793249963873,0.07277033419609484,0.013349531429180935,0.00810267780318468,4.349345771670074
2.4000000000000004,0.008797642104758153,0.03075795819185738,0.015267464480892712,0.017383807640486672,0.06055965664024616,0.040267849992339316,0.04370361206522834,0.02828772225750505,0.029060139015568087,0.07732196252520712,0.08190009462629283,0.08673806760249728,0.07116732739545814,0.07284503711202903,0.06066704969140061,0.06145654741919093,0.03364452036511533,0.06989805231406267,0.056906076881447686,0.07359193124752528,0.06843936374514606,0.01212881321205251,0.007802941252919987,4.265530008510472
2.45,0.008796849073198014,0.03072723861396143,0.015267324843933797,0.01738356911264375,0.0602205814619262,0.040254452995878084,0.043683679004820127,0.028287410779079317,0.029059774515773632,0.07544223127576,0.08141919936294821,0.08607143213499864,0.07105674160716663,0.07271779303426211,0.06062070970090586,0.06140575661161618,0.032512289400880426,0.0658599175206221,0.05301584158158701,0.06939895017381922,0.06429248285472258,0.0110105277946329,0.00749016993257726,4.18498267565601
2.5,0.008796039797088831,0.030695920763303793,0.015267176532351115,0.01738331580350862,0.05987659314720865,0.04024027635039358,0.04366260251077781,0.028287067681222012,0.029059373103026746,0.07357680732636311,0.0809187598042536,0.08538026114678532,0.070937646352708,0.07258093192587081,0.060570045875758885,0.06135029495120238,0.03155458050746766,0.061984338960904405,0.04935295665875058,0.06537136527893751,0.06032998799316694,0.009992776491360846,0.00716780029315815,4.107687394675027
