Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Tm_relativistic
2.0,0.011094191234468672,0.038537704302064504,0.0193840133747303,0.021133467856986374,0.07582387267399304,0.051399397241048146,0.05434914036566396,0.03552312626673644,0.036203178285967474,0.09161729710859605,0.10526226448841278,0.10911972938289005,0.09433982360275896,0.09597942371719112,0.09410236045485669,0.0947425938954064,0.032220250443949834,0.0458721853463428,0.034972352915954394,0.002866328066726496,4.3668135021405625
2.0500000000000003,0.011092922649413469,0.03848760217703763,0.01938375743370255,0.021133100612981747,0.07525763280499435,0.051373440260340165,0.054315123545297495,0.03552248601732126,0.03620246266044049,0.08851194229569474,0.10424420672480932,0.10784373190569446,0.09401839293484031,0.09562209063243413,0.0931783291975998,0.09374049949220967,0.03186123241959751,0.04133204327964119,0.0313072626446416,0.002625152173364164,4.311101046468612
2.1,0.01109162295418972,0.03843633772606626,0.019383482398874025,0.021132706028469332,0.07468207459385656,0.05134568971883744,0.05427878238194693,0.03552176795828297,0.03620166023679431,0.08545475752595202,0.10318304231348174,0.10651891750940931,0.09367118509275119,0.09523673483009408,0.09223754380520961,0.092724108682009,0.031639058523974556,0.03724831979573669,0.028090568487458976,0.0024392652730561406,4.257787405487977
2.15,0.011090292164329024,0.03838391629178338,0.019383187368167062,0.021132282819167885,0.0740974989506899,0.05131607770844008,0.054240032002601225,0.035520965097149734,0.036200763244057195,0.0824498399027514,0.10207959886497987,0.10514680886410296,0.09329747703687258,0.09482265206073538,0.09128123878743627,0.09169465409316074,0.03151615422087152,0.03359264375450994,0.025283898630899353,0.002299034478545638,4.206592848418809
2.2,0.011088930295731488,0.038330343330406844,0.01938287142162026,0.02113182967606393,0.07350420956190287,0.05128453646780833,0.05419878803361495,0.03552007004402677,0.03619976347372365,0.07950099226331481,0.10093484397359255,0.10372909477694052,0.09289662591628972,0.09437923083922858,0.09031063812253001,0.09065335271412076,0.0314598536984537,0.030336103692690273,0.022850000981746946,0.0021959615903391055,4.157254193918191
2.25,0.011087537364665308,0.03827562441069858,0.019382533621650933,0.021131345265832522,0.07290251262966647,0.051250998479368044,0.05415496673408094,0.03551907500504948,0.03619865227304218,0.07661172085986337,0.09974987923827636,0.10226761931549425,0.09246807312062098,0.09390595624331137,0.08932695123305769,0.08960140218423696,0.03144212837154106,0.027449687051985888,0.02075306644611681,0.0021226159169697636,4.109526233224278
2.3000000000000003,0.01108611338776636,0.038219765212904065,0.019382173013322332,0.021130828231265313,0.07229271661140954,0.05121539656550665,0.05410848512749893,0.03551797177657643,0.036197420539153397,0.0737852344260204,0.0985259336760728,0.10076437029921982,0.09201134760993757,0.09340241287502382,0.08833136933404433,0.0885399774518325,0.03143927943945756,0.02490465144891886,0.018958973577914675,0.002072558280925525,4.063182609266415
2.35,0.011084658382037772,0.03816277152767242,0.019381788624615443,0.021130277191705658,0.07167513195965816,0.05117766398381431,0.054059261131525295,0.035516751740148574,0.036196058714106985,0.0710244445711894,0.09726435659684739,0.09922146727318347,0.09152606851870489,0.092868286990642,0.08732506215286542,0.08747022779567078,0.03143160699167181,0.022672833103676897,0.017435464845470844,0.0020402603587505674,4.018016236718206
2.4000000000000004,0.01108317236484948,0.03810464925495737,0.01938137946670534,0.021129690743490692,0.07105007086252746,0.05113773452122806,0.054007213685595426,0.03551540585823869,0.036194556780782754,0.06833196744025041,0.09596661000896332,0.0976411490762258,0.09101194703856598,0.09230336781452132,0.08630917501207484,0.08639327420786756,0.0314030662751067,0.020726897937209256,0.016152264155034544,0.0020210224749660287,3.9738393405414776
2.45,0.011081655353937788,0.03804540440289952,0.019380944534241964,0.02112906746040014,0.07041784698516987,0.05109554258694028,0.05395226287621702,0.0355139246708127,0.03619290425973873,0.06571012657128092,0.09463426062561392,0.09602576111286024,0.09046878759291739,0.09170754806103368,0.08528482626550005,0.08531020712572224,0.03134091997862306,0.019040541002379053,0.015081144544152386,0.0020108921601706565,3.930483182829644
2.5,0.011080107367404914,0.03798504308669009,0.019380482805635205,0.02112840589411169,0.06977877521247859,0.051051023303936814,0.053894330059739495,0.03551229829272194,0.03619109020700587,0.06316095688010816,0.09326897154101915,0.09437774243443023,0.08989648832353582,0.09108082369648908,0.084253105077259,0.08422208450063337,0.031235393775804893,0.01758863989037946,0.01419595417001666,0.0020065851485209455,3.887797540111137
2.5500000000000003,0.011078528423718524,0.03792357152741666,0.019379993243344256,0.02112770457466277,0.06913317139333972,0.05100411259903358,0.05383333798241227,0.035510516411943006,0.03618910321284635,0.060686209697334716,0.09187249364459674,0.09269961273050209,0.08929504091596115,0.09042329297955386,0.08321506952691042,0.08312993019050711,0.031079340910240803,0.01634736759345371,0.013472607907781027,0.002005409993784525,3.8456499857949895
2.6,0.011076918541711256,0.037860996050891084,0.01937947479417107,0.02112696201091853,0.06848135208672029,0.05095474729128521,0.05376921089755241,0.035508568288679196,0.0361869314014892,0.05828735878102112,0.09044665683959142,0.09099395932625597,0.08866452979590746,0.0897351548242125,0.08217174502419045,0.0820347326553426,0.030867920313151737,0.01529427004707215,0.012889051070937635,0.0020051970944756584,3.8039250253279375
2.6500000000000004,0.01107527774058024,0.037797323086459965,0.01937892638955783,0.021126176691045852,0.06782363430987345,0.05090286517864327,0.05370187467964991,0.03550644275533512,0.03618456243185435,0.05596560722643944,0.0889933611305449,0.08926342427586666,0.08800513073365897,0.08901670653379078,0.08112412301757384,0.08093744394050491,0.03059829161027794,0.014408313250053114,0.012425200990900345,0.0020042326185616007,3.7625231250706594
2.7,0.011073606039886602,0.03773255916579813,0.019378346945888372,0.021125347082993205,0.06716033528893506,0.05084840512274631,0.05363125693524743,0.035504128217373344,0.036181983499272846,0.05372189519319974,0.08751456764146504,0.08751069163564586,0.08731710889722627,0.08826834095800346,0.08007315997620282,0.07983897892623495,0.03026932939757998,0.013669904494552923,0.012062871460059457,0.0020011975877931155,3.721359669754392
2.75,0.011071903459554973,0.037666710921685304,0.019377735364793387,0.02112447163497614,0.06649177221217889,0.050791307131728775,0.0535572871104396,0.03550161265505946,0.0361791813382084,0.05155690836956117,0.08601228962366145,0.08573847499414791,0.08660081639801988,0.0874905431274616,0.07901977662594739,0.07874021482277045,0.029881358334454416,0.01306089184904376,0.011785684360776446,0.001995112206487212,3.6803638778690737
2.8000000000000003,0.011070170019872967,0.03759978508676645,0.019377090533459356,0.021123548775968275,0.06581826198619038,0.05073151244094064,0.05347989659484572,0.0354988836260994,0.03617614222598211,0.04947108709383877,0.0844885835090113,0.08394950532962475,0.08585668937498148,0.08668388642163699,0.07796485742219084,0.07764199089290094,0.029435909907623934,0.01256454564153768,0.011578972177163277,0.00198528538803208,3.639477699398445
2.85,0.011068405741490664,0.0375317884922961,0.01937641132494108,0.02112257691619753,0.06514012099521092,0.05066896359147467,0.05339901882191873,0.035495928269170245,0.03617285198749966,0.047464636053462024,0.0829455400609554,0.08214651925824083,0.08508524466454885,0.08584902832700654,0.07690925023833163,0.07654510837871942,0.028935501146233892,0.01216552529885323,0.011429674519116632,0.001971269335012028,3.5986547158446944
