Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(1),J_total_Cd_relativistic
27.900000000000002,0.007356686087451558,0.0014249769253455412,0.0026157694266287558,0.002282264836399625,0.0002759306434870934,0.000666847705210984,0.0005947302856725722,9.362938317815203e-05,8.56813511536856e-05,5.401719461649336e-05,0.000123308045480141,0.00010913183935814004,1.2057910731435197e-05,1.0884202724732124e-05,3.5855053809873065e-06,0.03798889341183331
27.950000000000003,0.007337682455992336,0.0014237221932946757,0.0025973519083720355,0.002265240445335461,0.00027588396372796894,0.0006621499109876101,0.0005902556925274767,9.247626011429951e-05,8.460951863511993e-05,5.401371676038126e-05,0.00012244164428999764,0.00010831095291100604,1.190852798160812e-05,1.0747235870655997e-05,3.5853197557945978e-06,0.03779857026887566
28.0,0.007318712665939702,0.0014224482068235047,0.0025790671224038475,0.0022483459791780474,0.0002758340715731685,0.0006574838771531904,0.0005858139182905718,9.133846265394624e-05,8.355211650296316e-05,5.400978817840443e-05,0.00012158097261952059,0.00010749600356321911,1.1761139006518948e-05,1.0612121178891736e-05,3.5851042205693275e-06,0.03760945105468416
28.05,0.007299776771896549,0.0014211550373299995,0.0025609141553561768,0.0022315804803692964,0.0002757808960867496,0.0006528494410247238,0.0005814047640442094,9.021577353156339e-05,8.25089378819322e-05,5.4005386630069176e-05,0.00012072600443604529,0.00010668695773087993,1.1615716671422153e-05,1.0478833398610465e-05,3.584858774824674e-06,0.037421526500143014
28.1,0.0072808748275178655,0.0014198427594393226,0.002542892098924232,0.002214942997332824,0.0002757243694176414,0.0006482464395784487,0.000577028031090605,8.910797873169209e-05,8.147977902282292e-05,5.400049069917871e-05,0.00011987671355383722,0.00010588378179760177,1.147223429560572e-05,1.0347347724300714e-05,3.584584054572064e-06,0.037234787419846246
28.150000000000002,0.007262006885515338,0.001418511450910682,0.002525000049862425,0.002198432584458638,0.00027566442672896375,0.0006436747094808502,0.0005726835209765303,8.80148674381339e-05,8.046443925317124e-05,5.399507977522979e-05,0.00011903307364167637,0.00010508644212091844,1.1330665297529207e-05,1.0217639377775692e-05,3.584280695356365e-06,0.03704922470617372
28.200000000000003,0.007243172997661974,0.0014171611925458602,0.0025072371099798337,0.002182048302087395,0.00027560100612862104,0.0006391340871189791,0.0005683710355173545,8.693623198396564e-05,7.946272092872205e-05,5.398913403515311e-05,0.0001181950582302768,0.0001042949050385392,1.1190982924467723e-05,1.0089683289098855e-05,3.5839486596830805e-06,0.036864829324234565
28.25,0.007224373214796728,0.0014157920680993982,0.0024896023861351456,0.0021657892164942344,0.00027553404860115134,0.0006346244086300938,0.0005640903768204424,8.587186780236428e-05,7.84744293856924e-05,5.398263442539176e-05,0.00011736264071955116,0.00010350913687446448,1.1053160140436535e-05,9.963453963670548e-06,3.583586744519739e-06,0.0366815923089279
28.3,0.007205607586829118,0.001414404164190407,0.0024720949902310952,0.002149654399872196,0.00027546349794081227,0.0006301455099306321,0.0005598413473079214,8.482157337822811e-05,7.749937289381489e-05,5.397556264431231e-05,0.00011653579438572812,0.00010272910394497302,1.0917169702639201e-05,9.838925571241415e-06,3.583192421435861e-06,0.03649950476476125
28.35,0.00718687616274386,0.0014129975702159884,0.00245471403920842,0.0021336429303152435,0.00027538930068588555,0.0006256972267445313,0.0005556237497388327,8.378515020058209e-05,7.653736261014943e-05,5.396790112494308e-05,0.0001157144923883285,0.00010195477256448547,1.0782984404946885e-05,9.716072231842547e-06,3.582762063586368e-06,0.03631855786829941
28.400000000000002,0.0071681789906055,0.001411572378266241,0.0024374586550393244,0.0021177538918008888,0.0002753114060541813,0.000621279394630899,0.000551437387230673,8.276240271575261e-05,7.55882125336489e-05,5.395963301803429e-05,0.00011489870777699846,0.00010118610905129801,1.0650577421325011e-05,9.594868420207956e-06,3.5822915155726644e-06,0.03613874287241639
28.450000000000003,0.007149516117563041,0.001410128683040827,0.0024203279647204783,0.0021019863741724436,0.0002752297658797246,0.0006168918490110526,0.0005472820632803419,8.175313828130023e-05,7.465173946046713e-05,5.395074217543488e-05,0.00011408841349819522,0.00010042307973317201,1.051992265509463e-05,9.475289378392371e-06,3.5817768781235532e-06,0.035960051111056324
28.5,0.007130887589854579,0.0014086665817670812,0.002403321100265561,0.002086339473120903,0.00027514433455060625,0.0006125344251949332,0.0005431575817845052,8.075716712069716e-05,7.372776293999621e-05,5.3941213133780716e-05,0.00011328358240171651,9.966565095275814e-05,1.039099499846233e-05,9.357311424167933e-06,3.5812153131258577e-06,0.035782474003057056
28.55,0.0071122934528119386,0.0014071861741196373,0.002386437198697347,0.0020708122901664655,0.00027505506894797994,0.0006082069584069058,0.0005390637470593839,7.97743022787368e-05,7.281610523162073e-05,5.3931031098488926e-05,0.00011248418724706463,9.89137890728311e-05,1.026377043081613e-05,9.240912070736404e-06,3.5806056400995037e-06,0.035606003053786
28.6,0.007093733750865315,0.0014056875621415537,0.002369675402039369,0.0020554039326397175,0.0002749619283861887,0.0006039092838109596,0.0005350003638599833,7.88043595776642e-05,7.191659126217767e-05,5.392018192805326e-05,0.00011169020070963939,9.816746048131523e-05,1.0138225927129893e-05,9.12606992365404e-06,3.579948520361638e-06,0.03543062985386112
28.650000000000002,0.007075208527547907,0.0014041708501669134,0.0023530348573071415,0.0020401135136624716,0.0002748648745540029,0.0005996412365353113,0.0005309672373987679,7.784715757401398e-05,7.10290485841088e-05,5.390865211863512e-05,0.00011090159538675799,9.742663159608785e-05,1.0014339198018434e-05,9.012764379972866e-06,3.5792461271437907e-06,0.03525634607498955
28.700000000000003,0.007056717825500559,0.001402636144744879,0.002336514716498973,0.0020249401521282837,0.00027476387145695296,0.0005954026516964292,0.000526964173363797,7.690251751614489e-05,7.015330733429491e-05,5.3896428788945106e-05,0.00011011834380350821,9.669126886956077e-05,9.892088327351768e-06,8.90097520659596e-06,3.57850135813755e-06,0.035083143463762664
