Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Dy_relativistic
81.2,0.0010520281446589142,0.00023180150868103413,7.422035024975809e-05,3.7053298589074634e-05,5.5009305025643694e-05,2.006591364086467e-05,1.040668793817861e-05,4.285553854099785e-07,2.8617659424231857e-07,1.3537756298270906e-05,4.812344752151259e-06,2.478608725588618e-06,1.0378464240879721e-07,6.915567483129843e-08,2.539113162589472e-10,1.9192299604753142e-10,2.216864059397547e-06,6.365482128918758e-07,3.124722584541364e-07,1.3515300648576735e-07,0.0031141956921016054
81.25,0.001050055316008363,0.0002313124814494059,7.397634338081284e-05,3.6913177184756366e-05,5.4890864084591325e-05,1.999808361926075e-05,1.0366333752161059e-05,4.264288205956185e-07,2.8466837195004543e-07,1.3508473808482646e-05,4.795992766896423e-06,2.468963241466515e-06,1.0326988128051444e-07,6.879247071905095e-08,2.521009945556583e-10,1.903908311537604e-10,2.2120917405001984e-06,6.34344074615675e-07,3.1124235442404533e-07,1.3486087248242454e-07,0.0031075184037748656
81.30000000000001,0.0010480865203876322,0.00023082455368086976,7.373325951137865e-05,3.6773648040355714e-05,5.4772692773080814e-05,1.9930517569952385e-05,1.0326154723934581e-05,4.2431402294224146e-07,2.831688967022577e-07,1.3479259528493403e-05,4.779704684020894e-06,2.4593597698036506e-06,1.0275705228535027e-07,6.84305430781904e-08,2.502852014196904e-10,1.8885585390966374e-10,2.207320735575008e-06,6.321474526529485e-07,3.100170341659553e-07,1.3456763527909833e-07,0.003100857944265127
81.35000000000001,0.0010461217494227566,0.00023033772307534778,7.349109474221931e-05,3.663470840891882e-05,5.465479053926386e-05,1.9863214345493092e-05,1.0286150018265332e-05,4.2221092091687936e-07,2.8167811326736616e-07,1.3450113292802574e-05,4.7634800502219485e-06,2.44979791208853e-06,1.0224614301988255e-07,6.806988228210375e-08,2.4847262797167125e-10,1.8732600931332558e-10,2.2025508808914196e-06,6.299587373768069e-07,3.0879648774589793e-07,1.3427336286826633e-07,0.0030942142645754064
81.4,0.0010441609947552416,0.00022985198733527283,7.324984519208777e-05,3.649635555726294e-05,5.453715683167489e-05,1.9796172803881042e-05,1.0246318804227896e-05,4.201194434578778e-07,2.801959667901493e-07,1.3421034920894998e-05,4.747318416949615e-06,2.4402772741949896e-06,1.0173715130893548e-07,6.771048795168914e-08,2.466725567429447e-10,1.8580987368628322e-10,2.197782127359497e-06,6.277783377777987e-07,3.0758092753369876e-07,1.3397824827535038e-07,0.003087587316574062
81.45,0.0010422042480420519,0.00022936734416560654,7.300950699763744e-05,3.6358586765902935e-05,5.441979109923782e-05,1.972939180853154e-05,1.0206660255181627e-05,4.1803951997163007e-07,2.787224027890908e-07,1.3392024217618931e-05,4.731219342255459e-06,2.4307974684757075e-06,1.01230085040898e-07,6.73523688178109e-08,2.4489466132752975e-10,1.8431648286670523e-10,2.1930145416949636e-06,6.256066709763173e-07,3.063705793738675e-07,1.3368253921013973e-07,0.0030809770528089694
81.5,0.0010402515009555956,0.00022888379127385643,7.277007631333352e-05,3.6221399328978045e-05,5.4302692791272615e-05,1.966287022824954e-05,1.0167173548747074e-05,4.159710803293379e-07,2.772573671537407e-07,1.3363080973726341e-05,4.7151823925882625e-06,2.4213581157982773e-06,1.0072496189334608e-07,6.699554248389822e-08,2.4314866966454823e-10,1.8285497768169952e-10,2.1882483056422647e-06,6.234441506199345e-07,3.0516567234745153e-07,1.3338645954976033e-07,0.003074383426290997
81.55000000000001,0.001038302745183711,0.00022840132637009285,7.253154931136498e-05,3.6084790554178986e-05,5.418586135750176e-05,1.9596606937202343e-05,1.0127857866782561e-05,4.139140548638023e-07,2.7580080614210156e-07,1.3334204966570332e-05,4.69920714451706e-06,2.4119588475019223e-06,1.0022180895142248e-07,6.664003509052843e-08,2.41443928953563e-10,1.8143412735977267e-10,2.1834837131726686e-06,6.212911748749786e-07,3.039664278923095e-07,1.330901532623844e-07,0.003067806390312704
81.60000000000001,0.0010363579724296523,0.00022791994716696637,7.22939221815571e-05,3.594875776267573e-05,5.4069296248056814e-05,1.95306008148925e-05,1.0088712395360971e-05,4.118683743662453e-07,2.743526663780402e-07,1.330539596095273e-05,4.6832931863628056e-06,2.4025993072538234e-06,9.972066222270458e-08,6.62858808850333e-08,2.397889448479941e-10,1.8006183162982713e-10,2.1787211656631836e-06,6.191481147786814e-07,3.027730491335792e-07,1.3279366532676937e-07,0.0030612458983370456
81.65,0.0010344171744120733,0.0002274396513797236,7.205719113128405e-05,3.581329828904524e-05,5.395299691348458e-05,1.9464850746130717e-05,1.0049736324746558e-05,4.0983397008315276e-07,2.729128948487175e-07,1.3276653710113064e-05,4.667440119720827e-06,2.393279152785096e-06,9.92215660535587e-08,6.593312170037302e-08,2.381909746460763e-10,1.7874469985120685e-10,2.1739611651543094e-06,6.170153037077482e-07,3.015857112795923e-07,1.3249695642042496e-07,0.00305470190395554
