Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(3),J_total_I_relativistic
14.15,0.012529982518531043,0.006323217134289006,0.01713412264875337,0.01703089558813821,0.004714186455728029,0.0024333767373228687,0.002593217452886144,0.006947670265120744,0.006714437657534585,0.0013422679209736804,0.0005041928066882518,0.0005017978776254244,0.0012522851810489201,0.001211301138679269,0.00019277619705826882,4.871780691031821e-05,4.45395608362462e-05,0.25143719737157927
14.200000000000001,0.012513085771530782,0.006241406974958362,0.01706099458831875,0.016950878105234865,0.004660353565601872,0.0024306982651030734,0.002592558220738717,0.006854777811050428,0.006623146629324065,0.001328945425284386,0.0005003205869132768,0.000499629415545982,0.0012370583683251552,0.0011962282323316762,0.00019094115352493265,4.825223884457579e-05,4.428505773035795e-05,0.24953870916686616
14.25,0.012496161184803779,0.00616062504258446,0.016987893107525336,0.01687093823459879,0.004606768583882092,0.002428264072492615,0.0025920109188234948,0.006763083274572586,0.006533055528686765,0.0013156063130526096,0.0004966482758615966,0.0004976028328495356,0.001221981006196317,0.0011813095342078342,0.0001891004300426227,4.780941880168679e-05,4.404601035081756e-05,0.24765854633467654
14.3,0.012479209017091855,0.006080863412372185,0.016914821964290727,0.016791080017377426,0.004553440813202857,0.002426059618675005,0.0025915637916170886,0.0066725733980452576,0.006444150684865219,0.0013022554500955472,0.0004931682830932151,0.0004957115502273251,0.0012070529485573888,0.0011665447170081456,0.00018725480048049982,4.738851783091796e-05,4.3821741407740674e-05,0.24579648821302696
14.350000000000001,0.012462229526924622,0.006002114135047215,0.016841784882616496,0.016711307449625335,0.00450037923912605,0.002424070819772944,0.0025912055206549446,0.00658323499487665,0.00635641850931855,0.00128889759106185,0.0004898732182774622,0.0004939491889715807,0.0011922739947667549,0.001151933402730739,0.0001854050228511008,4.698872837216255e-05,4.3611593721031994e-05,0.24395231717713975
14.4,0.012445222972612448,0.005924369238919151,0.016768785552316028,0.016631624482116265,0.004447592533698609,0.0024222840390331216,0.0025909252136897317,0.0064950549518591125,0.006269845497869605,0.0012755373787246586,0.00048675588788880237,0.00049230956679208,0.0011776438918562337,0.0011374751648523327,0.0001835518390732921,4.660926393642001e-05,4.341492982145896e-05,0.24212581860345475
14.450000000000001,0.01242818961223948,0.00584762073191,0.016695827628755103,0.016552035020170042,0.004395089059147606,0.00242068607711959,0.0025907123940153176,0.006408020231386302,0.006184418232735832,0.001262179343460283,0.0004838092918796019,0.0004907866936541822,0.001163162336682843,0.0011231695304487566,0.00018169597477377342,4.62493587702575e-05,4.3231131559973934e-05,0.24031678083353358
14.5,0.012411129703656697,0.005771860603548122,0.016622914732605076,0.016472542923494156,0.004342876871702712,0.002419264162518491,0.002590556989957443,0.00632211787355687,0.006100123384447336,0.0012488279029021217,0.0004810266203350055,0.0004893747676420186,0.0011488289780230638,0.0011090159822560834,0.00017983813912470504,4.59082675033108e-05,4.305959971777114e-05,0.23852499513786043
14.55,0.012394043504474992,0.005697080826927664,0.016550050449608465,0.016393152006039694,0.004290963725536037,0.002418005942056679,0.0025904493245319815,0.0062373349981678485,0.006016947713655421,0.0012354873617597861,0.0004784012501147779,0.00048806817085025433,0.0011346434186104758,0.0010950139606733821,0.00017797902471597328,4.558526478177058e-05,4.28997536152984e-05,0.236750255679572
14.600000000000001,0.012376931272058309,0.005623273360633672,0.016477238330356827,0.016313866035871514,0.00423935707680981,0.002416899471536553,0.002590380105271473,0.0061536588066010015,0.0059348780728349804,0.001222161911793821,0.0004759267414866959,0.0004868614653075919,0.0011206052171177563,0.0010811628657081496,0.00017611930746109616,4.527964489467733e-05,4.2751030723016787e-05,0.2349923594781681
14.65,0.012359793263516806,0.005550430150632939,0.016404481890080768,0.01623468873505231,0.004188064087822646,0.002415933206489193,0.002590340414220434,0.0060710765836052135,0.005853901407883903,0.0012088556319367549,0.00047359683475580057,0.00048574938893494745,0.0011067138900840627,0.0010674620588654387,0.0001742596465350685,4.499072139766233e-05,4.2612886272743804e-05,0.23325110637323748
14.700000000000001,0.012342629735700059,0.005478543132130733,0.01633178460845189,0.01615562377954044,0.004137091631245566,0.002415095993047692,0.002590321698099745,0.005989575698977998,0.005774004759622682,0.0011955724885516085,0.0004714054468935663,0.00048472685154100307,0.001092968913788828,0.0010539108649816854,0.00017240068434128683,4.471782673650663e-05,4.248479286707657e-05,0.2315262989882173
14.75,0.012325440945190305,0.005407604231393584,0.016259149929396602,0.016076674799101222,0.004086446294439311,0.00241437705894237,0.0025903157586402645,0.005909143609149175,0.005695175265197355,0.0011823163358193375,0.00046934666817079353,0.00048378893085762126,0.001079369726072945,0.0010405085740041954,0.00017054304650438796,4.446031187526637e-05,4.23662400894142e-05,0.22981774269422642
14.8,0.012308227148295723,0.005337605367538204,0.01618658126092152,0.01599784537723149,0.004036134383844753,0.002413766004619361,0.0025903147430856336,0.005829767858669586,0.005617400159388739,0.0011690909162470225,0.00046741475879779335,0.0004829308686174009,0.0010659157281082327,0.0010272544427172325,0.00016868734188673815,4.421754593412841e-05,4.2256734117581025e-05,0.22812524557400843
14.850000000000001,0.012290988601043759,0.005268538454286789,0.01611408197495041,0.015919139051097184,0.003986161929438663,0.0024132527944838917,0.002590311134864097,0.005751436081607836,0.005540666775831009,0.0011558998612889789,0.00046560414557520775,0.0004821480666754567,0.001052606286116041,0.0010141476964156955,0.0001668341626274007,4.3988915837290004e-05,4.2155797338940795e-05,0.2264486183860043
14.9,0.012273725559174482,0.005200395401688793,0.016041655407172447,0.015840559311483732,0.003936534689247316,0.002412827748269391,0.0025902977444290033,0.005674136002857808,0.005464962548142459,0.0011427466920732642,0.0004639094185585891,0.0004814360831773169,0.0010394407330358109,0.0010011875305274032,0.00016498408420249357,4.377382596855021e-05,4.206296796469198e-05,0.22478767452855858
14.950000000000001,0.01225643827813398,0.005133168117809394,0.01596930485690162,0.01576210960275897,0.003887258153910789,0.0024124815325333913,0.0025902677002675204,0.0055978554393597635,0.00539027501097131,0.001129634820226392,0.00046232532773965765,0.00048079062877465613,0.0010264183701444531,0.0009883731121850827,0.00016313766550498288,4.35716978349003e-05,4.197779964606592e-05,0.22314223000428823
15.0,0.012239127013067811,0.005066848510384846,0.01589703358694718,0.01568379332284845,0.0038383375512911497,0.0024122051522810425,0.002590214440076959,0.0055225823012377585,0.005316591800959377,0.0011165675487893709,0.0004608467797469603,0.000480207562890416,0.001013538468627467,0.0009757035817492064,0.00016129544894131955,4.3381969738824144e-05,4.189986109628064e-05,0.22151210338464158
15.05,0.012221792018814466,0.0050014284884448736,0.015824844823494902,0.015605613823222769,0.003789777851117929,0.002411989942716893,0.0025901317021079845,0.005448304592855981,0.005243900657626236,0.0011035480732184708,0.0004594688345684621,0.0004796828900347031,0.0010008002711027828,0.0009631780542828203,0.00015945796054279686,4.3204096456130547e-05,4.182873571839881e-05,0.21989711577465626
15.100000000000001,0.012204433549898896,0.00493689996390236,0.015752741755999042,0.01552757440889683,0.003741583769664697,0.0024118275611254526,0.0025900135166738733,0.005375010413796662,0.005172189424176625,0.0010905794824644373,0.00045818670229843,0.0004792127561727107,0.0009882029930983912,0.0009507956209795079,0.00015762571009061762,4.3037548915157226e-05,4.17640212377201e-05,0.21829709077792203
15.15,0.012187051860526071,0.004873254853110496,0.015680727537084795,0.01544967833844071,0.0036937597744507414,0.0024117099788809105,0.002589854197824861,0.0053026879597620645,0.005101446048233608,0.0010776647601241263,0.0004569957399107918,0.00047879344514576436,0.0009757458244847992,0.0009385553505455568,0.00015579919125413786,4.288181387669488e-05,4.170532934017017e-05,0.2167118544617658
15.200000000000001,0.012169647204574575,0.004810485078387635,0.015608805282461096,0.015371928824001914,0.003646310088962173,0.0024116294735862577,0.0025896483351865287,0.005231325523403032,0.005031658582500056,0.001064806785658826,0.0004558914480609966,0.00047842137514646297,0.0009634279308633418,0.0009264562905373506,0.00015397888174108638,4.2736393615042875e-05,4.165228532015732e-05,0.2151412353226854
15.25,0.012152219835590245,0.004748582569510086,0.015536978070843612,0.015294329031338854,0.003599238697387069,0.002411578621341929,0.0025893907859610783,0.005160911495076574,0.004962815185350942,0.001052008335673792,0.00045486946791824386,0.00047809309524875687,0.0009512484549112956,0.000914497468654962,0.0001521652434575864,4.260080559778339e-05,4.1604527738400645e-05,0.21358506425203758
15.3,0.01213477000677985,0.004687539265173041,0.015465248943887733,0.015216882079865213,0.0035525493493594523,0.002411550289143969,0.0025890766670902563,0.005091434363534779,0.0048949041213588,0.001039272085253767,0.0004539255780298011,0.00047780528199368744,0.0009392065176846512,0.0009026778939928932,0.00015035872267575597,4.2474582161465295e-05,4.156170808614436e-05,0.21204317450197255
15.350000000000001,0.012117297971004819,0.0046273471144199245,0.015393620906131425,0.01513959104270507,0.003506245564707256,0.0024115376274116084,0.002588701347578599,0.005022882716547457,0.0048279137617547735,0.0010266006093495215,0.00045305569121898944,0.0004775547360313979,0.0009273012198793584,0.0008909965582489482,0.00014855975020772817,4.235727018394948e-05,4.152349045395031e-05,0.21051540165162216
15.4,0.012099803980774988,0.004567998078040375,0.015322096924947745,0.015062458946758488,0.0034603306381995715,0.0024115340626440357,0.002588260440975597,0.004955245241460707,0.0047618325848274865,0.001013996384210669,0.0004522558515182779,0.00047733837881991755,0.0009155316430518185,0.0008794524368922289,0.0001467687415860423,4.224843075611422e-05,4.148955120829047e-05,0.20900158357356494
