Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(5),J_6s1/2(1),J_total_Pt_relativistic
1.5,0.009448549479182314,0.033349016773035145,0.01640166738767057,0.01840075121528057,0.06993319449770821,0.04340710593216525,0.046750327304616826,0.030197812790112154,0.03094182885140358,0.11601908238519248,0.09460901797097317,0.1015456902681351,0.07858862944088377,0.08045419000794546,0.0694410530517139,0.0704056348261594,0.08981700258810993,0.15714140534568408,0.15053443370811087,0.1447861453881153,0.13587201835379661,0.02503678125578395,5.89613162828088
1.55,0.009447942704512376,0.03332508130947951,0.01640161788758062,0.018400671403605653,0.0696489833380828,0.04340204298856945,0.04674303838647855,0.030197760198589493,0.030941768042157827,0.11386311015595216,0.09436823260419486,0.1012058822188499,0.07855864216012719,0.08041936734487201,0.06942415119376531,0.07038659600750674,0.08276261571502033,0.1504139979460789,0.14243654705196235,0.1368344854638139,0.12776808257077987,0.02330781456995212,5.754728071801327
1.6,0.009447316094321903,0.033300381072890295,0.016401563400140498,0.01840058355379925,0.06935673676194186,0.0433964848765617,0.046735040738237456,0.030197698653143656,0.03094169689058794,0.11168181633300009,0.09410735227147835,0.10083870786779774,0.07852421795575835,0.08037943580913845,0.06940425250759472,0.0703642261806539,0.07625969694072794,0.14366267287763257,0.1344458381287581,0.1291365172168893,0.11999137572394986,0.021580297423356754,5.617145754447189
1.6500000000000001,0.00944666965428678,0.033274917978993346,0.01640150360458536,0.018400487150327122,0.06905657277794768,0.043390402231028705,0.04672629300623096,0.030197626999276757,0.03094161406569532,0.10947861026169,0.09382569449944536,0.10044338952578187,0.07848492377176951,0.08033390589731537,0.0693810115262624,0.07033815086784091,0.07029815591509815,0.13692117385163338,0.12660145099185058,0.12170392200794447,0.11254488082835064,0.019880630887414118,5.483669206269675
1.7000000000000002,0.009446003390261849,0.03324869400127443,0.016401438170726187,0.018400381662720972,0.06874861219713456,0.04338376513348404,0.0467167531446747,0.03019754397999814,0.030941518118808242,0.10725687656151658,0.09352261829899176,0.10001922097022997,0.07844031031676886,0.08028227134756016,0.06935406926383146,0.07030798254300415,0.06486375459184326,0.13022159791589547,0.11893860659474771,0.11454538833525653,0.10542922555991988,0.018230283521887332,5.354526964586563
1.75,0.00944531730828079,0.0332217111706974,0.016401366759019518,0.018400266545709608,0.06843297855131092,0.04337654314411131,0.0467063784673058,0.030197448230971518,0.030941407478087456,0.10501996705334771,0.09319752711591489,0.0995655710928923,0.0783899137695685,0.08022401124668777,0.069323055424564,0.07027332315436056,0.059938673829516856,0.12359409447023727,0.11148844823720519,0.10766695544548002,0.09864302149471695,0.016646152838574,5.229894976404485
1.8,0.009444611414556011,0.03319397157541454,0.01640128902063909,0.01840014123935363,0.06810979800995987,0.04336870533428904,0.04669512569967351,0.030197338275697025,0.030941280443081826,0.10277119296937076,0.09284987154008233,0.09908188709773023,0.07833325763693039,0.08015859230106177,0.06928759075454688,0.0702337667756212,0.05550207093132203,0.11706662549340581,0.10427797893412391,0.10107232431084308,0.09218315840735518,0.015141021336461894,5.109900213925837
1.85,0.009443885715478523,0.033165477360468876,0.016401204597549398,0.01840000516918366,0.06777919929571953,0.04336022031955769,0.04668295103200476,0.030197212520741146,0.030941135179349315,0.10051381746839755,0.09247915176406875,0.09856769724073963,0.07826985474722002,0.08008547125045958,0.06924728949701665,0.07018890234222334,0.05153061994348318,0.11066478453411982,0.09733007921121503,0.09476313865817736,0.08604506058663466,0.013724049483316087,4.994624423030042
1.9000000000000001,0.009443140217617808,0.03313623072748882,0.016401113122581152,0.018399857746342035,0.0674413135985252,0.043351056292988716,0.046669810172571845,0.030197069251027463,0.030940969713158437,0.09825104847718265,0.09208491978388539,0.09802261310677603,0.0781992093625618,0.08000409740289853,0.06920176191316074,0.07013831643029567,0.04799902790157813,0.10441167095135066,0.09066359360408596,0.08873923879185225,0.08022291100364826,0.01240126919111122,4.88410794011429
1.9500000000000002,0.0094423749277217,0.03310623393437497,0.016401014219508594,0.018399698367727937,0.06709627448849641,0.04334118105891542,0.04665565840148924,0.030196906625200953,0.030940781926285136,0.09598603187637353,0.09166678133612023,0.09744633142168888,0.07812081939118234,0.07991391526755945,0.06915061683150345,0.07008159603823977,0.04488052154560681,0.0983278150966987,0.08429347431765843,0.08299889085373868,0.07470984818845545,0.011176055657501335,4.778353523540163
2.0,0.009441589852716245,0.03307548929497929,0.016400907503128666,0.018399526416145905,0.06674421782765255,0.04333056206698509,0.04664045062486649,0.030196722671078455,0.030940569550919804,0.09372184504763731,0.0912243975674841,0.09683863540120409,0.07803417868096978,0.0798143672624051,0.06909346419100211,0.07001833133365659,0.04214730028909101,0.09243114958900653,0.07823097099660278,0.07753899396542088,0.06949813981149061,0.010049565003314945,4.677330153858498
2.0500000000000003,0.009440784999705569,0.03304399917877666,0.016400792579342023,0.018399341260457714,0.06638528168054154,0.04331916644649172,0.04662414142924395,0.030196515281197694,0.030940330164698916,0.09146149079641466,0.09075748643440554,0.09619939564099671,0.07793877937486354,0.07970489647285683,0.069029917545539,0.06994811833169831,0.03977095240334431,0.08673702150853349,0.07248385628016339,0.07235526745723589,0.06457933624489878,0.009021131428108991,4.580976763356504
2.1,0.009439960375971737,0.033011766010528895,0.016400669045235825,0.018399142255737518,0.06601960622386635,0.043306961040948666,0.04660668513623846,0.030196282208477032,0.03094006118587543,0.08920789166264947,0.09026582383192563,0.09552857055524794,0.0778341143085143,0.07958494943794801,0.06895959650046285,0.06987056147463286,0.03772283244968303,0.08125824020368053,0.06705667769272654,0.06744242015168313,0.059944406797944216,0.008088621680063274,4.489205861136044
2.15,0.009439115988974612,0.03297879226994135,0.01640053648916834,0.018398928743430267,0.06564733365519469,0.04329391244286032,0.046588035857326245,0.03019602106199789,0.03093975986864178,0.08696388462974454,0.0897492444527018,0.09482620637366564,0.07771967943070686,0.07945397894070298,0.06888212905508304,0.06978527608632668,0.03597439894985878,0.07600515542590262,0.061951027392588884,0.06279430344150277,0.05558386083378048,0.007248747191118102,4.40190702505077
2.2,0.009438251846351706,0.032945080491312076,0.016400394490855306,0.01839870005151331,0.06526860810083754,0.043279987028652135,0.0465681475486906,0.030195729302921432,0.030939423298618943,0.08473221623991464,0.08920764237842731,0.09409243670944982,0.0775949762273084,0.07931144678007555,0.0687971538284348,0.06969189067935899,0.03449751212338497,0.0709857606577925,0.05716582231471593,0.05840404968520974,0.05148785557624898,0.0064973357664892106,4.318950236599674
2.25,0.00943736795591803,0.03291063326317374,0.01640024262145802,0.01839845549466116,0.0648835755229823,0.04326515099371833,0.0465469740660625,0.030195404240550897,0.030939048388524654,0.08251553812205716,0.08864097140740335,0.09332748171299173,0.07745951412997387,0.07915682650259837,0.0687043221491135,0.06959004909647046,0.03326469223885259,0.06620581674717078,0.052697588258425056,0.05426419725324804,0.047646292109834266,0.0058295655943396765,4.2401890395258155
2.3000000000000003,0.00943646432566595,0.032875453227928265,0.016400080443673155,0.01839819437441334,0.06449238362616647,0.043249370387546685,0.04652446921948295,0.030195043028550517,0.0309386318740334,0.08031640293625002,0.08804924512335371,0.09253164682819645,0.07731281289149446,0.07898960607292155,0.0686032999934331,0.06947941247193343,0.032249339727334715,0.061668991280893266,0.04854074245696356,0.05036680340068523,0.044048900827213106,0.005240164773013752,4.165463507283646
2.35,0.009435540963765013,0.03283954308147436,0.016399907511824276,0.01839791597934531,0.06409518176317772,0.04323261114888016,0.04650058682791636,0.030194642661331695,0.030938170309840383,0.07813726073702855,0.08743253671184349,0.09170532117020838,0.07715440491049479,0.07880929046362951,0.06849376975952706,0.0693596610021395,0.03142591869478958,0.057377009503515305,0.04468787010022924,0.04670354600299232,0.04068531737325189,0.004723579695671173,4.094603008619698
2.4000000000000004,0.009434597878561804,0.032802905572827994,0.016399723371955013,0.018397619585242365,0.06369212084046616,0.04321483914087525,0.04647528077364528,0.03019419997061669,0.0309376600659412,0.0759804557556926,0.08679097853184567,0.09084897554498889,0.07698383748914997,0.07861540414609257,0.06837543186821908,0.06923049551817757,0.030770105854220832,0.05332981298860386,0.04112999114879498,0.04326581506966202,0.0375451499827413,0.00427411560497155,4.027428764344115
2.45,0.009433635078579772,0.032765543503735846,0.016399527561923897,0.018397304455276483,0.06328335322315436,0.0431960201862173,0.04644850505637777,0.03019371162218964,0.03093709732413838,0.07384822360006775,0.08612476145108947,0.08996316013264573,0.07680067500868613,0.07840749346560917,0.06824800618450391,0.06909163885638364,0.0302589071858905,0.04952572268813131,0.03785681456720133,0.040044794854764656,0.03461803899002418,0.0038860524955217665,3.963756191888368
2.5,0.009432652572519068,0.03272745972828191,0.01639931961150079,0.01839696984018607,0.06286903263973019,0.04317612010215346,0.046420213846999445,0.030193174112844383,0.030936478074785518,0.07174268886839075,0.08543413395481698,0.08904850185764145,0.07660450100862612,0.07818512888569824,0.06811123325625934,0.06894283702575486,0.029870744834638776,0.045961603404723,0.03485697781212202,0.03703153730540852,0.03189370918555807,0.003553739339859398,3.9033970373429696
2.5500000000000003,0.009431650369256373,0.03268865715248727,0.016399099042464938,0.018396614978458545,0.06244931408650758,0.04315510473540422,0.046390361540903674,0.030192583767538018,0.030935798113779066,0.06966586317232301,0.08471940103846878,0.08810570147001598,0.07639492015702565,0.07794790708808307,0.06796487536933936,0.06878386017372046,0.029585516877332563,0.04263302714199437,0.03211827003515734,0.03421702751787104,0.029362015619567507,0.0032716693860264843,3.8461612974011956
2.6,0.009430628477844724,0.03264913873390315,0.01639886536870458,0.018396239096515696,0.06202435373193908,0.04313293999691518,0.04635890281083455,0.030191936736758785,0.030935053039807363,0.06761964356251836,0.0839809228956111,0.08713553036254973,0.07617156010029454,0.07769545291664405,0.06780871742046149,0.06861450335404437,0.029384632650704713,0.03953443318165947,0.029627838002128024,0.03159224181236978,0.027012983397184324,0.00303453903773666,3.791858936002896
2.6500000000000004,0.009429586907513336,0.03260890748119734,0.0163986180963181,0.018395841408901766,0.06159430882086416,0.04310959189641088,0.04632579265917845,0.030191228994116234,0.030934238251865826,0.0656058113486899,0.08321911341310796,0.08613882714937257,0.075934073182593,0.07742742115538294,0.06764256761129313,0.06843458710260286,0.029251026330215413,0.03665928310653564,0.0273723741943465,0.029148198993009418,0.024836841956236422,0.0028372925868217448,3.7403014024278556
2.7,0.009428525667667421,0.032567966453734075,0.016398356723716697,0.018395421118474208,0.06115933757877596,0.0430850265767136,0.04629098646964159,0.030190456334161307,0.030933348947046684,0.06362603130474076,0.08243443848612977,0.08511649403189905,0.0756821380262157,0.07714349813221326,0.06746625796886453,0.06824395782844182,0.029169151403485045,0.03400020933186378,0.0253382869473579,0.02687600531910884,0.022824054277921904,0.002675154836715052,3.6913029591836946
2.75,0.009427444767888012,0.032526318761147456,0.016398080741728563,0.018394977416597055,0.060719599116188704,0.04305921034779005,0.04625444005825239,0.03018961437044331,0.03093238011861091,0.061681851248245476,0.08162741416607666,0.0840694929781476,0.07541546096580909,0.07684340314215053,0.06727964469889618,0.06804248802888829,0.02912495859613397,0.03154915602092007,0.023511852804894866,0.024766893675828638,0.02096534145220667,0.002543653440430178,3.6446818293026455
2.8000000000000003,0.009426344217931763,0.03248396756290852,0.01639778963370449,0.018394509483336843,0.06027525333318694,0.043032109720490104,0.046216109723629134,0.030188698533810357,0.03093132655434948,0.05977470198239889,0.08079860465488202,0.0829988417414924,0.07513377733069375,0.07652688968520141,0.06708260837983702,0.06783007633858565,0.029105859691626497,0.029297511543413535,0.021879351526607013,0.022812257402163923,0.019251702989417016,0.002438632572788587,3.600261173592906
2.85,0.009425224027730767,0.03244091606788606,0.016397482875624956,0.018394016487661022,0.05982646082423677,0.04300369143994208,0.0461759522964549,0.030187704070959217,0.030930182835240343,0.057905897587486835,0.07994862015945135,0.08190560974471062,0.07483685257096814,0.07619374651592661,0.06687505400638162,0.06760664742316247,0.029100679547279587,0.027236231886369085,0.020427184394015273,0.02100367920960063,0.01767443324268014,0.0023562593690705444,3.5578699090425565
2.9000000000000004,0.00942408420739236,0.03239716753390122,0.016397159936208577,0.018393497587638814,0.05937338278333821,0.042973922518569935,0.04613392518810374,0.030186626043240065,0.030928943334406895,0.05607663604797971,0.07907811462018598,0.08079091385483661,0.07452448322443944,0.07584379850326328,0.06665691089198499,0.0673721517288527,0.02909959845247616,0.025355954647630245,0.01914197661657039,0.019332955598339037,0.016225134288164644,0.002293024393375353,3.5173433799909883
2.95,0.00942292476719892,0.03235272526727609,0.016396820277021978,0.01839295193064444,0.05891618090959667,0.042942770268698645,0.046089986438363595,0.03018545932572101,0.030927602216383042,0.05428800020050738,0.07818778332764503,0.07965591407383085,0.07419649772274936,0.07547690730072491,0.06642813244044297,0.06712656509978289,0.029094086808016874,0.023647103432934163,0.01801066475490883,0.017792117153508195,0.014895725590246642,0.0022457372446302265,3.478523893856129
3.0,0.009421745717607672,0.03230759262237625,0.016396463352590995,0.018392378653562667,0.05845501731329014,0.04291020233471467,0.046044094762203634,0.030184198606516756,0.030926153436689238,0.05254095898723861,0.07727836044141503,0.0785018091694268,0.07385275703632677,0.07509297182854045,0.06618869579697083,0.0668698882748525,0.029076833932358777,0.022099982640313907,0.017020570157301948,0.016373445084463947,0.013678450757666707,0.0022115182665679725,3.441261133189947
