event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
1240,3,3,22,2013,662.0,195.532301441239,466.46769855876096,147.29585487840234,833.2593142750808,-130.5662554089924,-35.02896281275115,35.02896281275115
1244,3,3,22,2013,662.0,579.6652835816973,82.33471641830272,27.081438212131395,301.53757015918586,-11.240433546012063,-3.015639281750737,3.015639281750737
1249,4,2,22,2013,662.0,383.1015266286018,278.8984733713982,64.02018705234131,602.3437475692709,-64.56757521275613,-17.322509433638675,17.322509433638675
1260,3,3,22,2013,662.0,650.9026905621215,11.097309437878494,9.305653452692313,107.07276184976888,-0.5749645497995944,-0.15425434213833697,0.15425434213833697
1263,2,2,22,2013,662.0,377.8985214651993,284.1014785348007,65.18500204181646,609.1508366792275,-66.25044726560822,-17.773998697639687,17.773998697639687
1279,2,2,22,2013,662.0,390.2670298948497,271.7329701051503,62.44857391266018,592.915938486861,-62.26701786152759,-16.705304493109796,16.705304493109796
1294,4,2,22,2013,662.0,186.45591087542294,475.54408912457706,165.6238834950813,843.8881460836661,-133.98762920458702,-35.946865949966735,35.946865949966735
1316,2,2,22,2013,662.0,577.2157568563532,84.78424314364679,27.548537824253096,306.32936448959293,-11.732768531296111,-3.147725354349734,3.147725354349734
1317,3,3,22,2013,662.0,196.76924140713487,465.23075859286513,145.5928902658941,831.8079584974811,-130.10133067781558,-34.904230499121525,34.904230499121525
1317,4,3,22,2013,662.0,138.31601396986608,523.683986030134,113.00934525764741,727.294687653317,4.295006645943541,1.1522856928844232,1.1522856928844232
1317,6,2,22,2013,662.0,121.30138955468774,540.6986104453123,68.6743914545545,628.1336660206188,125.80290313671796,33.7510270315122,33.7510270315122
