Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(10),J_4s(1),J_total_Cu
27.85,0.003952757670720748,0.0007321894967607905,0.0002096881801389408,0.00011272901409697943,3.156005801332697e-05,5.239952438612258e-07,3.4296923573701285e-06,0.011051511436866628
27.900000000000002,0.003932131933682955,0.0007277050424436711,0.00020743453295482515,0.00011202276085092372,3.122452227556014e-05,5.161267196978182e-07,3.4081444110079997e-06,0.010984243216945397
27.950000000000003,0.00391161367460408,0.0007232471077949927,0.00020520735806274826,0.00011132075236668868,3.089287925466278e-05,5.08386610595103e-07,3.386726162049639e-06,0.010917435085703987
28.0,0.0038912023970688963,0.0007188155801622162,0.00020300632042089613,0.00011062297122045203,3.05650803477028e-05,5.00772655414731e-07,3.3654370825713187e-06,0.010851083465151441
28.05,0.003870897605925474,0.0007144103463960099,0.00020083108949706699,0.00010992939987173505,3.024107759659198e-05,4.932826357215955e-07,3.344276640882612e-06,0.01078518480994649
28.1,0.003850698807297052,0.0007100312928753829,0.00019868133920496843,0.00010924002066855655,2.9920823679114008e-05,4.859143749230084e-07,3.3232443016894974e-06,0.010719735607037399
28.150000000000002,0.003830605508593641,0.0007056783055323072,0.0001965567478414432,0.00010855481585247819,2.9604271900080996e-05,4.78665737426318e-07,3.302339526254012e-06,0.010654732375306515
28.200000000000003,0.0038106172185233675,0.0007013512698758428,0.0001944569980246119,0.00010787376756354373,2.9291376182617098e-05,4.715346278145582e-07,3.28156177255054e-06,0.010590171665219578
28.25,0.003790733447103561,0.000697050071015771,0.0001923817766329188,0.00010719685784511379,2.8982091059567216e-05,4.645189900397193e-07,3.2609104954187846e-06,0.010526050058479623
28.3,0.003770953705671579,0.0006927745936857413,0.00019033077474506614,0.0001065240686485975,2.8676371665028863e-05,4.5761680663323627e-07,3.240385146713475e-06,0.010462364167685452
28.35,0.0037512775068953923,0.0006885247222659453,0.00018830368758082638,0.00010585538183808368,2.8374173726005776e-05,4.5082609793331484e-07,3.219985175450881e-06,0.010399110635994621
28.400000000000002,0.0037317043647839077,0.0006843003408053187,0.0001863002144427162,0.00010519077919487198,2.8075453554181037e-05,4.441449213287034e-07,3.19971002795216e-06,0.010336286136790818
28.450000000000003,0.00371223379469705,0.0006801013330432823,0.00018432005865852188,0.00010453024242190677,2.7780168037808327e-05,4.375713705185484e-07,3.1795591479836138e-06,0.010273887373355628
28.5,0.003692865313355603,0.000675927582431029,0.00018236292752466264,0.00010387375314811482,2.7488274633719464e-05,4.3110357478796763e-07,3.1595319768938992e-06,0.01021191107854456
28.55,0.003673598438850798,0.0006717789721523618,0.00018042853225037875,0.00010322129293264845,2.7199731359446483e-05,4.2473969829898574e-07,3.13962795374824e-06,0.010150354014467306
28.6,0.0036544326906536835,0.0006676553851440951,0.0001785165879027345,0.00010257284326903628,2.691449678545683e-05,4.1847793939649434e-07,3.119846515459714e-06,0.010089212972172202
28.650000000000002,0.0036353675896242423,0.000663556704116019,0.00017662681335242088,0.00010192838558924234,2.66325300274997e-05,4.1231652992888914e-07,3.100187096917627e-06,0.010028484771334736
28.700000000000003,0.003616402658020284,0.0006594828115704398,0.00017475893122034848,0.00010128790126763582,2.6353790739062157e-05,4.062537345830626e-07,3.0806491311130613e-06,0.009968166259950126
28.75,0.0035975374195061083,0.0006554335898213006,0.00017291266782501808,0.00010065137162487266,2.607823910393337e-05,4.002878502334289e-07,3.0612320492616287e-06,0.009908254314029868
28.8,0.0035787713991609345,0.0006514089210128882,0.00017108775313065666,0.00010001877793169041,2.5805835828875263e-05,3.9441720530466476e-07,3.041935280923473e-06,0.009848745837302185
28.85,0.0035601041234871213,0.0006474086871381366,0.00016928392069610963,9.939010141261848e-05,2.5536542136398363e-05,3.8864015914786677e-07,3.022758254120595e-06,0.009789637760916401
28.900000000000002,0.0035415351204181504,0.0006434327700565294,0.00016750090762447526,9.876532324960435e-05,2.52703197576409e-05,3.8295510142981723e-07,3.0037003954515126e-06,0.009730927043151014
