Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_total_Sb_relativistic
13.4,0.012966084146655016,0.007262379828467046,0.018191862303279748,0.018152652163198675,0.00527927367251611,0.002509096694714383,0.0026412818554718827,0.007905403002718277,0.007662842543755235,0.0014517379396675226,0.000539958542796471,0.0005212823028540972,0.0013327128915429365,0.001291878135153882,0.0001928750844631065,4.6769078847646185e-05,4.133578902275693e-05,0.2729043990974579
13.450000000000001,0.012948727651982146,0.007166839552033931,0.018115181709554735,0.018068608851386943,0.00522140702252478,0.002503509917810016,0.0026389717854848086,0.007797551451589212,0.007556587375128236,0.001438438273629429,0.0005340876330683928,0.0005175860689743487,0.001316395210717971,0.0012756902126040543,0.00019119912363085915,4.616441566435527e-05,4.0970860281547736e-05,0.2707631713193672
13.5,0.012931338877954732,0.007072473138677169,0.018038493027243505,0.017984606789802543,0.005163706480097151,0.0024983343011529945,0.002636911996965376,0.0076911045308592435,0.0074517424691092566,0.001425075538146274,0.0005284963500480464,0.0005141027632630124,0.0013002309804715324,0.0012596616128881222,0.00018951115325086982,4.5587321305672805e-05,4.0625818726370884e-05,0.2686435367506366
13.55,0.012913918107922586,0.006979272262250114,0.017961800687182197,0.0179006508142445,0.005106185253946042,0.00249354932678825,0.00263508503795318,0.007586047017014695,0.007348292067091964,0.0014116558567681455,0.000523174740611151,0.0005108234501300855,0.001284220496317869,0.0012437924192078011,0.00018781205583016467,4.503684734656494e-05,4.029986409457022e-05,0.26654522418591936
13.600000000000001,0.01289646562507555,0.006887228547077577,0.017885109085415758,0.017816745713025463,0.005048856172803752,0.0024891350859908077,0.002633474055646376,0.007482363744441008,0.007246220482141141,0.0013981852462837568,0.0005181130994782562,0.0005077394508549654,0.0012683639768160438,0.0012280826420821291,0.00018610270112242184,4.451206819141477e-05,3.999221851743437e-05,0.2644679662083885
13.65,0.01287898171243515,0.006796333570668354,0.017808422582752097,0.01773289622659397,0.004991731687646353,0.002485072267029954,0.0026320627824493875,0.007380039609246011,0.007145512102604149,0.0013846696137717216,0.0005133019658578246,0.0005048423388579531,0.001252661566497893,0.0012125322222629284,0.00018438394548683275,4.401208083486118e-05,3.970212613007352e-05,0.2624114991490098
13.700000000000001,0.012861466652846293,0.006706578866386984,0.01773174550433257,0.017649107047176208,0.004934823874200195,0.002481342143026099,0.002630835522194264,0.00727905957291236,0.007046151395551041,0.0013711147539797147,0.0005087321200069783,0.0005021239349525011,0.0012371133387239382,0.0011971410335740531,0.00018265663130967723,4.3536004604834544e-05,3.942885269390077e-05,0.26037556304536214
13.75,0.012843920728968998,0.006617955926084748,0.01765508213921867,0.01756538281843713,0.004878144435713806,0.002477926559906383,0.0026297771365396106,0.007179408665783779,0.006948122910048138,0.0013575263470149987,0.0005043945797190908,0.0004995763025854621,0.0012217192984675489,0.0011819088856749734,0.00018092158648696106,4.308298088651471e-05,3.917168522409973e-05,0.2583599016000414
13.8,0.012826344223270177,0.0065304562026897795,0.01757843673999478,0.017481728135160576,0.004821704705978887,0.0024748079244646766,0.0026288730315506127,0.007081071990389554,0.006851411280269715,0.001343909956330364,0.0005002805967469286,0.0004971917430721491,0.001206479385027777,0.0011668355267494585,0.00017917962396445642,4.265217283203065e-05,3.89299316180045e-05,0.2563642621386979
13.850000000000001,0.012808737418015451,0.006444071112756405,0.017501813522386778,0.017398147542948203,0.004765515652584784,0.0024719691925312345,0.0026281091444633306,0.006984034724611835,0.00675600122845255,0.0013302710269901203,0.0004963816531696018,0.0004949627908325953,0.0011913934746715503,0.0011519206461203632,0.00017743154133089716,4.224276506195939e-05,3.870292027939664e-05,0.2543883955677609
13.9,0.012791100595261012,0.006358792038973629,0.01742521666489638,0.017314645537936955,0.004709587880391269,0.0024693938572569,0.0026274719306360736,0.006888282124700046,0.006661877567697782,0.0013166148842013111,0.0004926894577111313,0.0004928822086349866,0.001176461383206137,0.0011371638767916376,0.00017567812046157357,4.185396335753907e-05,3.848999972722622e-05,0.25243205633186927
