Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(3),J_total_As
76.9,9.27122181999951e-05,1.1131648528458257e-05,1.7356273063457264e-06,4.401398525264844e-07,6.893043589959159e-08,2.508809255466649e-10,1.3220641341057384e-07,3.7166985553944862e-09,0.0001854244363999902,2.2263297056916514e-05,2.6408391151589067e-06,3.4712546126914527e-06,4.1358261539754955e-07,2.644128268211477e-07,2.508809255466649e-09,1.1150095666183458e-08,0.00021449148153189745
76.95,9.240804194310617e-05,1.1092557053053253e-05,1.7294757263488844e-06,4.380014030168547e-07,6.85928901307977e-08,2.4931421247452717e-10,1.3173718743141942e-07,3.698966465355122e-09,0.00018481608388621235,2.2185114106106506e-05,2.6280084181011284e-06,3.4589514526977687e-06,4.115573407847862e-07,2.6347437486283885e-07,2.4931421247452716e-09,1.1096899396065366e-08,0.0002137767796202862
77.0,9.210499948093017e-05,1.1053623147376055e-05,1.7233492088738173e-06,4.3587456526275723e-07,6.825719279234741e-08,2.4775822133734184e-10,1.3126987600544323e-07,3.6813288983251733e-09,0.00018420999896186035,2.210724629475211e-05,2.6152473915765436e-06,3.4466984177476345e-06,4.0954315675408444e-07,2.6253975201088646e-07,2.4775822133734185e-09,1.104398669497552e-08,0.00021306479554360994
77.05000000000001,9.180308611869016e-05,1.1014846097976073e-05,1.7172476390464472e-06,4.337592696585848e-07,6.79233327034294e-08,2.4621287238476846e-10,1.3080447034318167e-07,3.6637852978994356e-09,0.0001836061722373803,2.2029692195952146e-05,2.6025556179515087e-06,3.4344952780928944e-06,4.0753999622057637e-07,2.6160894068636333e-07,2.4621287238476845e-09,1.0991355893698306e-08,0.00021235551775090135
77.10000000000001,9.150229718280921e-05,1.0976225194969698e-05,1.7111709025750038e-06,4.316554470547691e-07,6.759129875719435e-08,2.4467808650672575e-10,1.3034096169980327e-07,3.646335111255786e-09,0.00018300459436561842,2.1952450389939397e-05,2.5899326823286146e-06,3.4223418051500076e-06,4.0554779254316614e-07,2.6068192339960655e-07,2.4467808650672574e-09,1.0939005333767358e-08,0.00021164893474517806
77.15,9.120262802080727e-05,1.0937759732020827e-05,1.7051188857467955e-06,4.295630287545386e-07,6.72610799202236e-08,2.4315378522787853e-10,1.29879341374861e-07,3.6289777891301086e-09,0.00018240525604161455,2.1875519464041653e-05,2.5773781725272315e-06,3.410237771493591e-06,4.0356647952134157e-07,2.59758682749722e-07,2.431537852278785e-09,1.0886933367390325e-08,0.00021094503508316777
77.2,9.09040740011993e-05,1.0899449006321614e-05,1.6990914754250181e-06,4.274819465107071e-07,6.693266523200288e-08,2.4163989070218083e-10,1.2941960071204735e-07,3.6117127857913985e-09,0.0001818081480023986,2.1798898012643227e-05,2.5648916790642426e-06,3.3981829508500362e-06,4.015959913920173e-07,2.588392014240947e-07,2.4163989070218085e-09,1.0835138357374195e-08,0.0002102438073750366
77.25,9.060663051339352e-05,1.0861292318573276e-05,1.6930885590455734e-06,4.254121325224836e-07,6.660604380439989e-08,2.401363257074529e-10,1.289617310989494e-07,3.5945395590170125e-09,0.00018121326102678705,2.1722584637146552e-05,2.5524727951349017e-06,3.3861771180911468e-06,3.996362628263993e-07,2.579234621978988e-07,2.401363257074529e-09,1.0783618677051037e-08,0.0002095452402841181
77.30000000000001,9.031029296759029e-05,1.0823288972967015e-05,1.6871100246139062e-06,4.2335351943230687e-07,6.628120482114572e-08,2.3864301364002274e-10,1.2850572396680664e-07,3.5774575700684007e-09,0.00018062058593518057,2.164657794593403e-05,2.5401211165938412e-06,3.3742200492278125e-06,3.9768722892687434e-07,2.5701144793361327e-07,2.3864301364002272e-09,1.0732372710205203e-08,0.00020884932252664338
77.35000000000001,9.001505679468173e-05,1.0785438277165097e-05,1.68115576070187e-06,4.21306040322707e-07,6.595813753732074e-08,2.371598785094041e-10,1.2805157079027014e-07,3.560466283666704e-09,0.00018003011358936347,2.1570876554330194e-05,2.527836241936242e-06,3.36231152140374e-06,3.9574882522392444e-07,2.5610314158054027e-07,2.371598785094041e-09,1.0681398851000111e-08,0.0002081560428714742
