Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(4),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Np_relativistic
1.35,0.007270000252887301,0.026162749523158953,0.012584290448879265,0.015056852872363127,0.0560272839201378,0.03351260526160422,0.037503278151538394,0.02402662104064024,0.024880148618390326,0.10029655587649418,0.07105891141456576,0.07881483564772025,0.058337490289513086,0.06009737104173623,0.046505413054044195,0.04718584650174961,0.13584018991881555,0.14117013916144083,0.15272365530027765,0.13818420852323954,0.1423226866762138,0.1624668461070694,0.061998848878650294,0.12579664590235357,0.09121656081221437,0.04755331723548638,0.01723396008736492,6.679099561862801
1.4000000000000001,0.007269732254510209,0.02615226827666473,0.012584279906255243,0.015056831066858694,0.05590219203805513,0.0335115520087872,0.0375014438619295,0.02402661475212568,0.024880140885805233,0.09933109473458097,0.07101388564674244,0.07874026420570279,0.05833514793465383,0.06009452828377576,0.04650528765976841,0.047185705423814554,0.13063414158486625,0.1398218714123213,0.15062724317050502,0.13758738322524983,0.141605081141393,0.1592841383221002,0.057474822626987526,0.11324464794775871,0.07972691452855273,0.04095651796566459,0.014604021045125426,6.543585332416659
1.4500000000000002,0.007269454526166517,0.026141410838985076,0.012584268183886357,0.015056806808115896,0.05577286253041403,0.033510381875717324,0.03749940690397554,0.024026607252183238,0.02488013166468604,0.09834092344247408,0.07096417517833101,0.07865808712957191,0.058332377703297404,0.06009116825812697,0.04650512944600293,0.04718552750263952,0.12547453472443057,0.13837370324276105,0.14839509639174212,0.1369141176645546,0.14079862716633035,0.15601421031086124,0.05394606009921388,0.10159273328181227,0.06958250468636201,0.03522022097258765,0.012365883139854005,6.41694442173533
1.5,0.007269167069508088,0.026130177737209607,0.012584255197092081,0.015056779919955781,0.0556393279115635,0.033509086763842365,0.03749715339659425,0.024026598362853733,0.02488012073665364,0.09732704155868664,0.07090951017575763,0.07856789348609709,0.05832912265245495,0.06008722263792261,0.04650493163574557,0.04718530515700568,0.12037597323019919,0.13682577100602572,0.1460305485382114,0.13616039284312392,0.13989925978482504,0.1526676420073454,0.051267666253616714,0.09086582687619488,0.06071533436280928,0.030247597355047135,0.010491136111017563,6.298554989441186
1.55,0.007268869886244524,0.026118569516443868,0.012584240858333401,0.015056750220316278,0.055501621694326944,0.0335076583455704,0.037494669089113995,0.024026587887747083,0.024880107860774603,0.09629046497417632,0.07084962041317516,0.07846927568653844,0.05832532114537713,0.06008261757108849,0.04650468642412475,0.04718502966319371,0.11535220702235893,0.13517880211107147,0.14353787812581725,0.13532262706253073,0.13890349522796738,0.14925493483027055,0.049300978327735924,0.0810708728675821,0.053043643106481894,0.025951603596310394,0.008945844284843912,6.187723532626091
1.6,0.007268562978143151,0.026106586739760285,0.012584225077224353,0.015056717521282684,0.05535977837584737,0.033506088069698195,0.03749193937270908,0.024026575610913606,0.02488009277219099,0.0952322242802758,0.07078423601545014,0.07836183084950614,0.05832090675255456,0.06007727358259617,0.04650438488269756,0.04718469105028925,0.11041608634843876,0.13343410738951808,0.14092225763434424,0.13439772743931733,0.13780848294569284,0.14578644473936553,0.04791583949968564,0.07219910183663335,0.04647624266286507,0.02225394498987608,0.007693346301758604,6.083715814647555
1.6500000000000001,0.007268246347028991,0.026094229988147505,0.012584207760543942,0.01505668162911912,0.05521383342304769,0.03350436716697849,0.03748894929210548,0.02402656129569836,0.024880075180731195,0.09415336312824031,0.07071308819701654,0.07824516214110461,0.05831580817271056,0.06007110550216344,0.04650401686233113,0.04718427799427701,0.10557952434866749,0.13159356787780424,0.13818969372802567,0.13338313334877017,0.1366120466851507,0.14227232080311183,0.04699226097458363,0.06422837298148289,0.040916298773405656,0.019084185294593763,0.006696342379557053,5.985783120513472
1.7000000000000002,0.007267919994784741,0.02608149986045816,0.012584188812248426,0.015056642344300946,0.05506382325771503,0.033502486655822,0.03748568355754611,0.024026544683580457,0.024880054769504202,0.09305493658402315,0.07063590999449129,0.07811888008787873,0.058309949174712404,0.060064022418420786,0.04650357089544118,0.0471837777118065,0.10085346781842987,0.1296596163841423,0.13534695992004228,0.1322768512838311,0.13531271430049627,0.13872244961523614,0.04642153248557455,0.05712549859762161,0.03626454534369015,0.016378976604308315,0.005918401748372613,5.893183961032574
1.75,0.007267583923350745,0.02606839697335505,0.012584168133483963,0.015056599461548126,0.054909785241218284,0.03350043734812985,0.037482126557004815,0.024026525492999228,0.024880031193479722,0.0919380094818552,0.07055243699099148,0.07798260385825112,0.0583032485611925,0.06005592766038425,0.046503034098399475,0.04718317585455094,0.09624787602288913,0.12763521425746066,0.13240152296438462,0.1310774808435094,0.1339097362572119,0.13514640581025708,0.04610684857568217,0.05084847900383492,0.0324219446754368,0.014081387359483017,0.005325007410637437,5.805201489076855
1.8,0.00726723813472497,0.026054921961255764,0.01258414562259963,0.01505655276985955,0.054751757658868236,0.03349820985525204,0.0374782623686377,0.024026503418169216,0.02488000407805669,0.0908036547801587,0.07046240803014484,0.07783596250832615,0.05829562015453321,0.06004671880689256,0.04650239207495103,0.04718245640510862,0.09177170734822758,0.12552382381427793,0.1293614642712941,0.12978423178000298,0.13240309305588518,0.1315534088461827,0.04596352116654682,0.045348594954012375,0.02929182645109113,0.012140310349052592,0.004884237916579766,5.721156982442319
