Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(1),J_5s1/2(2),J_total_Zr_relativistic
3.75,0.04073065657362368,0.11011651492997267,0.07471016243069177,0.15327932063394417,0.049467600750680726,0.12036890244569172,0.23671150635137653,0.2624850998673585,0.39459438372356515,0.03266390195899407,0.01981209067225168,0.040298230453902496,0.004684971625159638,0.0034188622852983886,1.5433422047025114
3.8000000000000003,0.04070187715253386,0.10917460316569401,0.07463869649929683,0.15312049739224826,0.04749160051403343,0.11760134493203034,0.23099541773324223,0.25990952551171087,0.3906482105466313,0.031244913415549237,0.019784771589923724,0.04019227362520837,0.004547847580725997,0.0032807208667868775,1.5233323005256154
3.85,0.04067274502688415,0.1082293153455777,0.07456494482533152,0.15295664625275382,0.04562171927200809,0.1148524982482535,0.22532687632951992,0.25730195288447333,0.386654700944023,0.029853652073776844,0.019743935978336628,0.040052139286577214,0.004432015489230571,0.0031434815457805102,1.503406623502527
3.9000000000000004,0.0406432612842585,0.1072809117506084,0.07448888023069714,0.1527877105814118,0.04385470314770751,0.11212453864150008,0.21971026710949884,0.25466452753424623,0.3826171684619051,0.028493461893496306,0.019687930137801762,0.0398757598443221,0.004334842168093033,0.0030077027983765963,1.4835716655839233
3.95,0.0406134270241226,0.10632965082472877,0.07441047645122877,0.15261363587156684,0.04218725174184553,0.10941954106541096,0.21414974462373101,0.2519993961791463,0.37853892377940374,0.02716724544470288,0.019615536924172058,0.039661841593332324,0.004253955796553162,0.0028738846827416277,1.4638345120026863
4.0,0.040583243357738163,0.10537578906479235,0.07432970815573701,0.15243436978388447,0.04061603007679674,0.10673947781538813,0.20864923150433617,0.24930870100109406,0.37442326605156073,0.025877484343615056,0.019525921912452688,0.039409760132460295,0.004187223091594963,0.002742470198102253,1.4442026764895532
4.05,0.040552711408076314,0.10441958091343286,0.07424655096400101,0.1522498621838002,0.03913767990644881,0.10408621759992362,0.20321241788848615,0.24659457426956308,0.3702734747745444,0.02462626157371495,0.019418584193767227,0.0391194655383239,0.004132728270060661,0.002613847247043155,1.4246839567311866
4.1000000000000005,0.0405218323097303,0.10346127865489495,0.07416098146370807,0.1520600651764844,0.03774883038887065,0.10146152502448177,0.19784276170748674,0.24385913329840922,0.36609280217680495,0.023415285117662575,0.01929331156443373,0.03879139669801467,0.004088753678793199,0.0024883510563813082,1.4052863083161566
4.15,0.04049060720882737,0.10250113231386809,0.07407297722633634,0.15186493313931995,0.0364461081221515,0.09886706046390703,0.1925434897834156,0.24110447573699642,0.36188446613621944,0.022245912407495825,0.019150139856810536,0.0384264041982658,0.004053761979777136,0.002366266933086316,1.3860177355064776
4.2,0.040459037262939944,0.10153938955736073,0.07398251682197839,0.1516644227518933,0.03522614654683238,0.09630438029901582,0.1873175996752369,0.2383326751946578,0.35765164361999363,0.021119175174193983,0.01898931615735345,0.03802568117410859,0.004026379781581054,0.0022478332524814536,1.3668861972696276
