volume,volume_name,E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_au,Q_absolute_au
3,Volume 3,662.0,148.7819977356929,513.2180022643071,30.0,538.3159114626693,218.0176851381393,58.49086627554457,58.49086627554457
3,Volume 3,662.0,186.53864731029543,475.46135268970454,30.0,509.06990128857893,222.7290765736754,59.754861745696815,59.754861745696815
3,Volume 3,662.0,514.6651105108037,147.33488948919626,30.0,336.15485173740774,55.89116521321722,14.994759110479,14.994759110479
3,Volume 3,662.0,240.2804774023868,421.7195225976132,30.0,469.54113257358955,224.18534001733715,60.145555327693216,60.145555327693216
3,Volume 3,662.0,268.30958585216285,393.69041414783715,30.0,450.0950246192501,221.91544134605215,59.536575649934306,59.536575649934306
3,Volume 3,662.0,215.2563470576183,446.7436529423817,30.0,487.6090354479353,224.36975727453654,60.19503170445099,60.19503170445099
3,Volume 3,662.0,630.5758305461623,31.42416945383775,30.0,335.91741664511727,-120.15603482237678,-32.236057182894356,32.236057182894356
3,Volume 3,662.0,385.75805448729767,276.24194551270233,30.0,380.44222772139,180.81980607726365,48.51123472177874,48.51123472177874
3,Volume 3,662.0,432.9785576955315,229.0214423044685,30.0,359.5185416110615,145.75928657722062,39.10502459561961,39.10502459561961
2,Volume 2,662.0,272.13551845396677,389.86448154603323,30.0,447.5112914117291,221.41915522833486,59.403429547922364,59.403429547922364
2,Volume 2,662.0,456.24472646774996,205.75527353225004,30.0,351.0911581963033,123.92349701054661,33.246810631206536,33.246810631206536
3,Volume 3,662.0,488.460122808782,173.539877191218,30.0,341.7020646085755,88.67001374585922,23.788831228868325,23.788831228868325
3,Volume 3,662.0,591.0318855324814,70.9681144675186,30.0,331.4741425019233,-56.33274119015885,-15.113227304476293,15.113227304476293
2,Volume 2,662.0,245.3712225248009,416.62877747519906,30.0,465.94427356757774,223.9436734691069,60.08071982709219,60.08071982709219
2,Volume 2,662.0,341.33564029730707,320.66435970269293,30.0,404.19370956409114,203.30155674888314,54.54275033639799,54.54275033639799
3,Volume 3,662.0,472.09253970755236,189.90746029244764,30.0,346.1296503490333,107.30038512048108,28.787079696859745,28.787079696859745
3,Volume 3,662.0,415.85670714261823,246.14329285738177,30.0,366.5408121815097,159.88162083233894,42.89383449831757,42.89383449831757
2,Volume 2,662.0,426.58523232702856,235.41476767297144,30.0,362.0618875121704,151.22426020222903,40.5711948345028,40.5711948345028
3,Volume 3,662.0,283.2352805092129,378.7647194907871,30.0,440.1177759979593,219.70697063039242,58.944076168888714,58.944076168888714
3,Volume 3,662.0,329.3775710015078,332.6224289984922,30.0,411.1732638722034,207.79156200954802,55.74735122513616,55.74735122513616
2,Volume 2,662.0,293.35206327842116,368.64793672157884,30.0,433.5167633728429,217.77866873603878,58.426741769296065,58.426741769296065
3,Volume 3,662.0,189.14345882534516,472.8565411746548,30.0,507.09370204729515,222.95224877726557,59.81473549175709,59.81473549175709
3,Volume 3,662.0,270.97357199370254,391.02642800629746,30.0,448.2941005161933,221.57486417517237,59.44520391673839,59.44520391673839
3,Volume 3,662.0,534.712197804983,127.28780219501698,30.0,333.24270290113196,28.563918490517356,7.66326977408189,7.66326977408189
3,Volume 3,662.0,391.3665809016249,270.6334190983751,30.0,377.7088526730214,177.28387352216131,47.562597192172866,47.562597192172866
3,Volume 3,662.0,590.6584797809268,71.34152021907323,30.0,331.45438719078413,-55.74066681889557,-14.954382654544363,14.954382654544363
3,Volume 3,662.0,195.532301441239,466.46769855876096,30.0,502.27093877546594,223.4390591419477,59.9453393917303,59.9453393917303
3,Volume 3,662.0,579.6652835816973,82.33471641830272,30.0,331.06102860880947,-38.44506342378383,-10.314232362620347,10.314232362620347
2,Volume 2,662.0,383.1015266286018,278.8984733713982,30.0,381.75884197562385,182.43772120397134,48.945297019346384,48.945297019346384
3,Volume 3,662.0,650.9026905621215,11.097309437878494,30.0,339.9732477225169,-153.30670813040567,-41.12988429685346,41.12988429685346
2,Volume 2,662.0,377.8985214651993,284.1014785348007,30.0,384.3776576757746,185.5018423866615,49.76735465304356,49.76735465304356
2,Volume 2,662.0,390.2670298948497,271.7329701051503,30.0,378.23973342103,177.9900253884399,47.75204711846924,47.75204711846924
2,Volume 2,662.0,186.45591087542294,475.54408912457706,30.0,509.1327638379227,222.7217574474072,59.75289813418734,59.75289813418734
2,Volume 2,662.0,577.2157568563532,84.78424314364679,30.0,331.0230568656139,-34.63016730758436,-9.29075310475035,9.29075310475035
3,Volume 3,662.0,196.76924140713487,465.23075859286513,30.0,501.3412532572687,223.52318067602576,59.967907934266364,59.967907934266364
3,Volume 3,662.0,138.31601396986608,523.683986030134,30.0,546.6074816114559,216.26606177450438,58.02093206877334,58.02093206877334
