Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(5),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Ho_relativistic
1.0,0.011533164238447696,0.04076335918100145,0.02015321094761649,0.021851379924337097,0.08799915864935352,0.053823005272529964,0.05678219744312382,0.036974427785108906,0.03764141672358702,0.15944928559465754,0.1216161877192034,0.12849586091407425,0.101141810891608,0.10303949720221076,0.11278971519311591,0.11520626338497408,0.15634628579854631,0.24075430404246498,0.2365991271199857,0.037979545897754124,6.285069322634454
1.05,0.011532448716651107,0.0407344265291359,0.02015317006844855,0.021851322477341117,0.08763614980457904,0.05381846639149351,0.05677628807543281,0.03697439615223025,0.03764138148719844,0.15629235440359326,0.12135443472105693,0.12815412608981713,0.10111298844346908,0.10300686231499905,0.11235532019945485,0.1146636488863765,0.13996308359318999,0.2273089701113556,0.22072087908366742,0.03469019708714728,6.14066703258293
1.1,0.011531698358642341,0.04070410694197443,0.020153122951733677,0.021851256266459243,0.08725713532345959,0.05381324985798368,0.056769499042623475,0.03697435619899686,0.03764133698783895,0.15305348273731775,0.12105810627941935,0.12776813506673512,0.10107746830513811,0.10296668976862207,0.11187977620996112,0.11407954346196848,0.12498641253799077,0.2137306317610994,0.20497770963936604,0.031310332274050875,5.9981947912329945
1.1500000000000001,0.01153091317402553,0.04067240388277293,0.02015306899756889,0.02185118044996498,0.08686234967390642,0.05380729420075107,0.05676175118676849,0.03697430628644886,0.03764128140273978,0.1497412128818674,0.1207250815913968,0.12733537747542473,0.10103421367530245,0.10291782746662963,0.11136339757862734,0.11345473940279698,0.1114190858081927,0.2001542756676941,0.1895244355985407,0.027966683789816767,5.858798533727752
1.2000000000000002,0.011530093172849478,0.040639320970224095,0.0201530075796055,0.02185109414927512,0.08645203625804017,0.05380053592443212,0.05675296286450194,0.03697424455358211,0.037641212662731356,0.14636412430138016,0.12035333461215796,0.12685349749708816,0.10098211597903509,0.10285904735939692,0.11080667171176799,0.1127901227894189,0.09923995593823381,0.18670490534930312,0.17449597957519483,0.024753282996337233,5.723412977030308
1.25,0.011529238365607384,0.04060486197769692,0.02015293804524491,0.021850996449257455,0.08602644715892431,0.05379290961505055,0.056743050096901136,0.03697416890057638,0.03764112843375882,0.1429307980941733,0.11994094988833941,0.12632031409010064,0.10092000101859133,0.10278905296020048,0.11021023966811411,0.11208666803950008,0.08840754710295326,0.17349545455022378,0.16000631478302255,0.021735094756060672,5.592767727032288
1.3,0.011528348763236556,0.040569030832444376,0.020152859715842464,0.021850886398551036,0.08558584287936803,0.05378434804843075,0.05673192672322734,0.03697407697192036,0.037641026098307974,0.13944978235652108,0.11948613729074171,0.12573383935335228,0.10084663627059048,0.10270648811087812,0.109574879803045,0.11134543324012727,0.07886368492758129,0.16062541736281516,0.14614833582380451,0.018952992809966936,5.4674012264137035
1.35,0.011527424377118109,0.04053183161477955,0.020152771886919302,0.021850763009898896,0.08513049207319413,0.053774782301315265,0.056719504558201884,0.0369739661395028,0.03764090273682035,0.13592955864040057,0.11898724554587799,0.12509229490167206,0.10076073921332089,0.10260994685055963,0.1089014935605195,0.11056755551751563,0.07053701142103308,0.1481801166752595,0.13299446604287476,0.016428827762372224,5.347678896533401
1.4000000000000001,0.011526465219076652,0.040493268557220616,0.020152673828382126,0.021850625260493035,0.08466067126937706,0.05376414186497471,0.05670569355248841,0.0369738334857397,0.03764075510917634,0.13237850967748338,0.11844277448104541,0.1243941261550545,0.10066098655060149,0.10249798422263812,0.10819109274706663,0.10975424604702905,0.06334629704209013,0.13623051877069686,0.12059782011623263,0.014170008083362384,5.2338132207782895
1.4500000000000002,0.011525471301379962,0.04045334604360476,0.020152564784750783,0.021850472092331538,0.08417666458946435,0.0537523547610946,0.056690401956047534,0.036973675786807055,0.0376405796363249,0.1288048885266812,0.11785138591305996,0.12363801446988346,0.10054602418512958,0.1023691278415381,0.107444787827064,0.10890678452745511,0.057203485241405484,0.12483349690009517,0.10899375754300049,0.012173379821861445,5.125884354366431
