Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_total_Hg_relativistic
0.5,0.009129736109361249,0.03253998398364576,0.01582303999469867,0.017880807134248472,0.07124096706032804,0.04189617078426794,0.04533300891758897,0.02921527718705392,0.029973689464436917,0.14296931191780735,0.09242853509007612,0.10017905119840695,0.07533936187677373,0.07720449974544902,0.06493104779008035,0.06581999626317685,0.2934938464557286,0.22546623724335402,0.24904461260447988,0.2605201066115521,0.2755448022972312,0.24005053222439238,8.652609829736337
0.55,0.009129546423833717,0.0325324500544757,0.015823038247715453,0.017880804264129833,0.0711475822449976,0.041895989091916996,0.04533273976357153,0.02921527697151445,0.02997368921283809,0.14210530201980828,0.09241855312414686,0.10016418818223394,0.07533921621147166,0.07720432723936403,0.06493103729186497,0.06581998415252435,0.28452727104094044,0.2246880978370653,0.24778060151890235,0.2592171053460857,0.2735578634882626,0.1764065710241714,8.481629907863953
0.6000000000000001,0.00912933867953417,0.032524200829279405,0.015823035960610854,0.01788080049861629,0.07104545190954464,0.041895750925550757,0.04533238701523123,0.029215276633533342,0.029973688818333805,0.14116533124672415,0.09240552563104541,0.10014480911761878,0.07533898928344797,0.07720405860487702,0.06493101802787297,0.0658199619491471,0.27504345614735265,0.22370180104654244,0.24619230728571148,0.25748459124550194,0.2709874357086572,0.12914671245015824,8.335254756522952
0.65,0.009129112878239453,0.03251523691297251,0.015823033031658728,0.01788079566845858,0.07093461622116498,0.04189544571296629,0.04533193505513512,0.02921527612292075,0.029973688222361492,0.14015107291117898,0.09238891015555277,0.10012011870290806,0.07533864887399412,0.07720365580869507,0.06493098451219534,0.06581992335575787,0.26511974042656855,0.22248308264599215,0.2442479418372346,0.25527852333202533,0.267801210503075,0.09524727264205071,8.20704462657142
0.7000000000000001,0.009128869021880781,0.03250555896271508,0.01582302935037554,0.017880789589864134,0.07081511872279535,0.04189506201039584,0.045331366989837335,0.029215275375507988,0.029973687350056913,0.13906432375788155,0.092368129258861,0.10008927359702478,0.07533815441036923,0.07720307100097067,0.06493092879582169,0.06581985926244109,0.2548346245058103,0.22100989251131192,0.24192081571083807,0.2525698365240398,0.2639896950461728,0.07178057748682351,8.090975587225289
0.75,0.009128607112543695,0.03249516768782252,0.015823024797542398,0.017880782064540402,0.07068700630418623,0.04189458751427508,0.045330664670045206,0.0292152743108148,0.029973686107537884,0.1379069987268575,0.09234257335661333,0.10005138727335022,0.07533745583555386,0.0772022452068505,0.0649308397489607,0.06581975693603245,0.2442667657291709,0.2192629748126604,0.23919014146418424,0.2493449701482144,0.25956416089528983,0.05615293206510684,7.981907626520464
0.8,0.009128327152468026,0.032484063849669606,0.015823019245228803,0.017880772879741633,0.0705503291707944,0.04189400907388499,0.045329808712264205,0.029215272829557902,0.029973684379004564,0.13668112540648214,0.09231160370415255,0.10000553510036793,0.07533649248155438,0.0772011070289588,0.06493070224734565,0.06581959910521752,0.23349401739144343,0.21722635233280607,0.2360416068775183,0.24560512700614331,0.2545533172090843,0.04620360926128855,7.875761034753129
0.8500000000000001,0.009128029144047855,0.03247224826158738,0.015823012556818155,0.017880761808319014,0.07040514081052561,0.04189331270485214,0.04532877852189126,0.02921527081100708,0.02997368202366385,0.13538883819937644,0.09227455551242014,0.09995075961624098,0.07533519196333323,0.07719957138151572,0.06493049627322883,0.0658193629548208,0.22259252806336122,0.21488770588781034,0.2324677141870324,0.2413646494570697,0.24899943824202003,0.040214693055008556,7.769506665012328
0.9,0.009127713089831464,0.03245972178875309,0.015823004587034954,0.017880748608774207,0.07025149795835968,0.041892483603490925,0.0453275523177243,0.02921526811019542,0.029973678872485893,0.13403237222522255,0.09223074117737066,0.0998860759635881,0.07533346911020404,0.07719753827639188,0.06493019594603087,0.06581901904753792,0.21163591430501388,0.21223864410579796,0.2284678917877109,0.23664888781608062,0.24295449035249395,0.03687151512262307,7.661054363848826
0.9500000000000001,0.009127378992521296,0.03244648534807319,0.01582299518197374,0.017880733025316235,0.07008946055889247,0.0418915061619706,0.04532610715785379,0.029215264554990645,0.029973674724801138,0.132614056985417,0.09217945360530404,0.0998104774500875,0.07533122495106652,0.07719489168071386,0.06492976850137111,0.06581853019548743,0.20069451757025755,0.20927486289463332,0.22404839354612097,0.23149187378968086,0.23647660670822077,0.03520129278688558,7.549098209326865
1.0,0.009127026854973899,0.032432539908059374,0.015822984179129737,0.017880714787921727,0.06991909172683101,0.041890363984288706,0.04532441896690034,0.029215259943034838,0.02997366934474675,0.13113630981520277,0.09211996961617773,0.09972294120017068,0.07532834576917376,0.07719149846467838,0.06492917324028917,0.06581785030723056,0.18983475351147036,0.2059961976386609,0.21922200779171025,0.22593402961705428,0.22962709049003754,0.034507035435408416,7.432954809340624
