E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,646.9847289777161,15.015271022283855,30.0,339.1004865239239,-39.41731503790959,39.41731503790959
662.0,544.1836978801919,117.81630211980814,30.0,332.2789078192094,4.03663623788701,4.03663623788701
662.0,409.93159715301766,252.06840284698234,30.0,369.1247974123206,44.10334329875194,44.10334329875194
662.0,356.680119888055,305.319880111945,30.0,395.5868963258155,52.74589407193301,52.74589407193301
662.0,352.7520618602115,309.2479381397885,30.0,397.7515334633718,53.233571481489186,53.233571481489186
662.0,386.8965544186066,275.1034455813934,30.0,379.8822603841051,48.322217522901376,48.322217522901376
662.0,236.338018604199,425.66198139580104,30.0,472.3455506059699,60.182568059684655,60.182568059684655
662.0,468.80878307557253,193.19121692442747,30.0,347.104101321223,29.742165597551566,29.742165597551566
662.0,529.916900958104,132.08309904189605,30.0,333.8320811490141,9.461025825479256,9.461025825479256
662.0,532.0904926684716,129.9095073315284,30.0,333.5565173787896,8.649443606009532,8.649443606009532
662.0,576.4020716848125,85.59792831518746,30.0,331.01445319299336,-8.95168882629987,8.95168882629987
662.0,248.7614137756161,413.2385862243839,30.0,463.56446923578864,60.0266529426247,60.0266529426247
662.0,189.71731459666879,472.28268540333124,30.0,506.6590973724488,59.827415663329234,59.827415663329234
662.0,295.0124223391052,366.9875776608948,30.0,432.4463937312686,58.33251122302635,58.33251122302635
662.0,237.40781491074887,424.59218508925113,30.0,471.58295496090943,60.173647628220024,60.173647628220024
662.0,579.277898144858,82.722101855142,30.0,331.05381726551525,-10.15210106272461,10.15210106272461
662.0,276.12775786042124,385.87224213957876,30.0,444.83433106357654,59.250892179752846,59.250892179752846
662.0,515.6960937011636,146.3039062988364,30.0,335.9765258482894,14.629884950488716,14.629884950488716
662.0,473.123314853024,188.876685146976,30.0,345.82963276968434,28.48395908710151,28.48395908710151
662.0,199.55385125646234,462.44614874353766,30.0,499.25321696125957,60.01542653288716,60.01542653288716
662.0,192.49203682203955,469.50796317796045,30.0,504.56161199365386,59.886099081854205,59.886099081854205
662.0,295.32190113876874,366.67809886123126,30.0,432.2472967639904,58.31465094983803,58.31465094983803
662.0,476.5895738655322,185.4104261344678,30.0,344.84143030030594,27.453054092683665,27.453054092683665
662.0,571.807778011183,90.19222198881698,30.0,331.0034034854665,-7.046177657261275,7.046177657261275
662.0,249.0211337996152,412.9788662003848,30.0,463.3826730397697,60.02214639202197,60.02214639202197
662.0,494.6019760337824,167.39802396621758,30.0,340.22899180249095,21.813057547284885,21.813057547284885
662.0,260.304347709147,401.695652290853,30.0,455.55767800265204,59.77496636529634,59.77496636529634
662.0,537.7313558223833,124.2686441776167,30.0,332.9065270696389,6.517930933067083,6.517930933067083
662.0,252.92555633347385,409.0744436665261,30.0,460.6586956857975,59.948063953338,59.948063953338
