Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(3),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_U_relativistic
0.5,0.007402948680522632,0.026711829204860087,0.01280728548799287,0.015245455307379915,0.05840149899735908,0.034079826115398684,0.03802811296364212,0.024365706328788244,0.02521174929232487,0.11409256605549718,0.07270544371639008,0.0806299079538489,0.059395342839263274,0.061160983340127074,0.04749205369247945,0.04817836682248796,0.21931622664050315,0.15510157477969203,0.17300065037914175,0.1451215336902199,0.14999312438348938,0.20790761654955395,0.3746023844458095,0.3661123305265832,0.41036587497965993,0.4585333753992423,0.08950639726305183,10.017121585473427
0.55,0.00740284137050696,0.026707611119872923,0.012807284814559207,0.015245454002406572,0.058349993285809816,0.03407976072970695,0.03802800019237252,0.02436570626984823,0.02521174922007416,0.11365397730708833,0.07270240497301926,0.08062482358631518,0.05939531788660579,0.06116095293255967,0.04749205345546581,0.048178366554593496,0.215784350454615,0.15497247059534813,0.17278045689560018,0.14510947565049928,0.14997795054606017,0.2069559399185808,0.3455592474552282,0.35808730355571483,0.39586572528676855,0.4103235319292412,0.07213568086248622,9.789820213176267
0.6000000000000001,0.0074027238431253846,0.026702992165065047,0.012807283938834527,0.015245452290199194,0.0582936372431106,0.03407967498791202,0.038027852338196326,0.024365706177388046,0.02521174910673784,0.11317565060063957,0.07269843048043052,0.0806181785630534,0.0593952788805346,0.061160905411339284,0.047492053014108596,0.048178366055834414,0.21198497902612443,0.1548056072310639,0.17249695160535575,0.1450910519740555,0.14995481329406934,0.20577165109662277,0.3165590155077398,0.34851312728869305,0.3791346801922537,0.36482890497221104,0.06560356903360857,9.573241902443126
0.65,0.007402596099096607,0.026697972572735294,0.012807282823191837,0.015245450093722622,0.058232445795035066,0.034079565063112396,0.03802766281812598,0.024365706037638737,0.025211748935443132,0.11265812981602992,0.07269334934123424,0.08060969031209189,0.059395220150583065,0.06116083388009896,0.04749205223392713,0.04817836517438255,0.20793541945717736,0.15459502889764845,0.1721406603335414,0.14506399042601298,0.1499209026586662,0.204354016215803,0.2880629612283739,0.3374250988353902,0.3604252614568248,0.32283168459843153,0.06396515843723953,9.35823846413641
0.7000000000000001,0.00740245813920178,0.026692552595288008,0.012807281426754606,0.015245447329300858,0.05816643513607327,0.034079426807078636,0.038027424500947496,0.024365705832979583,0.025211748684599505,0.1121020016613982,0.07268697809522569,0.08059905637074066,0.059395134498905926,0.06116072959001949,0.04749205091464595,0.04817836368421539,0.20365387774816582,0.15433465766806193,0.17170209660234645,0.14502556151056575,0.14987286045809628,0.20270699144954074,0.26047826436884924,0.32491320058099726,0.3400690547454102,0.28463875104705966,0.06375185663689414,9.140466880046338
0.75,0.007402309964284501,0.026686732505209483,0.01280727970540234,0.015245443906631502,0.058095622722193825,0.03407925575308775,0.038027129713202254,0.02436570554128775,0.02521174832710318,0.11150789459176744,0.07267912127045097,0.08058595549740803,0.05939501296810181,0.06116058166050329,0.04749204876746837,0.04817836125954561,0.199159327245735,0.1540183737636604,0.171171916274286,0.144972566517967,0.1498067732421992,0.2008375370223291,0.234151120346976,0.31111549854960824,0.3184510277150147,0.25025493032729706,0.06319427070618974,8.918873990239023
0.8,0.007402151575250799,0.02668051259504254,0.012807277611776614,0.01524543972880132,0.05802002726304934,0.034079047118973534,0.03802677024561954,0.024365705135241205,0.02521174782948478,0.11087647765487942,0.07266957196923837,0.08057004884973579,0.059394844600505245,0.06116037679035021,0.04749204538741268,0.048178357443724965,0.19447137385227345,0.15364009566586354,0.1705410680804614,0.14490133904165958,0.1497181827270216,0.19875445117356386,0.20936286605900137,0.2962093216654777,0.29598364863384347,0.21951126621480085,0.061579855097240115,8.69440820921051
0.8500000000000001,0.007401982973069122,0.026673893177359232,0.012807275095287533,0.015245434692302951,0.057939668713630425,0.03407879581039049,0.03802633735999349,0.024365704581576057,0.025211747151001634,0.11020845926725023,0.07265811248721563,0.08055098122420996,0.0593946161909988,0.06116009896203857,0.047492040220268227,0.04817835161213854,0.18961011932852853,0.15319385895262097,0.16980093756551587,0.14480776048686422,0.14960211402631104,0.1964676305391516,0.18632891994776082,0.2804011466313835,0.2730830401115233,0.19215072464094232,0.05879162028195315,8.469063385498059
0.9,0.007401804158770324,0.026666874584731697,0.012807272102120633,0.015245428687052759,0.057854568265373565,0.03407849642428855,0.038025821796497744,0.024365703840299558,0.025211746242676417,0.10950458592362454,0.07264451496323103,0.08052838235218047,0.05939431203545526,0.06115972914178256,0.04749203252378234,0.04817834292866945,0.1845960240071802,0.15267389280739188,0.16894348218764252,0.14468728953570706,0.14945312124178772,0.19398763350139794,0.1652002146790692,0.26391604970617455,0.2501486767387534,0.16788132967138286,0.05500731828894752,8.24523036902127
0.9500000000000001,0.007401615133447652,0.026659457169701146,0.01280726857524423,0.015245421596409781,0.057764748336728795,0.034078143252595935,0.03802521378143067,0.024365702863860157,0.025211745046283762,0.10876564084316276,0.07262854205800336,0.08050186824702353,0.059393913676962395,0.06115924497808311,0.04749202132275485,0.0481783302953904,0.17944977020493,0.15207469321307326,0.1679613555582063,0.1445350050026907,0.14926534928330654,0.19132543828890847,0.14606672036203477,0.2469874597680956,0.22754744017153036,0.14640696079923718,0.05051860280276514,8.025289088843676
