event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,energy_transfer_E0_minus_Eprime_keV
1899,3,3,22,2013,662.0,582.9339565428312,79.0660434571688
1900,3,3,22,2013,662.0,508.4393802864818,153.56061971351818
1908,3,3,22,2013,662.0,289.09790363227245,372.90209636772755
1909,3,3,22,2013,662.0,589.5648121316798,72.43518786832021
1910,3,3,22,2013,662.0,209.0050904456028,452.99490955439717
1910,4,3,22,2013,662.0,202.9776419202374,459.0223580797626
1910,5,3,22,2013,662.0,127.52277551366528,534.4772244863348
1912,3,3,22,2013,662.0,248.22824539013124,413.77175460986876
1914,3,3,22,2013,662.0,552.307141865007,109.692858134993
1945,3,3,22,2013,662.0,184.48850843358898,477.511491566411
1955,3,3,22,2013,662.0,252.16281112287803,409.837188877122
1958,2,2,22,2013,662.0,389.3382281026919,272.6617718973081
1958,5,2,22,2013,662.0,245.4741860885797,416.5258139114203
1959,3,3,22,2013,662.0,618.1200329226602,43.87996707733976
1968,3,3,22,2013,662.0,315.0584258642116,346.9415741357884
1968,4,3,22,2013,662.0,200.61668725426108,461.3833127457389
1981,4,2,22,2013,662.0,532.9419553249812,129.05804467501878
1991,3,3,22,2013,662.0,364.4887182906805,297.5112817093195
2008,2,2,22,2013,662.0,391.78270405536966,270.21729594463034
2031,3,3,22,2013,662.0,631.4987732912602,30.50122670873975
2032,2,2,22,2013,662.0,614.6718870387313,47.328112961268744
2052,3,3,22,2013,662.0,208.450905223089,453.54909477691103
2060,3,3,22,2013,662.0,260.2299828275554,401.7700171724446
2064,4,2,22,2013,662.0,425.7560108053038,236.2439891946962
2079,3,3,22,2013,662.0,402.2404021079036,259.7595978920964
2088,3,3,22,2013,662.0,490.92049283247337,171.07950716752663
2088,4,3,22,2013,662.0,463.4295002501314,198.5704997498686
2088,5,3,22,2013,662.0,244.1793348305976,417.8206651694024
2097,2,2,22,2013,662.0,498.69526188087156,163.30473811912844
2100,3,3,22,2013,662.0,227.046644292279,434.953355707721
2102,4,2,22,2013,662.0,641.0233285169813,20.976671483018663
2119,2,2,22,2013,662.0,390.37624286648315,271.62375713351685
2151,2,2,22,2013,662.0,478.5876834718656,183.4123165281344
2169,3,3,22,2013,662.0,230.04601424687442,431.9539857531256
2169,4,3,22,2013,662.0,191.79822924953365,470.2017707504664
2171,3,3,22,2013,662.0,251.2530487306167,410.7469512693833
2176,3,3,22,2013,662.0,501.57759143948186,160.42240856051814
2178,3,3,22,2013,662.0,627.1527462762397,34.84725372376033
2182,3,3,22,2013,662.0,607.6421947468414,54.35780525315863
2198,3,3,22,2013,662.0,377.5523299336383,284.4476700663617
2202,3,3,22,2013,662.0,414.3237163227016,247.6762836772984
2203,3,3,22,2013,662.0,192.6892442549293,469.3107557450707
2205,3,3,22,2013,662.0,473.6792074465906,188.32079255340938
2213,3,3,22,2013,662.0,461.72301452421556,200.27698547578444
2214,2,2,22,2013,662.0,197.557633248521,464.44236675147897
2217,3,3,22,2013,662.0,341.93627015904826,320.06372984095174
2220,3,3,22,2013,662.0,390.3073710849519,271.6926289150481
2223,3,3,22,2013,662.0,230.92076319829067,431.0792368017093
2225,3,3,22,2013,662.0,624.6842890673576,37.315710932642446
2228,3,3,22,2013,662.0,594.2323854419328,67.76761455806718
2228,4,3,22,2013,662.0,297.51550023969907,364.48449976030093
2229,2,2,22,2013,662.0,523.53695030357,138.46304969642995
2230,2,2,22,2013,662.0,241.63072012633287,420.3692798736671
2250,3,3,22,2013,662.0,213.45532427779577,448.54467572220426
2256,3,3,22,2013,662.0,463.01006730613915,198.98993269386085
2264,3,3,22,2013,662.0,622.7016353867482,39.298364613251806
2267,3,3,22,2013,662.0,388.64203490591746,273.35796509408254
2272,3,3,22,2013,662.0,487.7425038523038,174.2574961476962
2286,4,2,22,2013,662.0,228.918854473549,433.081145526451
2313,3,3,22,2013,662.0,363.25162935927693,298.74837064072307
2324,2,2,22,2013,662.0,317.57310685785285,344.42689314214715
2361,3,3,22,2013,662.0,215.73121373003724,446.2687862699628
2368,3,3,22,2013,662.0,554.9646546346626,107.03534536533743
2379,4,2,22,2013,662.0,372.26725935394467,289.73274064605533
2384,4,2,22,2013,662.0,204.75696913666047,457.2430308633395
2416,3,3,22,2013,662.0,633.2653039024202,28.734696097579786
2470,3,3,22,2013,662.0,378.4376258446728,283.5623741553272
