Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_5d3/2(1),J_6s1/2(2),J_total_La_relativistic
28.05,0.0076329874105748804,0.001216004383924316,0.004399618365871757,0.003844293560289245,0.00026510198543812244,0.0011843721844440962,0.0010898879830985016,0.0003252869117840907,0.0002951932177473875,6.541120272275034e-05,0.00027080373590136596,0.0002511288613485708,7.474818946803524e-05,6.780902382226156e-05,1.2065784344508735e-05,4.171495265846831e-05,3.799774321369312e-05,4.918481786076754e-06,1.0421303348771827e-06,0.0548545492004428
28.1,0.007618254697344917,0.0012159254877296966,0.004374799565194467,0.0038206533425759214,0.0002642914398045684,0.0011783690553397066,0.001083633757625057,0.0003216885571105559,0.00029186146169326584,6.509611242600319e-05,0.0002694908515577434,0.00024972845354523555,7.39169979389653e-05,6.703935559745036e-05,1.200224070137943e-05,4.1514800135955454e-05,3.778725871298681e-05,4.863666283990209e-06,1.0365512575031592e-06,0.05458946364304705
28.150000000000002,0.007603535452460777,0.0012158547585760866,0.00435011398610622,0.003797153008446365,0.0002635046790971326,0.0011723857259610922,0.0010774069003637672,0.00031813267541102317,0.00028856972432817987,6.478941676944727e-05,0.0002681811371686585,0.00024833329402292693,7.309563503791722e-05,6.62789565464182e-05,1.1940360009733734e-05,4.131508740105955e-05,3.7577531665872775e-05,4.8094352104425464e-06,1.0311624895349485e-06,0.054326001232329
28.200000000000003,0.007588829750469844,0.0012157916987540556,0.004325561073962965,0.003773791872340281,0.0002627411883548626,0.0011664223183148474,0.0010712074507376616,0.0003146187390216919,0.0002853175004084173,6.449094491254499e-05,0.0002668746426867582,0.00024694341154875006,7.228397930598111e-05,6.552771008385818e-05,1.1880108796067214e-05,4.1115822699390636e-05,3.736856664936241e-05,4.755804924777664e-06,1.0259440144075783e-06,0.05406415013222483
28.25,0.007574137665411934,0.0012157358198836142,0.004301140273954789,0.0037505692497377062,0.0002620004606670065,0.0011604789505776252,0.0010650354447632791,0.00031114622708157543,0.0002821042913080971,6.420052864485569e-05,0.0002655714169169829,0.00024555883380926273,7.148191081938022e-05,6.478550112619997e-05,1.1821454104070706e-05,4.091701432636458e-05,3.716036849101348e-05,4.702801986848396e-06,1.020869244926234e-06,0.053803898602865836
28.3,0.007559459270820194,0.001215686642794876,0.004276851031149202,0.0037274844571973426,0.000261281997077363,0.0011545557371490612,0.0010588909151104911,0.0003077146254431289,0.00027892960493074756,6.391800235530088e-05,0.00026427150753009147,0.0002441795874273687,7.068931117028697e-05,6.405221607240114e-05,1.1764363483475148e-05,4.071867064177928e-05,3.6952942303414376e-05,4.650453601751077e-06,1.0159115226211544e-06,0.0535452350032767
28.35,0.007544794639722032,0.0012156436974097768,0.0042526927905337875,0.003704536812394169,0.00026058530648926607,0.0011486527887043447,0.0010527738911616767,0.0003043234265840417,0.00027579295562205986,6.364320300160113e-05,0.00026297496107616344,0.00024280569797906833,6.990606344785018e-05,6.332774278495655e-05,1.1708804980022912e-05,4.052080001650149e-05,3.6746293392416295e-05,4.598778151982488e-06,1.0110503482245216e-06,0.05328814779299442
28.400000000000002,0.007530143844640035,0.0012156065226248502,0.004228664997058167,0.0036817256341563033,0.0002599099055712123,0.001142770212246422,0.0010466843990702423,0.0003009721295201763,0.0002726938640837985,6.337597007988832e-05,0.0002616818229980723,0.00024143719001006267,6.913205221943144e-05,6.2611970571124e-05,1.165474712764897e-05,4.0323410723950734e-05,3.654042706121804e-05,4.547778332589327e-06,1.0062758359099077e-06,0.05303262553222417
28.450000000000003,0.007515506957592909,0.0012155746661950554,0.004204767095675328,0.0036590502425011507,0.0002592553186631392,0.0011369081111578315,0.0010406224618184916,0.0002976602397196419,0.0002696318572888568,6.311614559449795e-05,0.0002603921376449273,0.00024007408705221036,6.836716351205142e-05,6.190479016436704e-05,1.1602158943383469e-05,4.0126510804629946e-05,3.633534836153488e-05,4.497438659775999e-06,1.0015903114420866e-06,0.052778656880405714
28.5,0.007500884050096428,0.0012155476846186558,0.004180998531382301,0.0036365099586708337,0.0002586210776833631,0.001131066585252163,0.0010345880992748446,0.00029438726901798905,0.0002666064683974423,6.286357402794508e-05,0.00025910594828547915,0.00023871641163983524,6.761128479404585e-05,6.120609370601508e-05,1.155100992476308e-05,3.993010794019771e-05,3.6131061858792445e-05,4.447727919139098e-06,9.97006646114199e-07,0.05252623059328008
