Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_total_Zn
7.800000000000001,0.023543287755010908,0.009380137724256641,0.03001914102683001,0.00484415381151052,0.003520249389439513,0.00023070711027875832,0.0037046888469552436,0.3142798037692832
7.8500000000000005,0.023482383608109593,0.00914415575526139,0.029732841008973745,0.004713312945690831,0.003517072761240962,0.00022454935991174095,0.0035979959285231088,0.3106082452444664
7.9,0.023421307715047242,0.008914459441320048,0.029447585623847236,0.004585083112616316,0.0035133810412025118,0.00021850549825817845,0.0034945175300041364,0.3069896868248234
7.95,0.023360063219260964,0.008690934217212601,0.02916341620949018,0.004459466206639778,0.003509154206900273,0.00021257634924591327,0.0033941538041106986,0.30342304052416824
8.0,0.023298653257791603,0.00847346594995543,0.02888037292910481,0.004336460718350487,0.0035043754528125072,0.00020676253485176578,0.0032968080529550544,0.299907255742953
8.05,0.023237080961013165,0.008261941005077184,0.028598494775161142,0.004216061931587808,0.003499030965634,0.00020106448607157032,0.003202386629237192,0.29644131750464225
8.1,0.023175349452365462,0.008056246309859237,0.028317819574394835,0.004098262114546101,0.0034931097115167105,0.00019548245359137144,0.0031107988403862867,0.2930242447800565
8.15,0.02311346184808998,0.007856269413600594,0.028038383993658465,0.003983050704874585,0.003486603234720733,0.00019001651815007674,0.003021956855582403,0.28965508889552966
8.200000000000001,0.023051421256969,0.007661898544968481,0.02776022354658786,0.003870414488707035,0.0034795054671758496,0.00018466660058610493,0.0029357756155856058,0.28633293202089954
8.25,0.02298923078006799,0.007473022666496584,0.027483372601045133,0.003760337773584088,0.0034718125484701685,0.00017943247156257362,0.002852172745300094,0.28305688573351523
8.3,0.022926893510481185,0.007289531526293933,0.02720786438730105,0.003652802555256317,0.0034635226557984565,0.0001743137609673881,0.0027710684690017756,0.2798260896546124
8.35,0.02286441253308052,0.00711131570702816,0.026933731006919842,0.003547788678378888,0.003454635843418771,0.00016930996698621552,0.002692385528158517,0.27663971015456446
8.4,0.022801790924267765,0.006938266672247153,0.026661003442309934,0.0034452739911287537,0.0034451538911817797,0.00016442046484777174,0.0026160491017731104,0.27349693912366424
8.450000000000001,0.02273903175172997,0.006770276810103967,0.026389711566905248,0.003345234493793598,0.0034350801617127557,0.00015964451524215113,0.0025419867291801555,0.2703969928052489
8.5,0.022676138074198174,0.006607239474549764,0.026119884155941842,0.003247644481397496,0.003424419465841558,0.00015498127241406426,0.0024701282352289776,0.26733911068810917
8.55,0.0226131129412094,0.006449049024060017,0.02585154889779578,0.0031524766804425226,0.0034131779358909644,0.00015042979193386795,0.0024004056577859264,0.2643225544552713
8.6,0.022549959392871955,0.006295600857959256,0.025584732405848763,0.0030597023798578445,0.003401362906448488,0.0001459890381501618,0.0023327531774905846,0.2613466069863678
8.65,0.022486680459633993,0.0061467914504094254,0.025319460230848558,0.002969291556258494,0.00338898280226123,0.00014165789132849753,0.0022671070497015714,0.25841057141093526
