Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(4),J_total_Se
2.6,0.025074282544729456,0.07394395043163784,0.04552392599313303,0.0469311924222943,0.09136999343924698,0.09142268024915493,0.016072244362857008,0.0067385863684380895,0.05014856508945891,0.1478879008632757,0.2815871545337658,0.09104785198626605,0.5482199606354818,0.032144488725714015,0.9142268024915492,0.026954345473752358,2.0922170697992635
2.6500000000000004,0.02505623060691663,0.07327194913538476,0.04304878731606702,0.046891551949847884,0.08894675639054317,0.09016154587882483,0.015169936254989342,0.006721440519941737,0.05011246121383326,0.14654389827076952,0.2813493116990873,0.08609757463213404,0.533680538343259,0.030339872509978685,0.9016154587882483,0.026885762079766947,2.056624877537077
2.7,0.025037852564244525,0.07259427380201848,0.040708316960429605,0.04685000072261503,0.08652876790138259,0.08888257105724512,0.014289378060296782,0.0066944795712289675,0.05007570512848905,0.14518854760403696,0.2811000043356902,0.08141663392085921,0.5191726074082955,0.028578756120593563,0.8888257105724512,0.02677791828491587,2.0211358833753317
2.75,0.025019149412607095,0.07191123795969248,0.038499351398057616,0.04680649851656472,0.0841198903719747,0.08758775860386876,0.013434292831847713,0.006656693749672478,0.05003829882521419,0.14382247591938496,0.2808389910993883,0.07699870279611523,0.5047193422318482,0.026868585663695425,0.8758775860386876,0.02662677499868991,1.9857907575730238
2.8000000000000003,0.025000122165271237,0.07122315378756076,0.03641846585190816,0.04676100616153639,0.08172381860411668,0.08627908613479819,0.012607719996800949,0.0066075645066448144,0.050000244330542475,0.14244630757512153,0.28056603696921834,0.07283693170381632,0.49034291162470006,0.025215439993601898,0.8627908613479819,0.026430258026579258,1.9506289915715616
2.85,0.024980771852754543,0.07053033188646436,0.03446200874096323,0.04671348558789331,0.07934407085728114,0.08495849788419352,0.011812070943700485,0.006546963748979067,0.049961543705509086,0.14106066377292872,0.28028091352735984,0.06892401748192646,0.47606442514368685,0.02362414188740097,0.8495849788419352,0.02618785499591627,1.9156885393566634
2.9000000000000004,0.024961099522700723,0.06983308105912275,0.032626134740622245,0.04666389987110089,0.07698398164319405,0.0836278974197956,0.011049186393036217,0.006475069216109345,0.04992219904540145,0.1396661621182455,0.2799833992266053,0.06525226948124449,0.4619038898591643,0.022098372786072434,0.8362789741979559,0.02590027686443738,1.8810055435791269
2.95,0.024941106239752802,0.06913170809947955,0.030906836352994023,0.04661221327419877,0.07464669617353675,0.08228914122975552,0.010320393815896257,0.006392293720563247,0.049882212479505604,0.1382634161989591,0.2796732796451926,0.061813672705988046,0.4478801770412205,0.020640787631792515,0.8228914122975551,0.02556917488225299,1.8466141328824666
3.0,0.024920793085424112,0.06842651759084714,0.02929997390243268,0.04655839128813808,0.07233516636733062,0.08094403315078316,0.009626563606686225,0.006299226264841234,0.049841586170848225,0.13685303518169428,0.2793503477288285,0.05859994780486536,0.4340109982039837,0.01925312721337245,0.8094403315078316,0.025196905059364935,1.8125462788707891
3.0500000000000003,0.02490016115796715,0.06771781171250081,0.027801303891367535,0.04650240066995829,0.07005214831845313,0.07959431960176026,0.008968163071347636,0.006196583308937947,0.0498003223159343,0.13543562342500162,0.27901440401974975,0.05560260778273507,0.4203128899107188,0.01793632614269527,0.7959431960176027,0.024786333235751787,1.7788317028501892
