event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
8483,8,8,5,22,1,662.0,456.69837455,205.30162545,0.15785755,-0.74392639,0.64934931,41.93303365,0.74392639,443.83380121,14.45340359,3.87763083,3.87763083
8504,7,7,5,22,1,662.0,658.91207817,3.08792183,-0.07793753,-0.99638256,0.03387517,4.8749374,0.99638256,56.26175111,-0.08468035,-0.02271846,0.02271846
8717,7,7,5,22,1,662.0,0.0,662.0,-0.27335081,-0.94047765,-0.20194339,19.86807391,0.94047765,662.0,180.0,48.29129308,48.29129308
8818,7,7,5,22,1,662.0,613.7320395,48.2679605,-0.33798503,-0.93929253,-0.05912416,20.0669166,0.93929253,227.28736529,-5.12498964,-1.37495765,1.37495765
8861,7,7,5,22,1,662.0,539.78914393,122.21085607,-0.43208895,-0.82523775,0.36370564,34.38739695,0.82523775,373.9448112,-19.96982773,-5.35760447,5.35760447
8977,6,6,5,22,1,662.0,421.37203441,240.62796559,-0.55761859,-0.57989212,-0.59395844,54.55704472,0.57989212,540.62793557,-42.87309334,-11.5022062,11.5022062
8977,7,7,5,22,1,662.0,421.37203441,240.62796559,-0.55761859,-0.57989212,-0.59395844,54.55704472,0.57989212,540.62793557,-42.87309334,-11.5022062,11.5022062
9053,7,7,5,22,1,662.0,600.00366092,61.99633908,-0.39083413,-0.92024202,-0.02008243,23.03851025,0.92024202,259.23670545,-7.41293734,-1.98877961,1.98877961
9160,7,7,5,22,1,662.0,580.59986828,81.40013172,-0.45233373,-0.89177934,-0.01112658,26.90230281,0.89177934,299.6944087,-11.05426695,-2.96569358,2.96569358
9161,7,7,5,22,1,662.0,518.85944204,143.14055796,-0.59915384,-0.78705131,-0.14684994,38.08920028,0.78705131,408.38530522,-25.0852651,-6.72999938,6.72999938
