event_number,et_index,stored_et_keV,number_of_vlm4_gamma_records
7038,2,0.0,1
7038,3,196.22651898895327,1
7225,0,150.16451799167996,1
7225,1,0.0,1
7225,2,0.0,1
7225,3,150.16451799167996,1
7481,0,171.24665514952994,2
7481,1,0.0,2
7481,2,0.0,2
7481,3,93.81366200291107,2
7481,4,77.43299314661888,2
7651,0,477.10050817032413,2
7651,1,0.0,2
7651,2,0.0,2
7651,3,49.26165532537385,2
7651,4,427.8388528449503,2
7662,0,336.1374628751655,2
7662,1,0.0,2
7662,2,0.0,2
7662,3,107.03909586660076,2
7662,4,229.09836700856474,2
7764,0,145.93164480575058,2
7764,1,0.0,2
7764,2,0.0,2
7764,3,111.0440774063166,2
7764,4,34.88756739943399,2
7827,0,202.8462653130946,2
7827,1,0.0,2
7827,2,0.0,2
7827,3,118.7220171806932,2
7827,4,84.12424813240138,2
7958,0,44.48662713490236,1
7958,1,0.0,1
7958,2,0.0,1
7958,3,44.48662713490236,1
8164,0,115.27394605113817,1
8164,1,0.0,1
8164,2,0.0,1
8164,3,115.27394605113817,1
8189,0,42.51587676930313,1
8189,1,0.0,1
8189,2,0.0,1
8189,3,42.51587676930313,1
8192,0,122.24586090029776,1
8192,1,0.0,1
8192,2,0.0,1
8192,3,122.24586090029776,1
8256,0,55.10278580501626,1
8256,1,0.0,1
8256,2,0.0,1
8256,3,55.10278580501626,1
8866,0,127.28780219501701,1
8866,1,0.0,1
8866,2,0.0,1
8866,3,127.28780219501701,1
9241,0,51.60421649456715,1
9241,1,0.0,1
9241,2,0.0,1
9241,3,51.60421649456715,1
9293,0,136.88460251378186,1
9293,1,0.0,1
9293,2,0.0,1
9293,3,136.88460251378186,1
9325,0,344.9290678003558,2
9325,1,0.0,2
9325,2,0.0,2
9325,3,137.39550799657073,2
9325,4,207.53355980378512,2
9346,0,77.85894183247255,1
9346,1,0.0,1
9346,2,0.0,1
9346,3,77.85894183247255,1
9388,0,144.3056290058383,1
9388,1,0.0,1
9388,2,0.0,1
9388,3,144.3056290058383,1
9814,0,37.692776710234746,1
9814,1,0.0,1
9814,2,0.0,1
9814,3,37.692776710234746,1
9863,0,134.40957618652737,1
9863,1,0.0,1
9863,2,0.0,1
9863,3,134.40957618652737,1
