event_number,track_id,record_index,step_number,vlm,pdg,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,stored_et_keV,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au,px,py,pz
83296,1,7,7,4,22,662.0,462.62873,199.37127,,48.137397,0.667347,493.463177,-40.27501,-10.805179,10.805179,0.702505,-0.667347,-0.247256
83356,1,6,6,4,22,662.0,508.902221,153.097779,,39.844901,0.767782,424.151536,-27.629979,-7.412708,7.412708,0.636995,-0.767782,0.068912
83364,1,7,7,4,22,662.0,232.148064,429.851936,,89.229386,0.013449,698.572028,-34.852669,-9.350447,9.350447,-0.990158,-0.013449,0.13931
83628,1,8,8,4,22,662.0,568.259177,93.740823,,25.491205,0.902651,286.408867,24.044441,6.450762,6.450762,0.329345,-0.902651,0.277042
83655,1,7,7,4,22,662.0,528.155657,133.844343,,36.449006,0.804386,393.322939,-22.772656,-6.109561,6.109561,0.557472,-0.804386,0.205398
83716,1,7,7,4,22,662.0,551.621608,110.378392,,32.269732,0.845544,353.539057,-17.230273,-4.622623,4.622623,0.477298,-0.845544,0.239254
83917,1,6,6,4,22,662.0,553.217481,108.782519,,31.981811,0.848216,350.726579,-16.869835,-4.525923,4.525923,0.492509,-0.848216,0.194845
83983,1,7,7,4,22,662.0,563.840656,98.159344,,30.046516,0.865619,331.592962,-14.528419,-3.897756,3.897756,0.493202,-0.865619,-0.086342
84077,1,7,7,4,22,662.0,188.709981,473.290019,,145.742456,-0.826516,824.840623,-119.210699,-31.982438,31.982438,-0.062733,0.826516,-0.559407
84181,1,7,7,4,22,662.0,621.033694,40.966306,,18.362622,0.949082,208.676096,-4.020942,-1.078758,1.078758,0.314278,-0.949082,-0.021748
84308,1,7,7,4,22,662.0,629.700744,32.299256,,16.176748,0.960407,184.534579,-2.826493,-0.758306,0.758306,0.276333,-0.960407,-0.035481
84504,1,7,7,4,22,662.0,623.894542,38.105458,,17.663543,0.952855,200.986868,-3.612034,-0.969054,0.969054,0.266496,-0.952855,-0.145078
84519,1,7,7,4,22,662.0,497.570548,164.429452,,41.68649,0.746795,440.277512,-29.296735,-7.859873,7.859873,0.642426,-0.746795,0.172007
84638,1,7,7,4,22,662.0,357.280143,304.719857,,16.273363,0.959936,334.374307,298.494102,80.081479,80.081479,-0.090071,-0.959936,0.26535
84824,1,7,7,4,22,662.0,587.71258,74.28742,,25.520538,0.902431,285.377298,-9.668707,-2.593969,2.593969,0.406751,-0.902431,0.142028
85281,1,7,7,4,22,662.0,633.063567,28.936433,,15.265208,0.964717,174.38546,-2.400585,-0.644041,0.644041,0.258621,-0.964717,0.04935
85399,1,7,7,4,22,662.0,578.037056,83.962944,,27.392304,0.887877,304.728932,-11.56699,-3.103249,3.103249,0.459536,-0.887877,0.022374
85439,1,7,7,4,22,662.0,566.77683,95.22317,,29.504832,0.870314,326.167632,-13.899669,-3.729072,3.729072,0.483042,-0.870314,-0.096039
85635,1,7,7,4,22,662.0,625.988533,36.011467,,17.138633,0.955595,195.193409,-3.321698,-0.891162,0.891162,0.294679,-0.955595,0.001829
85725,1,6,6,4,22,662.0,491.063308,170.936692,,43.004102,0.731305,451.570902,-32.352594,-8.679714,8.679714,0.680475,-0.731305,0.046337
85812,1,6,6,4,22,662.0,521.309042,140.690958,,37.657299,0.791679,404.449994,-24.469822,-6.564885,6.564885,0.595576,-0.791679,0.136136
86002,1,7,7,4,22,662.0,491.886978,170.113022,,42.857523,0.733047,450.326079,-32.130128,-8.62003,8.62003,0.594593,-0.733047,0.330304
