volume,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg,counts,mean_theta_deg,std_theta_deg,mean_Eprime_keV,std_Eprime_keV,mean_Et_keV,std_Et_keV,mean_qc_keV_c,std_qc_keV_c,mean_Q_keV_c,std_Q_keV_c,mean_Q_au,std_Q_au,mean_Abs_Q_au,std_Abs_Q_au
2,90.0,92.0,91.0,28,91.19101001288662,0.5233726463391717,281.00536756134954,23.70107222614961,380.99463243865046,23.70107222614962,724.8790947220297,8.447048870929764,-93.63146808838158,25.01154644181251,-25.11991481640766,6.710221775566888,25.75794352709744,3.370943913105063
2,92.0,94.0,93.0,27,92.96174928196439,0.6451514589979317,282.7427081547768,26.745447516177116,379.25729184522316,26.745447516177112,733.6521907498756,13.385721785897848,-102.26648289356596,29.852163025273587,-27.436559431441378,8.008886409562102,27.436559431441378,8.008886409562102
2,94.0,96.0,95.0,28,94.93195012855354,0.4378017373187856,270.1137352270438,25.99963213888431,391.8862647729562,25.999632138884316,736.5672795621765,9.814505147977592,-96.11606628137554,27.97424747083615,-25.786495147094083,7.505069907236758,26.67966609255555,2.7801477641354726
2,96.0,98.0,97.0,30,97.0717810001927,0.5868949145176011,257.8842140413512,38.38692766731553,404.1157859586488,38.38692766731553,740.1494358989463,14.937229159963211,-90.41632206535671,41.382492458285974,-24.257339489227476,11.102300398211606,25.830887826765323,6.459645941863594
2,98.0,100.0,99.0,20,99.05626269734816,0.6715055257641315,260.0560156063889,27.422546174687803,401.9439843936111,27.422546174687806,748.7118614352373,11.750467384779377,-99.67139445746776,30.12529317909146,-26.740336230131554,8.082163122378576,27.44066182520506,5.037851776420037
2,100.0,102.0,101.0,27,100.97297512027863,0.6207948607092502,253.66758957569814,27.673952798788374,408.3324104243019,27.673952798788374,753.0673888771213,12.991042656508176,-99.04922575953148,31.258775201860402,-26.573417724925143,8.386259303280163,26.90240310997762,7.215257226403201
2,102.0,104.0,103.0,17,103.02460296411539,0.5758884112217941,249.14123179159725,35.67043881822837,412.85876820840275,35.67043881822836,758.6117903277077,17.88857728765906,-100.51807425954578,40.000366439500226,-26.967487688281253,10.73149677239783,27.05641924889018,10.490963526994976
2,104.0,106.0,105.0,17,104.77288908237273,0.5096490553530577,240.55348728770167,27.439736005122114,421.44651271229833,27.439736005122118,760.2050267196629,14.45307674935811,-96.37018875510194,32.0281986095863,-25.854672385187968,8.592684032641237,25.983640180138103,8.168898577239702
2,106.0,108.0,107.0,17,106.85202934132522,0.6388034766486897,227.78407283765745,38.35079676717499,434.2159271623426,38.350796767175,760.5507991909899,19.908385873182684,-87.68488862238166,44.52116838807741,-23.524536972989516,11.944359949368568,23.65788446907655,11.66116839049772
2,108.0,110.0,109.0,19,109.00639134141566,0.677994790115826,247.58115017229073,11.96234105474579,414.41884982770927,11.962341054745794,778.6955990743412,7.628482498665312,-117.30433626377919,13.901802631448977,-31.470989344735226,3.729644584520219,31.470989344735226,3.729644584520219
